CE6	GLOVEBX_20050117.0459-CE1
CE7	GLOVEBX_20050117.0459-CE2
CE8	GLOVEBX_20050117.0459-CE3
CE9	GLOVEBX_20050117.0459-CE4
CE10	GLOVEBX_20050117.0459-CE5
CE11	GLOVEBX_20050117.0459-CE6
CE12	GLOVEBX_20050117.0459-CE7
CE13	GLOVEBX_20050117.0459-CE8
CE14	GLOVEBX_20050117.0459-CE9
CE15	GLOVEBX_20050117.0459-CE10
CE16	GLOVEBX_20050117.0459-CE11
CE17	GLOVEBX_20050117.0459-CE12
CE23	GLOVEBX_20050117.0459-CE13
CE18	GLOVEBX_20050117.0459-CE14
CE19	GLOVEBX_20050117.0459-CE15
CE20	GLOVEBX_20050117.0459-CE16
CE21	GLOVEBX_20050117.0459-CE17
CE24	GLOVEBX_20050117.0459-CE18
CE25	GLOVEBX_20050117.0459-CE19
CE26	GLOVEBX_20050117.0459-CE20
CE27	GLOVEBX_20050117.0459-CE21
CE1	GLOVEBX_20050117.0459-CE22
CE28	GLOVEBX_20050117.0459-CE23
CE29	GLOVEBX_20050117.0459-CE24
CE22	GLOVEBX_20050117.0459-CE25
CE2	GLOVEBX_20050117.0459-CE26
CE3	GLOVEBX_20050117.0459-CE27
CE4	GLOVEBX_20050117.0459-CE28
CE5	GLOVEBX_20050117.0459-CE29
E6	GLOVEBX_20050117.0459-E1
E7	GLOVEBX_20050117.0459-E2
E8	GLOVEBX_20050117.0459-E3
E9	GLOVEBX_20050117.0459-E4
E10	GLOVEBX_20050117.0459-E5
E11	GLOVEBX_20050117.0459-E6
E12	GLOVEBX_20050117.0459-E7
E13	GLOVEBX_20050117.0459-E8
E14	GLOVEBX_20050117.0459-E9
E15	GLOVEBX_20050117.0459-E10
E16	GLOVEBX_20050117.0459-E11
E17	GLOVEBX_20050117.0459-E12
E33	GLOVEBX_20050117.0459-E13
E19	GLOVEBX_20050117.0459-E14
E20	GLOVEBX_20050117.0459-E15
E22	GLOVEBX_20050117.0459-E16
E23	GLOVEBX_20050117.0459-E17
E26	GLOVEBX_20050117.0459-E18
E34	GLOVEBX_20050117.0459-E19
E35	GLOVEBX_20050117.0459-E20
E28	GLOVEBX_20050117.0459-E21
E29	GLOVEBX_20050117.0459-E22
E31	GLOVEBX_20050117.0459-E23
E32	GLOVEBX_20050117.0459-E24
E36	GLOVEBX_20050117.0459-E25
E2	GLOVEBX_20050117.0459-E26
E3	GLOVEBX_20050117.0459-E27
E4	GLOVEBX_20050117.0459-E28
E5	GLOVEBX_20050117.0459-E29
EM13	GLOVEBX_20050117.0459-E2-1
EM14	GLOVEBX_20050117.0459-E27-2
EM15	GLOVEBX_20050117.0459-E3-3
EM16	GLOVEBX_20050117.0459-E26-4
EM17	GLOVEBX_20050117.0459-E26-5
EM18	GLOVEBX_20050117.0459-E26-6
EM19	GLOVEBX_20050117.0459-E26-7
EM20	GLOVEBX_20050117.0459-E4-8
EM21	GLOVEBX_20050117.0459-E5-9
EM22	GLOVEBX_20050117.0459-E6-10
EM23	GLOVEBX_20050117.0459-E7-11
EM24	GLOVEBX_20050117.0459-E8-12
EM25	GLOVEBX_20050117.0459-E8-13
EM26	GLOVEBX_20050117.0459-E9-14
EM27	GLOVEBX_20050117.0459-E8-15
EM28	GLOVEBX_20050117.0459-E10-16
EM29	GLOVEBX_20050117.0459-E11-17
EM30	GLOVEBX_20050117.0459-E12-18
EM47	GLOVEBX_20050117.0459-E13-19
EM31	GLOVEBX_20050117.0459-E14-20
EM32	GLOVEBX_20050117.0459-E15-21
EM49	GLOVEBX_20050117.0459-E19-22
EM33	GLOVEBX_20050117.0459-E14-23
EM34	GLOVEBX_20050117.0459-E9-24
EM48	GLOVEBX_20050117.0459-E18-25
EM37	GLOVEBX_20050117.0459-E16-26
EM38	GLOVEBX_20050117.0459-E17-27
EM39	GLOVEBX_20050117.0459-E16-28
EM40	GLOVEBX_20050117.0459-E17-29
EM43	GLOVEBX_20050117.0459-E16-30
EM46	GLOVEBX_20050117.0459-E4-31
EM35	GLOVEBX_20050117.0459-E20-32
EM50	GLOVEBX_20050117.0459-E21-33
EM51	GLOVEBX_20050117.0459-E18-34
EM52	GLOVEBX_20050117.0459-E18-35
