CE9	NJWSL_20041211.1642-CE1
CE10	NJWSL_20041211.1642-CE2
CE11	NJWSL_20041211.1642-CE3
CE15	NJWSL_20041211.1642-CE4
CE14	NJWSL_20041211.1642-CE5
CE13	NJWSL_20041211.1642-CE6
CE12	NJWSL_20041211.1642-CE7
CE16	NJWSL_20041211.1642-CE8
CE17	NJWSL_20041211.1642-CE9
CE18	NJWSL_20041211.1642-CE10
CE19	NJWSL_20041211.1642-CE11
CE20	NJWSL_20041211.1642-CE12
CE22	NJWSL_20041211.1642-CE13
CE21	NJWSL_20041211.1642-CE14
CE8	NJWSL_20041211.1642-CE15
CE1	NJWSL_20041211.1642-CE16
CE2	NJWSL_20041211.1642-CE17
CE4	NJWSL_20041211.1642-CE18
CE5	NJWSL_20041211.1642-CE19
CE6	NJWSL_20041211.1642-CE20
CE7	NJWSL_20041211.1642-CE21
CE3	NJWSL_20041211.1642-CE22
E14	NJWSL_20041211.1642-E1
E15	NJWSL_20041211.1642-E2
E16	NJWSL_20041211.1642-E3
E18	NJWSL_20041211.1642-E4
E19	NJWSL_20041211.1642-E5
E20	NJWSL_20041211.1642-E6
E29	NJWSL_20041211.1642-E7
E22	NJWSL_20041211.1642-E8
E30	NJWSL_20041211.1642-E9
E24	NJWSL_20041211.1642-E10
E25	NJWSL_20041211.1642-E11
E26	NJWSL_20041211.1642-E12
E27	NJWSL_20041211.1642-E13
E28	NJWSL_20041211.1642-E14
E1	NJWSL_20041211.1642-E15
E31	NJWSL_20041211.1642-E16
E2	NJWSL_20041211.1642-E17
E3	NJWSL_20041211.1642-E18
E6	NJWSL_20041211.1642-E19
E7	NJWSL_20041211.1642-E20
E8	NJWSL_20041211.1642-E21
E11	NJWSL_20041211.1642-E22
E12	NJWSL_20041211.1642-E23
EM1	NJWSL_20041211.1642-E15-1
EM16	NJWSL_20041211.1642-E1-2
EM17	NJWSL_20041211.1642-E23-3
EM18	NJWSL_20041211.1642-E23-4
EM19	NJWSL_20041211.1642-E2-5
EM20	NJWSL_20041211.1642-E3-6
EM22	NJWSL_20041211.1642-E23-7
EM23	NJWSL_20041211.1642-E4-8
EM24	NJWSL_20041211.1642-E5-9
EM25	NJWSL_20041211.1642-E6-10
EM26	NJWSL_20041211.1642-E20-11
EM21	NJWSL_20041211.1642-E7-12
EM3	NJWSL_20041211.1642-E23-13
EM28	NJWSL_20041211.1642-E23-14
EM30	NJWSL_20041211.1642-E8-15
EM35	NJWSL_20041211.1642-E9-16
EM27	NJWSL_20041211.1642-E20-17
EM29	NJWSL_20041211.1642-E23-18
EM31	NJWSL_20041211.1642-E23-19
EM32	NJWSL_20041211.1642-E23-20
EM36	NJWSL_20041211.1642-E23-21
EM37	NJWSL_20041211.1642-E10-22
EM38	NJWSL_20041211.1642-E23-23
EM39	NJWSL_20041211.1642-E23-24
EM40	NJWSL_20041211.1642-E23-25
EM41	NJWSL_20041211.1642-E22-26
EM42	NJWSL_20041211.1642-E23-27
EM43	NJWSL_20041211.1642-E11-28
EM44	NJWSL_20041211.1642-E12-29
EM46	NJWSL_20041211.1642-E13-30
EM45	NJWSL_20041211.1642-E14-31
EM47	NJWSL_20041211.1642-E19-32
EM48	NJWSL_20041211.1642-E17-33
EM15	NJWSL_20041211.1642-E19-34
EM5	NJWSL_20041211.1642-E19-35
EM2	NJWSL_20041211.1642-E17-36
EM4	NJWSL_20041211.1642-E18-37
EM33	NJWSL_20041211.1642-E19-38
EM6	NJWSL_20041211.1642-E15-39
EM7	NJWSL_20041211.1642-E19-40
