CE10	LIUYIFENG_20050126.0832-CE1
CE12	LIUYIFENG_20050126.0832-CE2
CE13	LIUYIFENG_20050126.0832-CE3
CE11	LIUYIFENG_20050126.0832-CE4
CE14	LIUYIFENG_20050126.0832-CE5
CE15	LIUYIFENG_20050126.0832-CE6
CE1	LIUYIFENG_20050126.0832-CE7
CE2	LIUYIFENG_20050126.0832-CE8
CE3	LIUYIFENG_20050126.0832-CE9
CE4	LIUYIFENG_20050126.0832-CE10
CE6	LIUYIFENG_20050126.0832-CE11
CE5	LIUYIFENG_20050126.0832-CE12
CE7	LIUYIFENG_20050126.0832-CE13
CE9	LIUYIFENG_20050126.0832-CE14
CE8	LIUYIFENG_20050126.0832-CE15
E12	LIUYIFENG_20050126.0832-E1
E14	LIUYIFENG_20050126.0832-E2
E15	LIUYIFENG_20050126.0832-E3
E16	LIUYIFENG_20050126.0832-E4
E17	LIUYIFENG_20050126.0832-E5
E18	LIUYIFENG_20050126.0832-E6
E1	LIUYIFENG_20050126.0832-E7
E19	LIUYIFENG_20050126.0832-E8
E2	LIUYIFENG_20050126.0832-E9
E3	LIUYIFENG_20050126.0832-E10
E4	LIUYIFENG_20050126.0832-E11
E5	LIUYIFENG_20050126.0832-E12
E6	LIUYIFENG_20050126.0832-E13
E7	LIUYIFENG_20050126.0832-E14
E8	LIUYIFENG_20050126.0832-E15
E10	LIUYIFENG_20050126.0832-E16
E11	LIUYIFENG_20050126.0832-E17
EM1	LIUYIFENG_20050126.0832-E7-1
EM20	LIUYIFENG_20050126.0832-E12-2
EM21	LIUYIFENG_20050126.0832-E13-3
EM22	LIUYIFENG_20050126.0832-E11-4
EM23	LIUYIFENG_20050126.0832-E15-5
EM24	LIUYIFENG_20050126.0832-E9-6
EM25	LIUYIFENG_20050126.0832-E12-7
EM26	LIUYIFENG_20050126.0832-E13-8
EM27	LIUYIFENG_20050126.0832-E1-9
EM28	LIUYIFENG_20050126.0832-E10-10
EM29	LIUYIFENG_20050126.0832-E11-11
EM30	LIUYIFENG_20050126.0832-E15-12
EM31	LIUYIFENG_20050126.0832-E12-13
EM32	LIUYIFENG_20050126.0832-E15-14
EM33	LIUYIFENG_20050126.0832-E2-15
EM34	LIUYIFENG_20050126.0832-E3-16
EM37	LIUYIFENG_20050126.0832-E3-17
EM35	LIUYIFENG_20050126.0832-E4-18
EM36	LIUYIFENG_20050126.0832-E5-19
EM38	LIUYIFENG_20050126.0832-E13-20
EM39	LIUYIFENG_20050126.0832-E6-21
EM40	LIUYIFENG_20050126.0832-E8-22
EM2	LIUYIFENG_20050126.0832-E9-23
EM3	LIUYIFENG_20050126.0832-E10-24
EM4	LIUYIFENG_20050126.0832-E11-25
EM5	LIUYIFENG_20050126.0832-E12-26
EM6	LIUYIFENG_20050126.0832-E13-27
EM9	LIUYIFENG_20050126.0832-E13-28
EM7	LIUYIFENG_20050126.0832-E14-29
EM8	LIUYIFENG_20050126.0832-E9-30
EM10	LIUYIFENG_20050126.0832-E9-31
EM11	LIUYIFENG_20050126.0832-E15-32
EM12	LIUYIFENG_20050126.0832-E9-33
EM13	LIUYIFENG_20050126.0832-E7-34
EM14	LIUYIFENG_20050126.0832-E16-35
EM15	LIUYIFENG_20050126.0832-E17-36
EM19	LIUYIFENG_20050126.0832-E15-37
EM18	LIUYIFENG_20050126.0832-E9-38
EM16	LIUYIFENG_20050126.0832-E13-39
EM17	LIUYIFENG_20050126.0832-E13-40
R1	LIUYIFENG_20050126.0832-R1
R3	LIUYIFENG_20050126.0832-R2
R4	LIUYIFENG_20050126.0832-R3
R2	LIUYIFENG_20050126.0832-R4
R5	LIUYIFENG_20050126.0832-R5
R7	LIUYIFENG_20050126.0832-R6
R8	LIUYIFENG_20050126.0832-R7
R9	LIUYIFENG_20050126.0832-R8
R6	LIUYIFENG_20050126.0832-R9
R10	LIUYIFENG_20050126.0832-R10
R11	LIUYIFENG_20050126.0832-R11
R12	LIUYIFENG_20050126.0832-R12
R13	LIUYIFENG_20050126.0832-R13
R14	LIUYIFENG_20050126.0832-R14
R15	LIUYIFENG_20050126.0832-R15
RM1	LIUYIFENG_20050126.0832-R1-1
RM3	LIUYIFENG_20050126.0832-R2-1
RM4	LIUYIFENG_20050126.0832-R3-1
RM2	LIUYIFENG_20050126.0832-R4-1
RM5	LIUYIFENG_20050126.0832-R5-1
RM7	LIUYIFENG_20050126.0832-R6-1
RM8	LIUYIFENG_20050126.0832-R7-1
RM9	LIUYIFENG_20050126.0832-R8-1
RM6	LIUYIFENG_20050126.0832-R9-1
RM10	LIUYIFENG_20050126.0832-R5-2
RM11	LIUYIFENG_20050126.0832-R4-2
RM12	LIUYIFENG_20050126.0832-R2-2
RM13	LIUYIFENG_20050126.0832-R13-1
RM14	LIUYIFENG_20050126.0832-R14-1
RM15	LIUYIFENG_20050126.0832-R15-1
V1	LIUYIFENG_20050126.0832-EV1
VM1	LIUYIFENG_20050126.0832-EV1-1
VM2	LIUYIFENG_20050126.0832-EV1-2
Q3	LIUYIFENG_20050126.0832-T1
Q4	LIUYIFENG_20050126.0832-T2
Q1	LIUYIFENG_20050126.0832-T3
Q2	LIUYIFENG_20050126.0832-T4
