CE7	LIUYIFENG_20050126.0844-CE1
CE8	LIUYIFENG_20050126.0844-CE2
CE9	LIUYIFENG_20050126.0844-CE3
CE10	LIUYIFENG_20050126.0844-CE4
CE11	LIUYIFENG_20050126.0844-CE5
CE12	LIUYIFENG_20050126.0844-CE6
CE14	LIUYIFENG_20050126.0844-CE7
CE15	LIUYIFENG_20050126.0844-CE8
CE17	LIUYIFENG_20050126.0844-CE9
CE16	LIUYIFENG_20050126.0844-CE10
CE18	LIUYIFENG_20050126.0844-CE11
CE20	LIUYIFENG_20050126.0844-CE12
CE19	LIUYIFENG_20050126.0844-CE13
CE13	LIUYIFENG_20050126.0844-CE14
CE2	LIUYIFENG_20050126.0844-CE15
CE1	LIUYIFENG_20050126.0844-CE16
CE4	LIUYIFENG_20050126.0844-CE17
CE3	LIUYIFENG_20050126.0844-CE18
CE5	LIUYIFENG_20050126.0844-CE19
CE6	LIUYIFENG_20050126.0844-CE20
E15	LIUYIFENG_20050126.0844-E1
E16	LIUYIFENG_20050126.0844-E2
E17	LIUYIFENG_20050126.0844-E3
E18	LIUYIFENG_20050126.0844-E4
E19	LIUYIFENG_20050126.0844-E5
E20	LIUYIFENG_20050126.0844-E6
E21	LIUYIFENG_20050126.0844-E7
E23	LIUYIFENG_20050126.0844-E8
E24	LIUYIFENG_20050126.0844-E9
E25	LIUYIFENG_20050126.0844-E10
E26	LIUYIFENG_20050126.0844-E11
E27	LIUYIFENG_20050126.0844-E12
E28	LIUYIFENG_20050126.0844-E13
E30	LIUYIFENG_20050126.0844-E14
E31	LIUYIFENG_20050126.0844-E15
E1	LIUYIFENG_20050126.0844-E16
E35	LIUYIFENG_20050126.0844-E17
E36	LIUYIFENG_20050126.0844-E18
E2	LIUYIFENG_20050126.0844-E19
E3	LIUYIFENG_20050126.0844-E20
E4	LIUYIFENG_20050126.0844-E21
E5	LIUYIFENG_20050126.0844-E22
E6	LIUYIFENG_20050126.0844-E23
E8	LIUYIFENG_20050126.0844-E24
E9	LIUYIFENG_20050126.0844-E25
E10	LIUYIFENG_20050126.0844-E26
E11	LIUYIFENG_20050126.0844-E27
E12	LIUYIFENG_20050126.0844-E28
E13	LIUYIFENG_20050126.0844-E29
EM1	LIUYIFENG_20050126.0844-E16-1
EM24	LIUYIFENG_20050126.0844-E2-2
EM21	LIUYIFENG_20050126.0844-E3-3
EM22	LIUYIFENG_20050126.0844-E2-4
EM25	LIUYIFENG_20050126.0844-E4-5
EM26	LIUYIFENG_20050126.0844-E2-6
EM27	LIUYIFENG_20050126.0844-E4-7
EM28	LIUYIFENG_20050126.0844-E5-8
EM29	LIUYIFENG_20050126.0844-E6-9
EM31	LIUYIFENG_20050126.0844-E6-10
EM32	LIUYIFENG_20050126.0844-E7-11
EM34	LIUYIFENG_20050126.0844-E20-12
EM35	LIUYIFENG_20050126.0844-E5-13
EM36	LIUYIFENG_20050126.0844-E8-14
EM37	LIUYIFENG_20050126.0844-E20-15
EM38	LIUYIFENG_20050126.0844-E9-16
EM39	LIUYIFENG_20050126.0844-E10-17
EM40	LIUYIFENG_20050126.0844-E5-18
EM41	LIUYIFENG_20050126.0844-E11-19
EM30	LIUYIFENG_20050126.0844-E15-20
EM42	LIUYIFENG_20050126.0844-E12-21
EM43	LIUYIFENG_20050126.0844-E13-22
