CE12	XIN20001225.2000.0134-CE1
CE13	XIN20001225.2000.0134-CE2
CE14	XIN20001225.2000.0134-CE3
CE16	XIN20001225.2000.0134-CE4
CE18	XIN20001225.2000.0134-CE5
CE19	XIN20001225.2000.0134-CE6
CE20	XIN20001225.2000.0134-CE7
CE21	XIN20001225.2000.0134-CE8
CE22	XIN20001225.2000.0134-CE9
CE23	XIN20001225.2000.0134-CE10
CE24	XIN20001225.2000.0134-CE11
CE25	XIN20001225.2000.0134-CE12
CE26	XIN20001225.2000.0134-CE13
CE27	XIN20001225.2000.0134-CE14
CE28	XIN20001225.2000.0134-CE15
CE29	XIN20001225.2000.0134-CE16
CE30	XIN20001225.2000.0134-CE17
CE31	XIN20001225.2000.0134-CE18
CE32	XIN20001225.2000.0134-CE19
CE1	XIN20001225.2000.0134-CE20
CE33	XIN20001225.2000.0134-CE21
CE34	XIN20001225.2000.0134-CE22
CE35	XIN20001225.2000.0134-CE23
CE36	XIN20001225.2000.0134-CE24
CE37	XIN20001225.2000.0134-CE25
CE38	XIN20001225.2000.0134-CE26
CE39	XIN20001225.2000.0134-CE27
CE40	XIN20001225.2000.0134-CE28
CE2	XIN20001225.2000.0134-CE29
CE3	XIN20001225.2000.0134-CE30
CE4	XIN20001225.2000.0134-CE31
CE5	XIN20001225.2000.0134-CE32
CE6	XIN20001225.2000.0134-CE33
CE7	XIN20001225.2000.0134-CE34
CE8	XIN20001225.2000.0134-CE35
CE9	XIN20001225.2000.0134-CE36
CE10	XIN20001225.2000.0134-CE37
CE11	XIN20001225.2000.0134-CE38
E14	XIN20001225.2000.0134-E1
E15	XIN20001225.2000.0134-E2
E16	XIN20001225.2000.0134-E3
E17	XIN20001225.2000.0134-E4
E18	XIN20001225.2000.0134-E5
E19	XIN20001225.2000.0134-E6
E20	XIN20001225.2000.0134-E7
E22	XIN20001225.2000.0134-E8
E24	XIN20001225.2000.0134-E9
E25	XIN20001225.2000.0134-E10
E26	XIN20001225.2000.0134-E11
E27	XIN20001225.2000.0134-E12
E28	XIN20001225.2000.0134-E13
E29	XIN20001225.2000.0134-E14
E30	XIN20001225.2000.0134-E15
E31	XIN20001225.2000.0134-E16
E32	XIN20001225.2000.0134-E17
E33	XIN20001225.2000.0134-E18
E34	XIN20001225.2000.0134-E19
E35	XIN20001225.2000.0134-E20
E37	XIN20001225.2000.0134-E21
E38	XIN20001225.2000.0134-E22
E39	XIN20001225.2000.0134-E23
E40	XIN20001225.2000.0134-E24
E41	XIN20001225.2000.0134-E25
E42	XIN20001225.2000.0134-E26
E1	XIN20001225.2000.0134-E27
E43	XIN20001225.2000.0134-E28
E44	XIN20001225.2000.0134-E29
E45	XIN20001225.2000.0134-E30
E46	XIN20001225.2000.0134-E31
E48	XIN20001225.2000.0134-E32
E49	XIN20001225.2000.0134-E33
E50	XIN20001225.2000.0134-E34
E51	XIN20001225.2000.0134-E35
E52	XIN20001225.2000.0134-E36
E54	XIN20001225.2000.0134-E37
E55	XIN20001225.2000.0134-E38
E56	XIN20001225.2000.0134-E39
E57	XIN20001225.2000.0134-E40
E58	XIN20001225.2000.0134-E41
E59	XIN20001225.2000.0134-E42
E60	XIN20001225.2000.0134-E43
E61	XIN20001225.2000.0134-E44
E62	XIN20001225.2000.0134-E45
E63	XIN20001225.2000.0134-E46
E64	XIN20001225.2000.0134-E47
E65	XIN20001225.2000.0134-E48
E2	XIN20001225.2000.0134-E49
E3	XIN20001225.2000.0134-E50
E4	XIN20001225.2000.0134-E51
E5	XIN20001225.2000.0134-E52
E6	XIN20001225.2000.0134-E53
E7	XIN20001225.2000.0134-E54
E8	XIN20001225.2000.0134-E55
E9	XIN20001225.2000.0134-E56
E10	XIN20001225.2000.0134-E57
E11	XIN20001225.2000.0134-E58
E12	XIN20001225.2000.0134-E59
E13	XIN20001225.2000.0134-E60
EM1	XIN20001225.2000.0134-E27-1
EM20	XIN20001225.2000.0134-E2-2
EM21	XIN20001225.2000.0134-E60-3
EM22	XIN20001225.2000.0134-E3-4
EM23	XIN20001225.2000.0134-E3-5
EM24	XIN20001225.2000.0134-E4-6
EM25	XIN20001225.2000.0134-E5-7
EM26	XIN20001225.2000.0134-E6-8
EM27	XIN20001225.2000.0134-E6-9
EM28	XIN20001225.2000.0134-E7-10
EM30	XIN20001225.2000.0134-E8-11
EM32	XIN20001225.2000.0134-E9-12
EM33	XIN20001225.2000.0134-E9-13
EM34	XIN20001225.2000.0134-E10-14
EM35	XIN20001225.2000.0134-E11-15
EM36	XIN20001225.2000.0134-E12-16
EM37	XIN20001225.2000.0134-E12-17
EM38	XIN20001225.2000.0134-E13-18
EM39	XIN20001225.2000.0134-E14-19
EM40	XIN20001225.2000.0134-E15-20
EM41	XIN20001225.2000.0134-E15-21
EM42	XIN20001225.2000.0134-E16-22
EM43	XIN20001225.2000.0134-E17-23
EM44	XIN20001225.2000.0134-E18-24
EM45	XIN20001225.2000.0134-E19-25
EM46	XIN20001225.2000.0134-E15-26
EM47	XIN20001225.2000.0134-E20-27
EM48	XIN20001225.2000.0134-E20-28
EM50	XIN20001225.2000.0134-E21-29
EM51	XIN20001225.2000.0134-E59-30
EM52	XIN20001225.2000.0134-E22-31
EM53	XIN20001225.2000.0134-E22-32
