CE14	ZBN20001119.1300.0040-CE1
CE15	ZBN20001119.1300.0040-CE2
CE16	ZBN20001119.1300.0040-CE3
CE17	ZBN20001119.1300.0040-CE4
CE3	ZBN20001119.1300.0040-CE5
CE5	ZBN20001119.1300.0040-CE6
CE6	ZBN20001119.1300.0040-CE7
CE8	ZBN20001119.1300.0040-CE8
CE9	ZBN20001119.1300.0040-CE9
CE10	ZBN20001119.1300.0040-CE10
CE11	ZBN20001119.1300.0040-CE11
CE12	ZBN20001119.1300.0040-CE12
CE13	ZBN20001119.1300.0040-CE13
E16	ZBN20001119.1300.0040-E1
E17	ZBN20001119.1300.0040-E2
E18	ZBN20001119.1300.0040-E3
E19	ZBN20001119.1300.0040-E4
E3	ZBN20001119.1300.0040-E5
E5	ZBN20001119.1300.0040-E6
E6	ZBN20001119.1300.0040-E7
E8	ZBN20001119.1300.0040-E8
E9	ZBN20001119.1300.0040-E9
E10	ZBN20001119.1300.0040-E10
E11	ZBN20001119.1300.0040-E11
E12	ZBN20001119.1300.0040-E12
E13	ZBN20001119.1300.0040-E13
E14	ZBN20001119.1300.0040-E14
E15	ZBN20001119.1300.0040-E15
EM27	ZBN20001119.1300.0040-E4-1
EM18	ZBN20001119.1300.0040-E11-2
EM19	ZBN20001119.1300.0040-E12-3
EM20	ZBN20001119.1300.0040-E10-4
EM21	ZBN20001119.1300.0040-E1-5
EM22	ZBN20001119.1300.0040-E1-6
EM23	ZBN20001119.1300.0040-E2-7
EM24	ZBN20001119.1300.0040-E5-8
EM25	ZBN20001119.1300.0040-E7-9
EM26	ZBN20001119.1300.0040-E3-10
EM28	ZBN20001119.1300.0040-E8-11
EM3	ZBN20001119.1300.0040-E5-12
EM4	ZBN20001119.1300.0040-E6-13
EM5	ZBN20001119.1300.0040-E7-14
EM7	ZBN20001119.1300.0040-E8-15
EM8	ZBN20001119.1300.0040-E9-16
EM9	ZBN20001119.1300.0040-E10-17
EM10	ZBN20001119.1300.0040-E11-18
EM11	ZBN20001119.1300.0040-E12-19
EM13	ZBN20001119.1300.0040-E7-20
EM14	ZBN20001119.1300.0040-E13-21
EM15	ZBN20001119.1300.0040-E13-22
EM16	ZBN20001119.1300.0040-E14-23
EM17	ZBN20001119.1300.0040-E15-24
R2	ZBN20001119.1300.0040-R1
R3	ZBN20001119.1300.0040-R2
R4	ZBN20001119.1300.0040-R3
R5	ZBN20001119.1300.0040-R4
R6	ZBN20001119.1300.0040-R5
R7	ZBN20001119.1300.0040-R6
R8	ZBN20001119.1300.0040-R7
R9	ZBN20001119.1300.0040-R8
R10	ZBN20001119.1300.0040-R9
R1	ZBN20001119.1300.0040-R10
RM3	ZBN20001119.1300.0040-R2-1
RM4	ZBN20001119.1300.0040-R3-1
RM5	ZBN20001119.1300.0040-R4-1
RM6	ZBN20001119.1300.0040-R5-1
RM7	ZBN20001119.1300.0040-R6-1
RM8	ZBN20001119.1300.0040-R5-2
RM9	ZBN20001119.1300.0040-R8-1
RM10	ZBN20001119.1300.0040-R9-1
RM1	ZBN20001119.1300.0040-R10-1
RM2	ZBN20001119.1300.0040-R1-1
V1	ZBN20001119.1300.0040-EV1
V3	ZBN20001119.1300.0040-EV2
V4	ZBN20001119.1300.0040-EV3
VM1	ZBN20001119.1300.0040-EV1-1
VM3	ZBN20001119.1300.0040-EV2-1
VM4	ZBN20001119.1300.0040-EV3-1
Q1	ZBN20001119.1300.0040-T1
Q3	ZBN20001119.1300.0040-T2
Q2	ZBN20001119.1300.0040-T3
