CE2	sci.physics_20041204.0640-CE1
CE3	sci.physics_20041204.0640-CE2
CE4	sci.physics_20041204.0640-CE3
CE5	sci.physics_20041204.0640-CE4
CE6	sci.physics_20041204.0640-CE5
CE7	sci.physics_20041204.0640-CE6
CE8	sci.physics_20041204.0640-CE7
CE9	sci.physics_20041204.0640-CE8
CE10	sci.physics_20041204.0640-CE9
CE11	sci.physics_20041204.0640-CE10
CE12	sci.physics_20041204.0640-CE11
CE13	sci.physics_20041204.0640-CE12
CE14	sci.physics_20041204.0640-CE13
CE15	sci.physics_20041204.0640-CE14
CE16	sci.physics_20041204.0640-CE15
CE17	sci.physics_20041204.0640-CE16
CE18	sci.physics_20041204.0640-CE17
CE19	sci.physics_20041204.0640-CE18
CE20	sci.physics_20041204.0640-CE19
CE21	sci.physics_20041204.0640-CE20
CE22	sci.physics_20041204.0640-CE21
CE23	sci.physics_20041204.0640-CE22
CE24	sci.physics_20041204.0640-CE23
CE25	sci.physics_20041204.0640-CE24
CE26	sci.physics_20041204.0640-CE25
CE27	sci.physics_20041204.0640-CE26
CE28	sci.physics_20041204.0640-CE27
CE29	sci.physics_20041204.0640-CE28
CE30	sci.physics_20041204.0640-CE29
CE31	sci.physics_20041204.0640-CE30
CE32	sci.physics_20041204.0640-CE31
CE33	sci.physics_20041204.0640-CE32
CE1	sci.physics_20041204.0640-CE33
E3	sci.physics_20041204.0640-E1
E4	sci.physics_20041204.0640-E2
E6	sci.physics_20041204.0640-E3
E7	sci.physics_20041204.0640-E4
E8	sci.physics_20041204.0640-E5
E9	sci.physics_20041204.0640-E6
E10	sci.physics_20041204.0640-E7
E11	sci.physics_20041204.0640-E8
E12	sci.physics_20041204.0640-E9
E13	sci.physics_20041204.0640-E10
E14	sci.physics_20041204.0640-E11
E15	sci.physics_20041204.0640-E12
E16	sci.physics_20041204.0640-E13
E17	sci.physics_20041204.0640-E14
E18	sci.physics_20041204.0640-E15
E19	sci.physics_20041204.0640-E16
E20	sci.physics_20041204.0640-E17
E21	sci.physics_20041204.0640-E18
E22	sci.physics_20041204.0640-E19
E23	sci.physics_20041204.0640-E20
E24	sci.physics_20041204.0640-E21
E25	sci.physics_20041204.0640-E22
E26	sci.physics_20041204.0640-E23
E27	sci.physics_20041204.0640-E24
E28	sci.physics_20041204.0640-E25
E29	sci.physics_20041204.0640-E26
E30	sci.physics_20041204.0640-E27
E31	sci.physics_20041204.0640-E28
E32	sci.physics_20041204.0640-E29
E33	sci.physics_20041204.0640-E30
E34	sci.physics_20041204.0640-E31
E35	sci.physics_20041204.0640-E32
E1	sci.physics_20041204.0640-E33
E2	sci.physics_20041204.0640-E34
EM3	sci.physics_20041204.0640-E34-1
EM4	sci.physics_20041204.0640-E1-2
EM5	sci.physics_20041204.0640-E34-3
EM6	sci.physics_20041204.0640-E34-4
EM7	sci.physics_20041204.0640-E34-5
EM8	sci.physics_20041204.0640-E1-6
EM9	sci.physics_20041204.0640-E2-7
EM10	sci.physics_20041204.0640-E2-8
EM11	sci.physics_20041204.0640-E3-9
EM12	sci.physics_20041204.0640-E4-10
EM13	sci.physics_20041204.0640-E4-11
EM14	sci.physics_20041204.0640-E5-12
EM16	sci.physics_20041204.0640-E6-13
EM17	sci.physics_20041204.0640-E6-14
EM18	sci.physics_20041204.0640-E1-15
EM19	sci.physics_20041204.0640-E2-16
EM20	sci.physics_20041204.0640-E7-17
EM21	sci.physics_20041204.0640-E8-18
EM22	sci.physics_20041204.0640-E8-19
EM23	sci.physics_20041204.0640-E9-20
EM24	sci.physics_20041204.0640-E9-21
EM25	sci.physics_20041204.0640-E10-22
EM26	sci.physics_20041204.0640-E9-23
EM27	sci.physics_20041204.0640-E11-24
EM28	sci.physics_20041204.0640-E9-25
EM29	sci.physics_20041204.0640-E9-26
EM30	sci.physics_20041204.0640-E9-27
EM31	sci.physics_20041204.0640-E12-28
EM32	sci.physics_20041204.0640-E9-29
EM33	sci.physics_20041204.0640-E12-30
EM34	sci.physics_20041204.0640-E13-31
EM35	sci.physics_20041204.0640-E14-32
EM36	sci.physics_20041204.0640-E15-33
EM37	sci.physics_20041204.0640-E16-34
EM38	sci.physics_20041204.0640-E17-35
EM39	sci.physics_20041204.0640-E15-36
EM40	sci.physics_20041204.0640-E15-37
EM41	sci.physics_20041204.0640-E18-38
EM42	sci.physics_20041204.0640-E19-39
EM43	sci.physics_20041204.0640-E15-40
EM44	sci.physics_20041204.0640-E20-41
EM45	sci.physics_20041204.0640-E20-42
EM46	sci.physics_20041204.0640-E21-43
EM47	sci.physics_20041204.0640-E22-44
EM48	sci.physics_20041204.0640-E1-45
EM49	sci.physics_20041204.0640-E23-46
EM50	sci.physics_20041204.0640-E23-47
EM51	sci.physics_20041204.0640-E24-48
EM52	sci.physics_20041204.0640-E25-49
EM53	sci.physics_20041204.0640-E26-50
EM54	sci.physics_20041204.0640-E26-51
EM55	sci.physics_20041204.0640-E27-52
EM56	sci.physics_20041204.0640-E28-53
EM57	sci.physics_20041204.0640-E28-54
EM58	sci.physics_20041204.0640-E29-55
EM59	sci.physics_20041204.0640-E30-56
EM60	sci.physics_20041204.0640-E28-57
EM61	sci.physics_20041204.0640-E31-58
EM62	sci.physics_20041204.0640-E31-59
EM63	sci.physics_20041204.0640-E32-60
EM64	sci.physics_20041204.0640-E4-61
EM65	sci.physics_20041204.0640-E4-62
EM1	sci.physics_20041204.0640-E33-63
EM2	sci.physics_20041204.0640-E34-64
R1	sci.physics_20041204.0640-R1
R2	sci.physics_20041204.0640-R2
R3	sci.physics_20041204.0640-R3
R4	sci.physics_20041204.0640-R4
RM1	sci.physics_20041204.0640-R1-1
RM2	sci.physics_20041204.0640-R2-1
RM3	sci.physics_20041204.0640-R3-1
RM4	sci.physics_20041204.0640-R4-1
V1	sci.physics_20041204.0640-EV1
V2	sci.physics_20041204.0640-EV2
V3	sci.physics_20041204.0640-EV3
V4	sci.physics_20041204.0640-EV4
V5	sci.physics_20041204.0640-EV5
V6	sci.physics_20041204.0640-EV6
V7	sci.physics_20041204.0640-EV7
V9	sci.physics_20041204.0640-EV8
V10	sci.physics_20041204.0640-EV9
VM1	sci.physics_20041204.0640-EV1-1
VM2	sci.physics_20041204.0640-EV2-1
VM3	sci.physics_20041204.0640-EV3-1
VM4	sci.physics_20041204.0640-EV4-1
VM5	sci.physics_20041204.0640-EV5-1
VM6	sci.physics_20041204.0640-EV6-1
VM7	sci.physics_20041204.0640-EV7-1
VM8	sci.physics_20041204.0640-EV6-2
VM10	sci.physics_20041204.0640-EV8-1
VM11	sci.physics_20041204.0640-EV9-1
Q1	sci.physics_20041204.0640-T1
Q2	sci.physics_20041204.0640-T2
Q3	sci.physics_20041204.0640-T3
Q4	sci.physics_20041204.0640-T4
Q5	sci.physics_20041204.0640-T5
Q6	sci.physics_20041204.0640-T6
Q7	sci.physics_20041204.0640-T7
Q8	sci.physics_20041204.0640-T8
Q9	sci.physics_20041204.0640-T9
Q10	sci.physics_20041204.0640-T10
Q11	sci.physics_20041204.0640-T11
Q12	sci.physics_20041204.0640-T12
Q13	sci.physics_20041204.0640-V1
Q14	sci.physics_20041204.0640-T13
Q15	sci.physics_20041204.0640-T14
Q16	sci.physics_20041204.0640-T15
Q17	sci.physics_20041204.0640-T16
Q18	sci.physics_20041204.0640-T17
Q19	sci.physics_20041204.0640-V2
Q20	sci.physics_20041204.0640-T18
Q21	sci.physics_20041204.0640-T19
Q22	sci.physics_20041204.0640-T20
Q23	sci.physics_20041204.0640-T21
Q24	sci.physics_20041204.0640-T22
