CE13	alt.sys.pc-clone.dell_20050226.2350-CE1
CE14	alt.sys.pc-clone.dell_20050226.2350-CE2
CE15	alt.sys.pc-clone.dell_20050226.2350-CE3
CE16	alt.sys.pc-clone.dell_20050226.2350-CE4
CE17	alt.sys.pc-clone.dell_20050226.2350-CE5
CE19	alt.sys.pc-clone.dell_20050226.2350-CE6
CE20	alt.sys.pc-clone.dell_20050226.2350-CE7
CE21	alt.sys.pc-clone.dell_20050226.2350-CE8
CE22	alt.sys.pc-clone.dell_20050226.2350-CE9
CE25	alt.sys.pc-clone.dell_20050226.2350-CE10
CE26	alt.sys.pc-clone.dell_20050226.2350-CE11
CE27	alt.sys.pc-clone.dell_20050226.2350-CE12
CE28	alt.sys.pc-clone.dell_20050226.2350-CE13
CE29	alt.sys.pc-clone.dell_20050226.2350-CE14
CE30	alt.sys.pc-clone.dell_20050226.2350-CE15
CE31	alt.sys.pc-clone.dell_20050226.2350-CE16
CE32	alt.sys.pc-clone.dell_20050226.2350-CE17
CE33	alt.sys.pc-clone.dell_20050226.2350-CE18
CE34	alt.sys.pc-clone.dell_20050226.2350-CE19
CE35	alt.sys.pc-clone.dell_20050226.2350-CE20
CE36	alt.sys.pc-clone.dell_20050226.2350-CE21
CE37	alt.sys.pc-clone.dell_20050226.2350-CE22
CE38	alt.sys.pc-clone.dell_20050226.2350-CE23
CE39	alt.sys.pc-clone.dell_20050226.2350-CE24
CE40	alt.sys.pc-clone.dell_20050226.2350-CE25
CE41	alt.sys.pc-clone.dell_20050226.2350-CE26
CE42	alt.sys.pc-clone.dell_20050226.2350-CE27
CE2	alt.sys.pc-clone.dell_20050226.2350-CE28
CE3	alt.sys.pc-clone.dell_20050226.2350-CE29
CE4	alt.sys.pc-clone.dell_20050226.2350-CE30
CE5	alt.sys.pc-clone.dell_20050226.2350-CE31
CE6	alt.sys.pc-clone.dell_20050226.2350-CE32
CE7	alt.sys.pc-clone.dell_20050226.2350-CE33
CE8	alt.sys.pc-clone.dell_20050226.2350-CE34
CE9	alt.sys.pc-clone.dell_20050226.2350-CE35
CE10	alt.sys.pc-clone.dell_20050226.2350-CE36
CE11	alt.sys.pc-clone.dell_20050226.2350-CE37
CE12	alt.sys.pc-clone.dell_20050226.2350-CE38
E13	alt.sys.pc-clone.dell_20050226.2350-E1
E14	alt.sys.pc-clone.dell_20050226.2350-E2
E16	alt.sys.pc-clone.dell_20050226.2350-E3
E17	alt.sys.pc-clone.dell_20050226.2350-E4
E18	alt.sys.pc-clone.dell_20050226.2350-E5
E19	alt.sys.pc-clone.dell_20050226.2350-E6
E21	alt.sys.pc-clone.dell_20050226.2350-E7
E22	alt.sys.pc-clone.dell_20050226.2350-E8
E24	alt.sys.pc-clone.dell_20050226.2350-E9
E25	alt.sys.pc-clone.dell_20050226.2350-E10
E30	alt.sys.pc-clone.dell_20050226.2350-E11
E31	alt.sys.pc-clone.dell_20050226.2350-E12
E33	alt.sys.pc-clone.dell_20050226.2350-E13
