CE8	alt.politics.economics_20041206.1835-CE1
CE9	alt.politics.economics_20041206.1835-CE2
CE10	alt.politics.economics_20041206.1835-CE3
CE11	alt.politics.economics_20041206.1835-CE4
CE12	alt.politics.economics_20041206.1835-CE5
CE13	alt.politics.economics_20041206.1835-CE6
CE14	alt.politics.economics_20041206.1835-CE7
CE15	alt.politics.economics_20041206.1835-CE8
CE16	alt.politics.economics_20041206.1835-CE9
CE17	alt.politics.economics_20041206.1835-CE10
CE18	alt.politics.economics_20041206.1835-CE11
CE19	alt.politics.economics_20041206.1835-CE12
CE20	alt.politics.economics_20041206.1835-CE13
CE21	alt.politics.economics_20041206.1835-CE14
CE22	alt.politics.economics_20041206.1835-CE15
CE23	alt.politics.economics_20041206.1835-CE16
CE24	alt.politics.economics_20041206.1835-CE17
CE25	alt.politics.economics_20041206.1835-CE18
CE26	alt.politics.economics_20041206.1835-CE19
CE27	alt.politics.economics_20041206.1835-CE20
CE28	alt.politics.economics_20041206.1835-CE21
CE1	alt.politics.economics_20041206.1835-CE22
CE2	alt.politics.economics_20041206.1835-CE23
CE3	alt.politics.economics_20041206.1835-CE24
CE4	alt.politics.economics_20041206.1835-CE25
CE5	alt.politics.economics_20041206.1835-CE26
CE6	alt.politics.economics_20041206.1835-CE27
CE7	alt.politics.economics_20041206.1835-CE28
E10	alt.politics.economics_20041206.1835-E1
E11	alt.politics.economics_20041206.1835-E2
E12	alt.politics.economics_20041206.1835-E3
E13	alt.politics.economics_20041206.1835-E4
E14	alt.politics.economics_20041206.1835-E5
E15	alt.politics.economics_20041206.1835-E6
E16	alt.politics.economics_20041206.1835-E7
E17	alt.politics.economics_20041206.1835-E8
E18	alt.politics.economics_20041206.1835-E9
E19	alt.politics.economics_20041206.1835-E10
E20	alt.politics.economics_20041206.1835-E11
E22	alt.politics.economics_20041206.1835-E12
E23	alt.politics.economics_20041206.1835-E13
E24	alt.politics.economics_20041206.1835-E14
E25	alt.politics.economics_20041206.1835-E15
E26	alt.politics.economics_20041206.1835-E16
E27	alt.politics.economics_20041206.1835-E17
E28	alt.politics.economics_20041206.1835-E18
E29	alt.politics.economics_20041206.1835-E19
E30	alt.politics.economics_20041206.1835-E20
E31	alt.politics.economics_20041206.1835-E21
E32	alt.politics.economics_20041206.1835-E22
E1	alt.politics.economics_20041206.1835-E23
E33	alt.politics.economics_20041206.1835-E24
E34	alt.politics.economics_20041206.1835-E25
E36	alt.politics.economics_20041206.1835-E26
E37	alt.politics.economics_20041206.1835-E27
E2	alt.politics.economics_20041206.1835-E28
E3	alt.politics.economics_20041206.1835-E29
E4	alt.politics.economics_20041206.1835-E30
E6	alt.politics.economics_20041206.1835-E31
E7	alt.politics.economics_20041206.1835-E32
E9	alt.politics.economics_20041206.1835-E33
EM1	alt.politics.economics_20041206.1835-E23-1
EM22	alt.politics.economics_20041206.1835-E1-2
EM23	alt.politics.economics_20041206.1835-E2-3
EM24	alt.politics.economics_20041206.1835-E3-4
EM26	alt.politics.economics_20041206.1835-E4-5
EM27	alt.politics.economics_20041206.1835-E5-6
EM28	alt.politics.economics_20041206.1835-E28-7
EM29	alt.politics.economics_20041206.1835-E23-8
EM30	alt.politics.economics_20041206.1835-E23-9
EM31	alt.politics.economics_20041206.1835-E23-10
EM32	alt.politics.economics_20041206.1835-E6-11
EM33	alt.politics.economics_20041206.1835-E7-12
EM34	alt.politics.economics_20041206.1835-E8-13
EM36	alt.politics.economics_20041206.1835-E9-14
EM38	alt.politics.economics_20041206.1835-E10-15
EM39	alt.politics.economics_20041206.1835-E11-16
EM40	alt.politics.economics_20041206.1835-E10-17
EM41	alt.politics.economics_20041206.1835-E12-18
EM42	alt.politics.economics_20041206.1835-E23-19
EM43	alt.politics.economics_20041206.1835-E13-20
EM44	alt.politics.economics_20041206.1835-E23-21
EM45	alt.politics.economics_20041206.1835-E32-22
EM46	alt.politics.economics_20041206.1835-E14-23
EM47	alt.politics.economics_20041206.1835-E28-24
EM48	alt.politics.economics_20041206.1835-E13-25
EM49	alt.politics.economics_20041206.1835-E15-26
EM50	alt.politics.economics_20041206.1835-E16-27
EM51	alt.politics.economics_20041206.1835-E16-28
EM52	alt.politics.economics_20041206.1835-E23-29
EM53	alt.politics.economics_20041206.1835-E17-30
EM54	alt.politics.economics_20041206.1835-E18-31
EM55	alt.politics.economics_20041206.1835-E19-32
EM56	alt.politics.economics_20041206.1835-E20-33
EM57	alt.politics.economics_20041206.1835-E23-34
EM58	alt.politics.economics_20041206.1835-E21-35
EM59	alt.politics.economics_20041206.1835-E22-36
EM60	alt.politics.economics_20041206.1835-E24-37
EM61	alt.politics.economics_20041206.1835-E25-38
EM62	alt.politics.economics_20041206.1835-E25-39
EM63	alt.politics.economics_20041206.1835-E16-40
EM64	alt.politics.economics_20041206.1835-E15-41
EM65	alt.politics.economics_20041206.1835-E15-42
EM67	alt.politics.economics_20041206.1835-E26-43
EM68	alt.politics.economics_20041206.1835-E23-44
EM69	alt.politics.economics_20041206.1835-E13-45
EM70	alt.politics.economics_20041206.1835-E27-46
EM2	alt.politics.economics_20041206.1835-E28-47
EM4	alt.politics.economics_20041206.1835-E29-48
EM5	alt.politics.economics_20041206.1835-E29-49
EM6	alt.politics.economics_20041206.1835-E30-50
EM7	alt.politics.economics_20041206.1835-E31-51
EM8	alt.politics.economics_20041206.1835-E30-52
EM9	alt.politics.economics_20041206.1835-E29-53
EM10	alt.politics.economics_20041206.1835-E30-54
EM11	alt.politics.economics_20041206.1835-E29-55
EM12	alt.politics.economics_20041206.1835-E28-56
EM13	alt.politics.economics_20041206.1835-E29-57
EM14	alt.politics.economics_20041206.1835-E29-58
EM15	alt.politics.economics_20041206.1835-E29-59
EM16	alt.politics.economics_20041206.1835-E23-60
EM17	alt.politics.economics_20041206.1835-E32-61
EM18	alt.politics.economics_20041206.1835-E33-62
EM19	alt.politics.economics_20041206.1835-E28-63
EM20	alt.politics.economics_20041206.1835-E29-64
EM21	alt.politics.economics_20041206.1835-E23-65
R1	alt.politics.economics_20041206.1835-R1
R2	alt.politics.economics_20041206.1835-R2
R3	alt.politics.economics_20041206.1835-R3
R4	alt.politics.economics_20041206.1835-R4
R5	alt.politics.economics_20041206.1835-R5
R6	alt.politics.economics_20041206.1835-R6
R7	alt.politics.economics_20041206.1835-R7
R8	alt.politics.economics_20041206.1835-R8
R9	alt.politics.economics_20041206.1835-R9
R10	alt.politics.economics_20041206.1835-R10
R11	alt.politics.economics_20041206.1835-R11
RM1	alt.politics.economics_20041206.1835-R1-1
