CE9	misc.legal.moderated_20050129.2225-CE1
CE10	misc.legal.moderated_20050129.2225-CE2
CE11	misc.legal.moderated_20050129.2225-CE3
CE12	misc.legal.moderated_20050129.2225-CE4
CE13	misc.legal.moderated_20050129.2225-CE5
CE14	misc.legal.moderated_20050129.2225-CE6
CE15	misc.legal.moderated_20050129.2225-CE7
CE16	misc.legal.moderated_20050129.2225-CE8
CE1	misc.legal.moderated_20050129.2225-CE9
CE17	misc.legal.moderated_20050129.2225-CE10
CE18	misc.legal.moderated_20050129.2225-CE11
CE21	misc.legal.moderated_20050129.2225-CE12
CE22	misc.legal.moderated_20050129.2225-CE13
CE23	misc.legal.moderated_20050129.2225-CE14
CE24	misc.legal.moderated_20050129.2225-CE15
CE25	misc.legal.moderated_20050129.2225-CE16
CE26	misc.legal.moderated_20050129.2225-CE17
CE27	misc.legal.moderated_20050129.2225-CE18
CE28	misc.legal.moderated_20050129.2225-CE19
CE29	misc.legal.moderated_20050129.2225-CE20
CE31	misc.legal.moderated_20050129.2225-CE21
CE32	misc.legal.moderated_20050129.2225-CE22
CE33	misc.legal.moderated_20050129.2225-CE23
CE34	misc.legal.moderated_20050129.2225-CE24
CE36	misc.legal.moderated_20050129.2225-CE25
CE37	misc.legal.moderated_20050129.2225-CE26
CE38	misc.legal.moderated_20050129.2225-CE27
CE39	misc.legal.moderated_20050129.2225-CE28
CE40	misc.legal.moderated_20050129.2225-CE29
CE42	misc.legal.moderated_20050129.2225-CE30
CE43	misc.legal.moderated_20050129.2225-CE31
CE45	misc.legal.moderated_20050129.2225-CE32
CE46	misc.legal.moderated_20050129.2225-CE33
CE47	misc.legal.moderated_20050129.2225-CE34
CE48	misc.legal.moderated_20050129.2225-CE35
CE49	misc.legal.moderated_20050129.2225-CE36
CE51	misc.legal.moderated_20050129.2225-CE37
CE52	misc.legal.moderated_20050129.2225-CE38
CE53	misc.legal.moderated_20050129.2225-CE39
CE2	misc.legal.moderated_20050129.2225-CE40
CE54	misc.legal.moderated_20050129.2225-CE41
CE3	misc.legal.moderated_20050129.2225-CE42
CE4	misc.legal.moderated_20050129.2225-CE43
CE5	misc.legal.moderated_20050129.2225-CE44
CE6	misc.legal.moderated_20050129.2225-CE45
CE7	misc.legal.moderated_20050129.2225-CE46
CE8	misc.legal.moderated_20050129.2225-CE47
E10	misc.legal.moderated_20050129.2225-E1
E11	misc.legal.moderated_20050129.2225-E2
E12	misc.legal.moderated_20050129.2225-E3
E13	misc.legal.moderated_20050129.2225-E4
E14	misc.legal.moderated_20050129.2225-E5
E15	misc.legal.moderated_20050129.2225-E6
E16	misc.legal.moderated_20050129.2225-E7
E1	misc.legal.moderated_20050129.2225-E8
E17	misc.legal.moderated_20050129.2225-E9
E18	misc.legal.moderated_20050129.2225-E10
E19	misc.legal.moderated_20050129.2225-E11
E23	misc.legal.moderated_20050129.2225-E12
E24	misc.legal.moderated_20050129.2225-E13
E25	misc.legal.moderated_20050129.2225-E14
E26	misc.legal.moderated_20050129.2225-E15
E27	misc.legal.moderated_20050129.2225-E16
E28	misc.legal.moderated_20050129.2225-E17
E29	misc.legal.moderated_20050129.2225-E18
E30	misc.legal.moderated_20050129.2225-E19
E31	misc.legal.moderated_20050129.2225-E20
E32	misc.legal.moderated_20050129.2225-E21
E33	misc.legal.moderated_20050129.2225-E22
E35	misc.legal.moderated_20050129.2225-E23
E36	misc.legal.moderated_20050129.2225-E24
E37	misc.legal.moderated_20050129.2225-E25
E38	misc.legal.moderated_20050129.2225-E26
E39	misc.legal.moderated_20050129.2225-E27
