CE12	soc.history.what-if_20050129.1404-CE1
CE13	soc.history.what-if_20050129.1404-CE2
CE14	soc.history.what-if_20050129.1404-CE3
CE15	soc.history.what-if_20050129.1404-CE4
CE16	soc.history.what-if_20050129.1404-CE5
CE17	soc.history.what-if_20050129.1404-CE6
CE18	soc.history.what-if_20050129.1404-CE7
CE19	soc.history.what-if_20050129.1404-CE8
CE21	soc.history.what-if_20050129.1404-CE9
CE22	soc.history.what-if_20050129.1404-CE10
CE23	soc.history.what-if_20050129.1404-CE11
CE24	soc.history.what-if_20050129.1404-CE12
CE25	soc.history.what-if_20050129.1404-CE13
CE26	soc.history.what-if_20050129.1404-CE14
CE27	soc.history.what-if_20050129.1404-CE15
CE28	soc.history.what-if_20050129.1404-CE16
CE29	soc.history.what-if_20050129.1404-CE17
CE30	soc.history.what-if_20050129.1404-CE18
CE31	soc.history.what-if_20050129.1404-CE19
CE32	soc.history.what-if_20050129.1404-CE20
CE1	soc.history.what-if_20050129.1404-CE21
CE33	soc.history.what-if_20050129.1404-CE22
CE34	soc.history.what-if_20050129.1404-CE23
CE35	soc.history.what-if_20050129.1404-CE24
CE36	soc.history.what-if_20050129.1404-CE25
CE37	soc.history.what-if_20050129.1404-CE26
CE2	soc.history.what-if_20050129.1404-CE27
CE3	soc.history.what-if_20050129.1404-CE28
CE4	soc.history.what-if_20050129.1404-CE29
CE5	soc.history.what-if_20050129.1404-CE30
CE6	soc.history.what-if_20050129.1404-CE31
CE7	soc.history.what-if_20050129.1404-CE32
CE8	soc.history.what-if_20050129.1404-CE33
CE9	soc.history.what-if_20050129.1404-CE34
CE10	soc.history.what-if_20050129.1404-CE35
CE11	soc.history.what-if_20050129.1404-CE36
E12	soc.history.what-if_20050129.1404-E1
E13	soc.history.what-if_20050129.1404-E2
E14	soc.history.what-if_20050129.1404-E3
E15	soc.history.what-if_20050129.1404-E4
E16	soc.history.what-if_20050129.1404-E5
E17	soc.history.what-if_20050129.1404-E6
E18	soc.history.what-if_20050129.1404-E7
E19	soc.history.what-if_20050129.1404-E8
E21	soc.history.what-if_20050129.1404-E9
E22	soc.history.what-if_20050129.1404-E10
E23	soc.history.what-if_20050129.1404-E11
E24	soc.history.what-if_20050129.1404-E12
E25	soc.history.what-if_20050129.1404-E13
E26	soc.history.what-if_20050129.1404-E14
E27	soc.history.what-if_20050129.1404-E15
E28	soc.history.what-if_20050129.1404-E16
E1	soc.history.what-if_20050129.1404-E17
E29	soc.history.what-if_20050129.1404-E18
E30	soc.history.what-if_20050129.1404-E19
