CE6	alt.gossip.celebrities_20041118.2331-CE1
CE7	alt.gossip.celebrities_20041118.2331-CE2
CE8	alt.gossip.celebrities_20041118.2331-CE3
CE9	alt.gossip.celebrities_20041118.2331-CE4
CE10	alt.gossip.celebrities_20041118.2331-CE5
CE11	alt.gossip.celebrities_20041118.2331-CE6
CE12	alt.gossip.celebrities_20041118.2331-CE7
CE13	alt.gossip.celebrities_20041118.2331-CE8
CE14	alt.gossip.celebrities_20041118.2331-CE9
CE16	alt.gossip.celebrities_20041118.2331-CE10
CE17	alt.gossip.celebrities_20041118.2331-CE11
CE18	alt.gossip.celebrities_20041118.2331-CE12
CE19	alt.gossip.celebrities_20041118.2331-CE13
CE20	alt.gossip.celebrities_20041118.2331-CE14
CE21	alt.gossip.celebrities_20041118.2331-CE15
CE22	alt.gossip.celebrities_20041118.2331-CE16
CE23	alt.gossip.celebrities_20041118.2331-CE17
CE24	alt.gossip.celebrities_20041118.2331-CE18
CE25	alt.gossip.celebrities_20041118.2331-CE19
CE26	alt.gossip.celebrities_20041118.2331-CE20
CE27	alt.gossip.celebrities_20041118.2331-CE21
CE1	alt.gossip.celebrities_20041118.2331-CE22
CE28	alt.gossip.celebrities_20041118.2331-CE23
CE29	alt.gossip.celebrities_20041118.2331-CE24
CE30	alt.gossip.celebrities_20041118.2331-CE25
CE32	alt.gossip.celebrities_20041118.2331-CE26
CE2	alt.gossip.celebrities_20041118.2331-CE27
CE3	alt.gossip.celebrities_20041118.2331-CE28
CE4	alt.gossip.celebrities_20041118.2331-CE29
CE5	alt.gossip.celebrities_20041118.2331-CE30
E11	alt.gossip.celebrities_20041118.2331-E1
E12	alt.gossip.celebrities_20041118.2331-E2
E13	alt.gossip.celebrities_20041118.2331-E3
E14	alt.gossip.celebrities_20041118.2331-E4
E15	alt.gossip.celebrities_20041118.2331-E5
E16	alt.gossip.celebrities_20041118.2331-E6
E17	alt.gossip.celebrities_20041118.2331-E7
E18	alt.gossip.celebrities_20041118.2331-E8
E19	alt.gossip.celebrities_20041118.2331-E9
E20	alt.gossip.celebrities_20041118.2331-E10
E21	alt.gossip.celebrities_20041118.2331-E11
E23	alt.gossip.celebrities_20041118.2331-E12
E24	alt.gossip.celebrities_20041118.2331-E13
E25	alt.gossip.celebrities_20041118.2331-E14
E26	alt.gossip.celebrities_20041118.2331-E15
E27	alt.gossip.celebrities_20041118.2331-E16
E28	alt.gossip.celebrities_20041118.2331-E17
E29	alt.gossip.celebrities_20041118.2331-E18
E30	alt.gossip.celebrities_20041118.2331-E19
E31	alt.gossip.celebrities_20041118.2331-E20
E1	alt.gossip.celebrities_20041118.2331-E21
E33	alt.gossip.celebrities_20041118.2331-E22
E34	alt.gossip.celebrities_20041118.2331-E23
E35	alt.gossip.celebrities_20041118.2331-E24
E37	alt.gossip.celebrities_20041118.2331-E25
E38	alt.gossip.celebrities_20041118.2331-E26
E39	alt.gossip.celebrities_20041118.2331-E27
E40	alt.gossip.celebrities_20041118.2331-E28
E41	alt.gossip.celebrities_20041118.2331-E29
E42	alt.gossip.celebrities_20041118.2331-E30
E43	alt.gossip.celebrities_20041118.2331-E31
E44	alt.gossip.celebrities_20041118.2331-E32
E45	alt.gossip.celebrities_20041118.2331-E33
E46	alt.gossip.celebrities_20041118.2331-E34
E47	alt.gossip.celebrities_20041118.2331-E35
E48	alt.gossip.celebrities_20041118.2331-E36
E49	alt.gossip.celebrities_20041118.2331-E37
E52	alt.gossip.celebrities_20041118.2331-E38
E2	alt.gossip.celebrities_20041118.2331-E39
E3	alt.gossip.celebrities_20041118.2331-E40
E4	alt.gossip.celebrities_20041118.2331-E41
E5	alt.gossip.celebrities_20041118.2331-E42
E9	alt.gossip.celebrities_20041118.2331-E43
E10	alt.gossip.celebrities_20041118.2331-E44
EM1	alt.gossip.celebrities_20041118.2331-E21-1
EM23	alt.gossip.celebrities_20041118.2331-E1-2
EM24	alt.gossip.celebrities_20041118.2331-E21-3
EM26	alt.gossip.celebrities_20041118.2331-E21-4
EM27	alt.gossip.celebrities_20041118.2331-E44-5
EM28	alt.gossip.celebrities_20041118.2331-E2-6
EM29	alt.gossip.celebrities_20041118.2331-E3-7
EM30	alt.gossip.celebrities_20041118.2331-E4-8
EM31	alt.gossip.celebrities_20041118.2331-E21-9
EM32	alt.gossip.celebrities_20041118.2331-E21-10
EM34	alt.gossip.celebrities_20041118.2331-E5-11
EM35	alt.gossip.celebrities_20041118.2331-E5-12
EM36	alt.gossip.celebrities_20041118.2331-E41-13
EM37	alt.gossip.celebrities_20041118.2331-E41-14
EM38	alt.gossip.celebrities_20041118.2331-E6-15
EM39	alt.gossip.celebrities_20041118.2331-E41-16
EM40	alt.gossip.celebrities_20041118.2331-E21-17
EM41	alt.gossip.celebrities_20041118.2331-E7-18
EM42	alt.gossip.celebrities_20041118.2331-E8-19
EM43	alt.gossip.celebrities_20041118.2331-E9-20
EM44	alt.gossip.celebrities_20041118.2331-E10-21
