CE12	rec.arts.disney.parks_20041223.1041-CE1
CE13	rec.arts.disney.parks_20041223.1041-CE2
CE15	rec.arts.disney.parks_20041223.1041-CE3
CE16	rec.arts.disney.parks_20041223.1041-CE4
CE17	rec.arts.disney.parks_20041223.1041-CE5
CE18	rec.arts.disney.parks_20041223.1041-CE6
CE19	rec.arts.disney.parks_20041223.1041-CE7
CE20	rec.arts.disney.parks_20041223.1041-CE8
CE21	rec.arts.disney.parks_20041223.1041-CE9
CE22	rec.arts.disney.parks_20041223.1041-CE10
CE23	rec.arts.disney.parks_20041223.1041-CE11
CE24	rec.arts.disney.parks_20041223.1041-CE12
CE25	rec.arts.disney.parks_20041223.1041-CE13
CE27	rec.arts.disney.parks_20041223.1041-CE14
CE28	rec.arts.disney.parks_20041223.1041-CE15
CE29	rec.arts.disney.parks_20041223.1041-CE16
CE30	rec.arts.disney.parks_20041223.1041-CE17
CE31	rec.arts.disney.parks_20041223.1041-CE18
CE32	rec.arts.disney.parks_20041223.1041-CE19
CE33	rec.arts.disney.parks_20041223.1041-CE20
CE34	rec.arts.disney.parks_20041223.1041-CE21
CE35	rec.arts.disney.parks_20041223.1041-CE22
CE36	rec.arts.disney.parks_20041223.1041-CE23
CE37	rec.arts.disney.parks_20041223.1041-CE24
CE38	rec.arts.disney.parks_20041223.1041-CE25
CE1	rec.arts.disney.parks_20041223.1041-CE26
CE39	rec.arts.disney.parks_20041223.1041-CE27
CE40	rec.arts.disney.parks_20041223.1041-CE28
CE41	rec.arts.disney.parks_20041223.1041-CE29
CE42	rec.arts.disney.parks_20041223.1041-CE30
CE43	rec.arts.disney.parks_20041223.1041-CE31
CE44	rec.arts.disney.parks_20041223.1041-CE32
CE45	rec.arts.disney.parks_20041223.1041-CE33
CE46	rec.arts.disney.parks_20041223.1041-CE34
CE47	rec.arts.disney.parks_20041223.1041-CE35
CE48	rec.arts.disney.parks_20041223.1041-CE36
CE49	rec.arts.disney.parks_20041223.1041-CE37
CE50	rec.arts.disney.parks_20041223.1041-CE38
CE51	rec.arts.disney.parks_20041223.1041-CE39
CE54	rec.arts.disney.parks_20041223.1041-CE40
CE55	rec.arts.disney.parks_20041223.1041-CE41
CE56	rec.arts.disney.parks_20041223.1041-CE42
CE57	rec.arts.disney.parks_20041223.1041-CE43
CE58	rec.arts.disney.parks_20041223.1041-CE44
CE59	rec.arts.disney.parks_20041223.1041-CE45
CE60	rec.arts.disney.parks_20041223.1041-CE46
CE61	rec.arts.disney.parks_20041223.1041-CE47
CE62	rec.arts.disney.parks_20041223.1041-CE48
CE63	rec.arts.disney.parks_20041223.1041-CE49
CE64	rec.arts.disney.parks_20041223.1041-CE50
