CE10	alt.religion.mormon_20050103.0854-CE1
CE21	alt.religion.mormon_20050103.0854-CE2
CE12	alt.religion.mormon_20050103.0854-CE3
CE14	alt.religion.mormon_20050103.0854-CE4
CE15	alt.religion.mormon_20050103.0854-CE5
CE22	alt.religion.mormon_20050103.0854-CE6
CE17	alt.religion.mormon_20050103.0854-CE7
CE18	alt.religion.mormon_20050103.0854-CE8
CE19	alt.religion.mormon_20050103.0854-CE9
CE20	alt.religion.mormon_20050103.0854-CE10
CE23	alt.religion.mormon_20050103.0854-CE11
CE25	alt.religion.mormon_20050103.0854-CE12
CE26	alt.religion.mormon_20050103.0854-CE13
CE28	alt.religion.mormon_20050103.0854-CE14
CE29	alt.religion.mormon_20050103.0854-CE15
CE30	alt.religion.mormon_20050103.0854-CE16
CE31	alt.religion.mormon_20050103.0854-CE17
CE32	alt.religion.mormon_20050103.0854-CE18
CE1	alt.religion.mormon_20050103.0854-CE19
CE33	alt.religion.mormon_20050103.0854-CE20
CE34	alt.religion.mormon_20050103.0854-CE21
CE35	alt.religion.mormon_20050103.0854-CE22
CE36	alt.religion.mormon_20050103.0854-CE23
CE37	alt.religion.mormon_20050103.0854-CE24
CE38	alt.religion.mormon_20050103.0854-CE25
CE39	alt.religion.mormon_20050103.0854-CE26
CE40	alt.religion.mormon_20050103.0854-CE27
CE41	alt.religion.mormon_20050103.0854-CE28
CE42	alt.religion.mormon_20050103.0854-CE29
CE43	alt.religion.mormon_20050103.0854-CE30
CE44	alt.religion.mormon_20050103.0854-CE31
CE45	alt.religion.mormon_20050103.0854-CE32
CE46	alt.religion.mormon_20050103.0854-CE33
CE2	alt.religion.mormon_20050103.0854-CE34
CE3	alt.religion.mormon_20050103.0854-CE35
CE4	alt.religion.mormon_20050103.0854-CE36
CE5	alt.religion.mormon_20050103.0854-CE37
CE7	alt.religion.mormon_20050103.0854-CE38
CE8	alt.religion.mormon_20050103.0854-CE39
E32	alt.religion.mormon_20050103.0854-E1
E10	alt.religion.mormon_20050103.0854-E2
E33	alt.religion.mormon_20050103.0854-E3
E12	alt.religion.mormon_20050103.0854-E4
E13	alt.religion.mormon_20050103.0854-E5
E14	alt.religion.mormon_20050103.0854-E6
E34	alt.religion.mormon_20050103.0854-E7
E16	alt.religion.mormon_20050103.0854-E8
E17	alt.religion.mormon_20050103.0854-E9
E19	alt.religion.mormon_20050103.0854-E10
E20	alt.religion.mormon_20050103.0854-E11
E35	alt.religion.mormon_20050103.0854-E12
E21	alt.religion.mormon_20050103.0854-E13
E22	alt.religion.mormon_20050103.0854-E14
E23	alt.religion.mormon_20050103.0854-E15
E24	alt.religion.mormon_20050103.0854-E16
E25	alt.religion.mormon_20050103.0854-E17
E26	alt.religion.mormon_20050103.0854-E18
E27	alt.religion.mormon_20050103.0854-E19
E28	alt.religion.mormon_20050103.0854-E20
E31	alt.religion.mormon_20050103.0854-E21
E38	alt.religion.mormon_20050103.0854-E22
E39	alt.religion.mormon_20050103.0854-E23
E1	alt.religion.mormon_20050103.0854-E24
E41	alt.religion.mormon_20050103.0854-E25
E42	alt.religion.mormon_20050103.0854-E26
E43	alt.religion.mormon_20050103.0854-E27
E44	alt.religion.mormon_20050103.0854-E28
E45	alt.religion.mormon_20050103.0854-E29
E46	alt.religion.mormon_20050103.0854-E30
E47	alt.religion.mormon_20050103.0854-E31
E48	alt.religion.mormon_20050103.0854-E32
E49	alt.religion.mormon_20050103.0854-E33
E50	alt.religion.mormon_20050103.0854-E34
E51	alt.religion.mormon_20050103.0854-E35
E52	alt.religion.mormon_20050103.0854-E36
E53	alt.religion.mormon_20050103.0854-E37
E55	alt.religion.mormon_20050103.0854-E38
E56	alt.religion.mormon_20050103.0854-E39
E57	alt.religion.mormon_20050103.0854-E40
E58	alt.religion.mormon_20050103.0854-E41
E59	alt.religion.mormon_20050103.0854-E42
E60	alt.religion.mormon_20050103.0854-E43
E61	alt.religion.mormon_20050103.0854-E44
E62	alt.religion.mormon_20050103.0854-E45
E63	alt.religion.mormon_20050103.0854-E46
E2	alt.religion.mormon_20050103.0854-E47
E3	alt.religion.mormon_20050103.0854-E48
E4	alt.religion.mormon_20050103.0854-E49
E5	alt.religion.mormon_20050103.0854-E50
E7	alt.religion.mormon_20050103.0854-E51
E8	alt.religion.mormon_20050103.0854-E52
EM1	alt.religion.mormon_20050103.0854-E24-1
EM23	alt.religion.mormon_20050103.0854-E2-2
EM24	alt.religion.mormon_20050103.0854-E48-3
EM26	alt.religion.mormon_20050103.0854-E52-4
EM27	alt.religion.mormon_20050103.0854-E52-5
EM63	alt.religion.mormon_20050103.0854-E3-6
EM29	alt.religion.mormon_20050103.0854-E4-7
EM30	alt.religion.mormon_20050103.0854-E48-8
EM31	alt.religion.mormon_20050103.0854-E52-9
EM32	alt.religion.mormon_20050103.0854-E49-10
EM33	alt.religion.mormon_20050103.0854-E52-11
EM34	alt.religion.mormon_20050103.0854-E5-12
EM35	alt.religion.mormon_20050103.0854-E6-13
EM64	alt.religion.mormon_20050103.0854-E7-14
EM37	alt.religion.mormon_20050103.0854-E8-15
EM38	alt.religion.mormon_20050103.0854-E48-16
EM39	alt.religion.mormon_20050103.0854-E48-17
EM40	alt.religion.mormon_20050103.0854-E9-18
EM41	alt.religion.mormon_20050103.0854-E9-19
EM65	alt.religion.mormon_20050103.0854-E12-20
EM44	alt.religion.mormon_20050103.0854-E49-21
EM45	alt.religion.mormon_20050103.0854-E10-22
EM46	alt.religion.mormon_20050103.0854-E49-23
EM47	alt.religion.mormon_20050103.0854-E11-24
EM48	alt.religion.mormon_20050103.0854-E49-25
EM50	alt.religion.mormon_20050103.0854-E13-26
EM51	alt.religion.mormon_20050103.0854-E48-27
EM52	alt.religion.mormon_20050103.0854-E14-28
EM53	alt.religion.mormon_20050103.0854-E15-29
EM54	alt.religion.mormon_20050103.0854-E16-30
EM55	alt.religion.mormon_20050103.0854-E17-31
EM56	alt.religion.mormon_20050103.0854-E18-32
EM57	alt.religion.mormon_20050103.0854-E48-33
EM58	alt.religion.mormon_20050103.0854-E19-34
EM59	alt.religion.mormon_20050103.0854-E20-35
EM61	alt.religion.mormon_20050103.0854-E21-36
EM67	alt.religion.mormon_20050103.0854-E22-37
EM68	alt.religion.mormon_20050103.0854-E19-38
EM69	alt.religion.mormon_20050103.0854-E23-39
EM70	alt.religion.mormon_20050103.0854-E23-40
EM72	alt.religion.mormon_20050103.0854-E25-41
EM73	alt.religion.mormon_20050103.0854-E25-42
EM74	alt.religion.mormon_20050103.0854-E23-43
EM75	alt.religion.mormon_20050103.0854-E23-44
EM76	alt.religion.mormon_20050103.0854-E26-45
EM77	alt.religion.mormon_20050103.0854-E26-46
EM78	alt.religion.mormon_20050103.0854-E23-47
EM79	alt.religion.mormon_20050103.0854-E26-48
EM80	alt.religion.mormon_20050103.0854-E26-49
EM81	alt.religion.mormon_20050103.0854-E23-50
EM82	alt.religion.mormon_20050103.0854-E7-51
EM83	alt.religion.mormon_20050103.0854-E27-52
EM84	alt.religion.mormon_20050103.0854-E23-53
EM85	alt.religion.mormon_20050103.0854-E50-54
EM86	alt.religion.mormon_20050103.0854-E23-55
EM87	alt.religion.mormon_20050103.0854-E25-56
EM88	alt.religion.mormon_20050103.0854-E28-57
EM89	alt.religion.mormon_20050103.0854-E28-58
EM90	alt.religion.mormon_20050103.0854-E29-59
EM91	alt.religion.mormon_20050103.0854-E19-60
EM92	alt.religion.mormon_20050103.0854-E19-61
EM93	alt.religion.mormon_20050103.0854-E19-62
EM94	alt.religion.mormon_20050103.0854-E30-63
EM95	alt.religion.mormon_20050103.0854-E30-64
EM96	alt.religion.mormon_20050103.0854-E31-65
EM97	alt.religion.mormon_20050103.0854-E32-66
EM98	alt.religion.mormon_20050103.0854-E32-67
EM99	alt.religion.mormon_20050103.0854-E32-68
EM100	alt.religion.mormon_20050103.0854-E33-69
EM101	alt.religion.mormon_20050103.0854-E34-70
EM102	alt.religion.mormon_20050103.0854-E35-71
EM103	alt.religion.mormon_20050103.0854-E36-72
EM104	alt.religion.mormon_20050103.0854-E37-73
EM105	alt.religion.mormon_20050103.0854-E38-74
EM106	alt.religion.mormon_20050103.0854-E39-75
EM107	alt.religion.mormon_20050103.0854-E34-76
EM108	alt.religion.mormon_20050103.0854-E32-77
EM109	alt.religion.mormon_20050103.0854-E34-78
EM110	alt.religion.mormon_20050103.0854-E34-79
EM111	alt.religion.mormon_20050103.0854-E34-80
EM112	alt.religion.mormon_20050103.0854-E40-81
EM113	alt.religion.mormon_20050103.0854-E32-82
EM114	alt.religion.mormon_20050103.0854-E32-83
EM115	alt.religion.mormon_20050103.0854-E32-84
EM2	alt.religion.mormon_20050103.0854-E47-85
EM116	alt.religion.mormon_20050103.0854-E41-86
EM117	alt.religion.mormon_20050103.0854-E32-87
EM118	alt.religion.mormon_20050103.0854-E34-88
EM119	alt.religion.mormon_20050103.0854-E42-89
EM120	alt.religion.mormon_20050103.0854-E37-90
EM121	alt.religion.mormon_20050103.0854-E34-91
EM122	alt.religion.mormon_20050103.0854-E20-92
EM123	alt.religion.mormon_20050103.0854-E32-93
EM124	alt.religion.mormon_20050103.0854-E32-94
EM125	alt.religion.mormon_20050103.0854-E34-95
EM126	alt.religion.mormon_20050103.0854-E34-96
EM127	alt.religion.mormon_20050103.0854-E43-97
EM128	alt.religion.mormon_20050103.0854-E44-98
EM129	alt.religion.mormon_20050103.0854-E44-99
EM130	alt.religion.mormon_20050103.0854-E43-100
EM131	alt.religion.mormon_20050103.0854-E45-101
EM132	alt.religion.mormon_20050103.0854-E43-102
EM133	alt.religion.mormon_20050103.0854-E43-103
EM134	alt.religion.mormon_20050103.0854-E45-104
EM135	alt.religion.mormon_20050103.0854-E46-105
EM136	alt.religion.mormon_20050103.0854-E43-106
EM137	alt.religion.mormon_20050103.0854-E20-107
EM138	alt.religion.mormon_20050103.0854-E45-108
EM139	alt.religion.mormon_20050103.0854-E46-109
EM140	alt.religion.mormon_20050103.0854-E7-110
EM141	alt.religion.mormon_20050103.0854-E45-111
EM13	alt.religion.mormon_20050103.0854-E7-112
EM3	alt.religion.mormon_20050103.0854-E48-113
EM4	alt.religion.mormon_20050103.0854-E49-114
EM5	alt.religion.mormon_20050103.0854-E24-115
EM6	alt.religion.mormon_20050103.0854-E24-116
EM7	alt.religion.mormon_20050103.0854-E50-117
EM8	alt.religion.mormon_20050103.0854-E24-118
EM9	alt.religion.mormon_20050103.0854-E24-119
EM10	alt.religion.mormon_20050103.0854-E24-120
EM11	alt.religion.mormon_20050103.0854-E24-121
EM12	alt.religion.mormon_20050103.0854-E49-122
EM14	alt.religion.mormon_20050103.0854-E48-123
EM15	alt.religion.mormon_20050103.0854-E51-124
EM16	alt.religion.mormon_20050103.0854-E24-125
EM17	alt.religion.mormon_20050103.0854-E48-126
EM18	alt.religion.mormon_20050103.0854-E51-127
EM19	alt.religion.mormon_20050103.0854-E49-128
EM20	alt.religion.mormon_20050103.0854-E49-129
EM21	alt.religion.mormon_20050103.0854-E52-130
EM62	alt.religion.mormon_20050103.0854-E1-131
R2	alt.religion.mormon_20050103.0854-R1
R5	alt.religion.mormon_20050103.0854-R2
R6	alt.religion.mormon_20050103.0854-R3
R7	alt.religion.mormon_20050103.0854-R4
R8	alt.religion.mormon_20050103.0854-R5
R9	alt.religion.mormon_20050103.0854-R6
R10	alt.religion.mormon_20050103.0854-R7
R11	alt.religion.mormon_20050103.0854-R8
R12	alt.religion.mormon_20050103.0854-R9
R13	alt.religion.mormon_20050103.0854-R10
R14	alt.religion.mormon_20050103.0854-R11
R15	alt.religion.mormon_20050103.0854-R12
R16	alt.religion.mormon_20050103.0854-R13
R6	alt.religion.mormon_20050103.0854-R14
R18	alt.religion.mormon_20050103.0854-R15
R19	alt.religion.mormon_20050103.0854-R16
R20	alt.religion.mormon_20050103.0854-R17
R21	alt.religion.mormon_20050103.0854-R18
R22	alt.religion.mormon_20050103.0854-R19
R23	alt.religion.mormon_20050103.0854-R20
R24	alt.religion.mormon_20050103.0854-R21
R25	alt.religion.mormon_20050103.0854-R22
R26	alt.religion.mormon_20050103.0854-R23
RM3	alt.religion.mormon_20050103.0854-R2-1
RM4	alt.religion.mormon_20050103.0854-R3-1
RM5	alt.religion.mormon_20050103.0854-R3-2
RM6	alt.religion.mormon_20050103.0854-R4-1
RM7	alt.religion.mormon_20050103.0854-R5-1
RM8	alt.religion.mormon_20050103.0854-R6-1
RM9	alt.religion.mormon_20050103.0854-R7-1
RM10	alt.religion.mormon_20050103.0854-R8-1
RM11	alt.religion.mormon_20050103.0854-R9-1
RM12	alt.religion.mormon_20050103.0854-R10-1
RM13	alt.religion.mormon_20050103.0854-R11-1
RM14	alt.religion.mormon_20050103.0854-R12-1
RM15	alt.religion.mormon_20050103.0854-R13-1
RM17	alt.religion.mormon_20050103.0854-R15-1
RM18	alt.religion.mormon_20050103.0854-R16-1
RM19	alt.religion.mormon_20050103.0854-R17-1
RM20	alt.religion.mormon_20050103.0854-R18-1
RM21	alt.religion.mormon_20050103.0854-R19-1
RM22	alt.religion.mormon_20050103.0854-R20-1
RM23	alt.religion.mormon_20050103.0854-R21-1
RM24	alt.religion.mormon_20050103.0854-R22-1
RM25	alt.religion.mormon_20050103.0854-R23-1
V1	alt.religion.mormon_20050103.0854-EV1
V3	alt.religion.mormon_20050103.0854-EV2
V4	alt.religion.mormon_20050103.0854-EV3
V5	alt.religion.mormon_20050103.0854-EV4
V7	alt.religion.mormon_20050103.0854-EV5
V8	alt.religion.mormon_20050103.0854-EV6
V9	alt.religion.mormon_20050103.0854-EV7
VM1	alt.religion.mormon_20050103.0854-EV1-1
VM2	alt.religion.mormon_20050103.0854-EV1-2
VM4	alt.religion.mormon_20050103.0854-EV1-3
VM5	alt.religion.mormon_20050103.0854-EV2-1
VM6	alt.religion.mormon_20050103.0854-EV3-1
VM7	alt.religion.mormon_20050103.0854-EV4-1
VM8	alt.religion.mormon_20050103.0854-EV4-2
VM10	alt.religion.mormon_20050103.0854-EV5-1
VM11	alt.religion.mormon_20050103.0854-EV5-2
VM12	alt.religion.mormon_20050103.0854-EV5-3
VM13	alt.religion.mormon_20050103.0854-EV6-1
VM14	alt.religion.mormon_20050103.0854-EV7-1
Q1	alt.religion.mormon_20050103.0854-T1
Q2	alt.religion.mormon_20050103.0854-T2
Q3	alt.religion.mormon_20050103.0854-T3
Q4	alt.religion.mormon_20050103.0854-T4
Q5	alt.religion.mormon_20050103.0854-T5
Q6	alt.religion.mormon_20050103.0854-T6
Q7	alt.religion.mormon_20050103.0854-T7
Q8	alt.religion.mormon_20050103.0854-T8
Q9	alt.religion.mormon_20050103.0854-T9
Q10	alt.religion.mormon_20050103.0854-T10
Q11	alt.religion.mormon_20050103.0854-T11
Q12	alt.religion.mormon_20050103.0854-T12
Q13	alt.religion.mormon_20050103.0854-T13
Q14	alt.religion.mormon_20050103.0854-T14
