CE11	soc.culture.china_20050203.0639-CE1
CE12	soc.culture.china_20050203.0639-CE2
CE13	soc.culture.china_20050203.0639-CE3
CE15	soc.culture.china_20050203.0639-CE4
CE16	soc.culture.china_20050203.0639-CE5
CE17	soc.culture.china_20050203.0639-CE6
CE18	soc.culture.china_20050203.0639-CE7
CE19	soc.culture.china_20050203.0639-CE8
CE20	soc.culture.china_20050203.0639-CE9
CE21	soc.culture.china_20050203.0639-CE10
CE23	soc.culture.china_20050203.0639-CE11
CE24	soc.culture.china_20050203.0639-CE12
CE25	soc.culture.china_20050203.0639-CE13
CE27	soc.culture.china_20050203.0639-CE14
CE28	soc.culture.china_20050203.0639-CE15
CE29	soc.culture.china_20050203.0639-CE16
CE30	soc.culture.china_20050203.0639-CE17
CE31	soc.culture.china_20050203.0639-CE18
CE32	soc.culture.china_20050203.0639-CE19
CE33	soc.culture.china_20050203.0639-CE20
CE34	soc.culture.china_20050203.0639-CE21
CE35	soc.culture.china_20050203.0639-CE22
CE36	soc.culture.china_20050203.0639-CE23
CE37	soc.culture.china_20050203.0639-CE24
CE38	soc.culture.china_20050203.0639-CE25
CE1	soc.culture.china_20050203.0639-CE26
CE40	soc.culture.china_20050203.0639-CE27
CE41	soc.culture.china_20050203.0639-CE28
CE42	soc.culture.china_20050203.0639-CE29
CE43	soc.culture.china_20050203.0639-CE30
CE44	soc.culture.china_20050203.0639-CE31
CE45	soc.culture.china_20050203.0639-CE32
CE46	soc.culture.china_20050203.0639-CE33
CE47	soc.culture.china_20050203.0639-CE34
CE48	soc.culture.china_20050203.0639-CE35
CE49	soc.culture.china_20050203.0639-CE36
CE50	soc.culture.china_20050203.0639-CE37
CE51	soc.culture.china_20050203.0639-CE38
CE52	soc.culture.china_20050203.0639-CE39
CE53	soc.culture.china_20050203.0639-CE40
CE54	soc.culture.china_20050203.0639-CE41
CE2	soc.culture.china_20050203.0639-CE42
CE3	soc.culture.china_20050203.0639-CE43
CE4	soc.culture.china_20050203.0639-CE44
CE5	soc.culture.china_20050203.0639-CE45
CE6	soc.culture.china_20050203.0639-CE46
CE7	soc.culture.china_20050203.0639-CE47
CE8	soc.culture.china_20050203.0639-CE48
CE9	soc.culture.china_20050203.0639-CE49
CE10	soc.culture.china_20050203.0639-CE50
E13	soc.culture.china_20050203.0639-E1
E14	soc.culture.china_20050203.0639-E2
E15	soc.culture.china_20050203.0639-E3
E16	soc.culture.china_20050203.0639-E4
E17	soc.culture.china_20050203.0639-E5
E18	soc.culture.china_20050203.0639-E6
E20	soc.culture.china_20050203.0639-E7
E22	soc.culture.china_20050203.0639-E8
E23	soc.culture.china_20050203.0639-E9
E24	soc.culture.china_20050203.0639-E10
E25	soc.culture.china_20050203.0639-E11
E26	soc.culture.china_20050203.0639-E12
E27	soc.culture.china_20050203.0639-E13
E28	soc.culture.china_20050203.0639-E14
E29	soc.culture.china_20050203.0639-E15
E31	soc.culture.china_20050203.0639-E16
E32	soc.culture.china_20050203.0639-E17
E33	soc.culture.china_20050203.0639-E18
E35	soc.culture.china_20050203.0639-E19
E36	soc.culture.china_20050203.0639-E20
E37	soc.culture.china_20050203.0639-E21
E38	soc.culture.china_20050203.0639-E22
E1	soc.culture.china_20050203.0639-E23
E39	soc.culture.china_20050203.0639-E24
E40	soc.culture.china_20050203.0639-E25
E41	soc.culture.china_20050203.0639-E26
E42	soc.culture.china_20050203.0639-E27
E43	soc.culture.china_20050203.0639-E28
E44	soc.culture.china_20050203.0639-E29
E45	soc.culture.china_20050203.0639-E30
E46	soc.culture.china_20050203.0639-E31
E48	soc.culture.china_20050203.0639-E32
E49	soc.culture.china_20050203.0639-E33
E50	soc.culture.china_20050203.0639-E34
E51	soc.culture.china_20050203.0639-E35
E52	soc.culture.china_20050203.0639-E36
E53	soc.culture.china_20050203.0639-E37
E54	soc.culture.china_20050203.0639-E38
E55	soc.culture.china_20050203.0639-E39
E56	soc.culture.china_20050203.0639-E40
E57	soc.culture.china_20050203.0639-E41
E58	soc.culture.china_20050203.0639-E42
E59	soc.culture.china_20050203.0639-E43
E60	soc.culture.china_20050203.0639-E44
E61	soc.culture.china_20050203.0639-E45
E62	soc.culture.china_20050203.0639-E46
E63	soc.culture.china_20050203.0639-E47
E64	soc.culture.china_20050203.0639-E48
E65	soc.culture.china_20050203.0639-E49
E2	soc.culture.china_20050203.0639-E50
E3	soc.culture.china_20050203.0639-E51
E4	soc.culture.china_20050203.0639-E52
E5	soc.culture.china_20050203.0639-E53
E6	soc.culture.china_20050203.0639-E54
E7	soc.culture.china_20050203.0639-E55
E8	soc.culture.china_20050203.0639-E56
E9	soc.culture.china_20050203.0639-E57
E10	soc.culture.china_20050203.0639-E58
E11	soc.culture.china_20050203.0639-E59
E12	soc.culture.china_20050203.0639-E60
EM1	soc.culture.china_20050203.0639-E23-1
EM20	soc.culture.china_20050203.0639-E1-2
EM21	soc.culture.china_20050203.0639-E2-3
EM22	soc.culture.china_20050203.0639-E3-4
EM23	soc.culture.china_20050203.0639-E4-5
EM24	soc.culture.china_20050203.0639-E5-6
EM25	soc.culture.china_20050203.0639-E50-7
EM27	soc.culture.china_20050203.0639-E6-8
EM28	soc.culture.china_20050203.0639-E2-9
EM29	soc.culture.china_20050203.0639-E23-10
EM31	soc.culture.china_20050203.0639-E7-11
EM32	soc.culture.china_20050203.0639-E8-12
EM33	soc.culture.china_20050203.0639-E9-13
EM34	soc.culture.china_20050203.0639-E10-14
EM35	soc.culture.china_20050203.0639-E11-15
EM36	soc.culture.china_20050203.0639-E12-16
EM37	soc.culture.china_20050203.0639-E13-17
EM38	soc.culture.china_20050203.0639-E14-18
EM39	soc.culture.china_20050203.0639-E50-19
EM40	soc.culture.china_20050203.0639-E50-20
EM41	soc.culture.china_20050203.0639-E13-21
