CE11	rec.travel.europe_20050101.1800-CE1
CE12	rec.travel.europe_20050101.1800-CE2
CE13	rec.travel.europe_20050101.1800-CE3
CE14	rec.travel.europe_20050101.1800-CE4
CE62	rec.travel.europe_20050101.1800-CE5
CE86	rec.travel.europe_20050101.1800-CE6
CE16	rec.travel.europe_20050101.1800-CE7
CE63	rec.travel.europe_20050101.1800-CE8
CE19	rec.travel.europe_20050101.1800-CE9
CE20	rec.travel.europe_20050101.1800-CE10
CE21	rec.travel.europe_20050101.1800-CE11
CE22	rec.travel.europe_20050101.1800-CE12
CE23	rec.travel.europe_20050101.1800-CE13
CE24	rec.travel.europe_20050101.1800-CE14
CE25	rec.travel.europe_20050101.1800-CE15
CE26	rec.travel.europe_20050101.1800-CE16
CE27	rec.travel.europe_20050101.1800-CE17
CE28	rec.travel.europe_20050101.1800-CE18
CE29	rec.travel.europe_20050101.1800-CE19
CE30	rec.travel.europe_20050101.1800-CE20
CE31	rec.travel.europe_20050101.1800-CE21
CE1	rec.travel.europe_20050101.1800-CE22
CE32	rec.travel.europe_20050101.1800-CE23
CE33	rec.travel.europe_20050101.1800-CE24
CE34	rec.travel.europe_20050101.1800-CE25
CE35	rec.travel.europe_20050101.1800-CE26
CE36	rec.travel.europe_20050101.1800-CE27
CE37	rec.travel.europe_20050101.1800-CE28
CE38	rec.travel.europe_20050101.1800-CE29
CE39	rec.travel.europe_20050101.1800-CE30
CE40	rec.travel.europe_20050101.1800-CE31
CE41	rec.travel.europe_20050101.1800-CE32
CE42	rec.travel.europe_20050101.1800-CE33
CE43	rec.travel.europe_20050101.1800-CE34
CE45	rec.travel.europe_20050101.1800-CE35
CE46	rec.travel.europe_20050101.1800-CE36
CE47	rec.travel.europe_20050101.1800-CE37
CE48	rec.travel.europe_20050101.1800-CE38
CE49	rec.travel.europe_20050101.1800-CE39
CE50	rec.travel.europe_20050101.1800-CE40
CE51	rec.travel.europe_20050101.1800-CE41
CE52	rec.travel.europe_20050101.1800-CE42
CE53	rec.travel.europe_20050101.1800-CE43
CE55	rec.travel.europe_20050101.1800-CE44
CE56	rec.travel.europe_20050101.1800-CE45
CE64	rec.travel.europe_20050101.1800-CE46
CE58	rec.travel.europe_20050101.1800-CE47
CE59	rec.travel.europe_20050101.1800-CE48
CE60	rec.travel.europe_20050101.1800-CE49
CE61	rec.travel.europe_20050101.1800-CE50
CE2	rec.travel.europe_20050101.1800-CE51
CE65	rec.travel.europe_20050101.1800-CE52
CE66	rec.travel.europe_20050101.1800-CE53
CE67	rec.travel.europe_20050101.1800-CE54
CE68	rec.travel.europe_20050101.1800-CE55
CE69	rec.travel.europe_20050101.1800-CE56
CE70	rec.travel.europe_20050101.1800-CE57
CE71	rec.travel.europe_20050101.1800-CE58
CE73	rec.travel.europe_20050101.1800-CE59
CE74	rec.travel.europe_20050101.1800-CE60
CE75	rec.travel.europe_20050101.1800-CE61
CE76	rec.travel.europe_20050101.1800-CE62
CE77	rec.travel.europe_20050101.1800-CE63
CE78	rec.travel.europe_20050101.1800-CE64
CE79	rec.travel.europe_20050101.1800-CE65
CE80	rec.travel.europe_20050101.1800-CE66
CE81	rec.travel.europe_20050101.1800-CE67
CE82	rec.travel.europe_20050101.1800-CE68
CE83	rec.travel.europe_20050101.1800-CE69
CE3	rec.travel.europe_20050101.1800-CE70
CE84	rec.travel.europe_20050101.1800-CE71
CE85	rec.travel.europe_20050101.1800-CE72
CE4	rec.travel.europe_20050101.1800-CE73
CE5	rec.travel.europe_20050101.1800-CE74
CE6	rec.travel.europe_20050101.1800-CE75
CE7	rec.travel.europe_20050101.1800-CE76
CE8	rec.travel.europe_20050101.1800-CE77
CE9	rec.travel.europe_20050101.1800-CE78
CE10	rec.travel.europe_20050101.1800-CE79
E12	rec.travel.europe_20050101.1800-E1
E14	rec.travel.europe_20050101.1800-E2
E15	rec.travel.europe_20050101.1800-E3
E16	rec.travel.europe_20050101.1800-E4
E18	rec.travel.europe_20050101.1800-E5
E115	rec.travel.europe_20050101.1800-E6
E19	rec.travel.europe_20050101.1800-E7
E20	rec.travel.europe_20050101.1800-E8
E21	rec.travel.europe_20050101.1800-E9
E82	rec.travel.europe_20050101.1800-E10
E24	rec.travel.europe_20050101.1800-E11
E25	rec.travel.europe_20050101.1800-E12
