CE10	rec.travel.cruises_20050222.0313-CE1
CE11	rec.travel.cruises_20050222.0313-CE2
CE12	rec.travel.cruises_20050222.0313-CE3
CE13	rec.travel.cruises_20050222.0313-CE4
CE14	rec.travel.cruises_20050222.0313-CE5
CE15	rec.travel.cruises_20050222.0313-CE6
CE16	rec.travel.cruises_20050222.0313-CE7
CE17	rec.travel.cruises_20050222.0313-CE8
CE18	rec.travel.cruises_20050222.0313-CE9
CE19	rec.travel.cruises_20050222.0313-CE10
CE20	rec.travel.cruises_20050222.0313-CE11
CE21	rec.travel.cruises_20050222.0313-CE12
CE22	rec.travel.cruises_20050222.0313-CE13
CE23	rec.travel.cruises_20050222.0313-CE14
CE24	rec.travel.cruises_20050222.0313-CE15
CE25	rec.travel.cruises_20050222.0313-CE16
CE26	rec.travel.cruises_20050222.0313-CE17
CE27	rec.travel.cruises_20050222.0313-CE18
CE28	rec.travel.cruises_20050222.0313-CE19
CE29	rec.travel.cruises_20050222.0313-CE20
CE30	rec.travel.cruises_20050222.0313-CE21
CE31	rec.travel.cruises_20050222.0313-CE22
CE32	rec.travel.cruises_20050222.0313-CE23
CE33	rec.travel.cruises_20050222.0313-CE24
CE34	rec.travel.cruises_20050222.0313-CE25
CE35	rec.travel.cruises_20050222.0313-CE26
CE36	rec.travel.cruises_20050222.0313-CE27
CE37	rec.travel.cruises_20050222.0313-CE28
CE2	rec.travel.cruises_20050222.0313-CE29
CE4	rec.travel.cruises_20050222.0313-CE30
CE5	rec.travel.cruises_20050222.0313-CE31
CE6	rec.travel.cruises_20050222.0313-CE32
CE7	rec.travel.cruises_20050222.0313-CE33
CE8	rec.travel.cruises_20050222.0313-CE34
E15	rec.travel.cruises_20050222.0313-E1
E16	rec.travel.cruises_20050222.0313-E2
E17	rec.travel.cruises_20050222.0313-E3
E18	rec.travel.cruises_20050222.0313-E4
E19	rec.travel.cruises_20050222.0313-E5
E20	rec.travel.cruises_20050222.0313-E6
E21	rec.travel.cruises_20050222.0313-E7
E22	rec.travel.cruises_20050222.0313-E8
E23	rec.travel.cruises_20050222.0313-E9
E24	rec.travel.cruises_20050222.0313-E10
E25	rec.travel.cruises_20050222.0313-E11
E26	rec.travel.cruises_20050222.0313-E12
E27	rec.travel.cruises_20050222.0313-E13
E28	rec.travel.cruises_20050222.0313-E14
E29	rec.travel.cruises_20050222.0313-E15
E30	rec.travel.cruises_20050222.0313-E16
E31	rec.travel.cruises_20050222.0313-E17
E32	rec.travel.cruises_20050222.0313-E18
E33	rec.travel.cruises_20050222.0313-E19
E34	rec.travel.cruises_20050222.0313-E20
E35	rec.travel.cruises_20050222.0313-E21
E36	rec.travel.cruises_20050222.0313-E22
E37	rec.travel.cruises_20050222.0313-E23
E38	rec.travel.cruises_20050222.0313-E24
E39	rec.travel.cruises_20050222.0313-E25
E40	rec.travel.cruises_20050222.0313-E26
E41	rec.travel.cruises_20050222.0313-E27
E42	rec.travel.cruises_20050222.0313-E28
E43	rec.travel.cruises_20050222.0313-E29
E44	rec.travel.cruises_20050222.0313-E30
E45	rec.travel.cruises_20050222.0313-E31
E46	rec.travel.cruises_20050222.0313-E32
E47	rec.travel.cruises_20050222.0313-E33
E48	rec.travel.cruises_20050222.0313-E34
E49	rec.travel.cruises_20050222.0313-E35
E50	rec.travel.cruises_20050222.0313-E36
E51	rec.travel.cruises_20050222.0313-E37
E52	rec.travel.cruises_20050222.0313-E38
E53	rec.travel.cruises_20050222.0313-E39
E54	rec.travel.cruises_20050222.0313-E40
E55	rec.travel.cruises_20050222.0313-E41
E56	rec.travel.cruises_20050222.0313-E42
E57	rec.travel.cruises_20050222.0313-E43
E58	rec.travel.cruises_20050222.0313-E44
E59	rec.travel.cruises_20050222.0313-E45
E60	rec.travel.cruises_20050222.0313-E46
E61	rec.travel.cruises_20050222.0313-E47
E62	rec.travel.cruises_20050222.0313-E48
E63	rec.travel.cruises_20050222.0313-E49
E64	rec.travel.cruises_20050222.0313-E50
E65	rec.travel.cruises_20050222.0313-E51
E66	rec.travel.cruises_20050222.0313-E52
E67	rec.travel.cruises_20050222.0313-E53
E68	rec.travel.cruises_20050222.0313-E54
