CE12	soc.culture.china_20050220.2415-CE1
CE13	soc.culture.china_20050220.2415-CE2
CE14	soc.culture.china_20050220.2415-CE3
CE15	soc.culture.china_20050220.2415-CE4
CE16	soc.culture.china_20050220.2415-CE5
CE17	soc.culture.china_20050220.2415-CE6
CE18	soc.culture.china_20050220.2415-CE7
CE19	soc.culture.china_20050220.2415-CE8
CE20	soc.culture.china_20050220.2415-CE9
CE21	soc.culture.china_20050220.2415-CE10
CE22	soc.culture.china_20050220.2415-CE11
CE23	soc.culture.china_20050220.2415-CE12
CE24	soc.culture.china_20050220.2415-CE13
CE25	soc.culture.china_20050220.2415-CE14
CE27	soc.culture.china_20050220.2415-CE15
CE28	soc.culture.china_20050220.2415-CE16
CE29	soc.culture.china_20050220.2415-CE17
CE30	soc.culture.china_20050220.2415-CE18
CE31	soc.culture.china_20050220.2415-CE19
CE32	soc.culture.china_20050220.2415-CE20
CE33	soc.culture.china_20050220.2415-CE21
CE34	soc.culture.china_20050220.2415-CE22
CE35	soc.culture.china_20050220.2415-CE23
CE36	soc.culture.china_20050220.2415-CE24
CE37	soc.culture.china_20050220.2415-CE25
CE38	soc.culture.china_20050220.2415-CE26
CE26	soc.culture.china_20050220.2415-CE27
CE3	soc.culture.china_20050220.2415-CE28
CE4	soc.culture.china_20050220.2415-CE29
CE5	soc.culture.china_20050220.2415-CE30
CE6	soc.culture.china_20050220.2415-CE31
CE7	soc.culture.china_20050220.2415-CE32
CE8	soc.culture.china_20050220.2415-CE33
CE9	soc.culture.china_20050220.2415-CE34
CE10	soc.culture.china_20050220.2415-CE35
E17	soc.culture.china_20050220.2415-E1
E18	soc.culture.china_20050220.2415-E2
E19	soc.culture.china_20050220.2415-E3
E20	soc.culture.china_20050220.2415-E4
E21	soc.culture.china_20050220.2415-E5
E22	soc.culture.china_20050220.2415-E6
E23	soc.culture.china_20050220.2415-E7
E24	soc.culture.china_20050220.2415-E8
E25	soc.culture.china_20050220.2415-E9
E26	soc.culture.china_20050220.2415-E10
E27	soc.culture.china_20050220.2415-E11
E28	soc.culture.china_20050220.2415-E12
E29	soc.culture.china_20050220.2415-E13
E30	soc.culture.china_20050220.2415-E14
E31	soc.culture.china_20050220.2415-E15
E32	soc.culture.china_20050220.2415-E16
E33	soc.culture.china_20050220.2415-E17
E34	soc.culture.china_20050220.2415-E18
E36	soc.culture.china_20050220.2415-E19
E37	soc.culture.china_20050220.2415-E20
E38	soc.culture.china_20050220.2415-E21
E39	soc.culture.china_20050220.2415-E22
E40	soc.culture.china_20050220.2415-E23
E41	soc.culture.china_20050220.2415-E24
E42	soc.culture.china_20050220.2415-E25
E44	soc.culture.china_20050220.2415-E26
E45	soc.culture.china_20050220.2415-E27
E47	soc.culture.china_20050220.2415-E28
E48	soc.culture.china_20050220.2415-E29
E49	soc.culture.china_20050220.2415-E30
E50	soc.culture.china_20050220.2415-E31
E35	soc.culture.china_20050220.2415-E32
E51	soc.culture.china_20050220.2415-E33
E52	soc.culture.china_20050220.2415-E34
E53	soc.culture.china_20050220.2415-E35
E3	soc.culture.china_20050220.2415-E36
E4	soc.culture.china_20050220.2415-E37
E5	soc.culture.china_20050220.2415-E38
E6	soc.culture.china_20050220.2415-E39
E7	soc.culture.china_20050220.2415-E40
E8	soc.culture.china_20050220.2415-E41
E9	soc.culture.china_20050220.2415-E42
E10	soc.culture.china_20050220.2415-E43
E11	soc.culture.china_20050220.2415-E44
E12	soc.culture.china_20050220.2415-E45
E13	soc.culture.china_20050220.2415-E46
