CE9	alt.gossip.celebrities_20050218.0826-CE1
CE10	alt.gossip.celebrities_20050218.0826-CE2
CE11	alt.gossip.celebrities_20050218.0826-CE3
CE12	alt.gossip.celebrities_20050218.0826-CE4
CE13	alt.gossip.celebrities_20050218.0826-CE5
CE14	alt.gossip.celebrities_20050218.0826-CE6
CE15	alt.gossip.celebrities_20050218.0826-CE7
CE16	alt.gossip.celebrities_20050218.0826-CE8
CE17	alt.gossip.celebrities_20050218.0826-CE9
CE18	alt.gossip.celebrities_20050218.0826-CE10
CE19	alt.gossip.celebrities_20050218.0826-CE11
CE21	alt.gossip.celebrities_20050218.0826-CE12
CE24	alt.gossip.celebrities_20050218.0826-CE13
CE1	alt.gossip.celebrities_20050218.0826-CE14
CE26	alt.gossip.celebrities_20050218.0826-CE15
CE27	alt.gossip.celebrities_20050218.0826-CE16
CE28	alt.gossip.celebrities_20050218.0826-CE17
CE29	alt.gossip.celebrities_20050218.0826-CE18
CE30	alt.gossip.celebrities_20050218.0826-CE19
CE31	alt.gossip.celebrities_20050218.0826-CE20
CE32	alt.gossip.celebrities_20050218.0826-CE21
CE34	alt.gossip.celebrities_20050218.0826-CE22
CE35	alt.gossip.celebrities_20050218.0826-CE23
CE36	alt.gossip.celebrities_20050218.0826-CE24
CE37	alt.gossip.celebrities_20050218.0826-CE25
CE38	alt.gossip.celebrities_20050218.0826-CE26
CE2	alt.gossip.celebrities_20050218.0826-CE27
CE3	alt.gossip.celebrities_20050218.0826-CE28
CE4	alt.gossip.celebrities_20050218.0826-CE29
CE5	alt.gossip.celebrities_20050218.0826-CE30
CE6	alt.gossip.celebrities_20050218.0826-CE31
CE7	alt.gossip.celebrities_20050218.0826-CE32
CE8	alt.gossip.celebrities_20050218.0826-CE33
E10	alt.gossip.celebrities_20050218.0826-E1
E11	alt.gossip.celebrities_20050218.0826-E2
E12	alt.gossip.celebrities_20050218.0826-E3
E13	alt.gossip.celebrities_20050218.0826-E4
E14	alt.gossip.celebrities_20050218.0826-E5
E15	alt.gossip.celebrities_20050218.0826-E6
E16	alt.gossip.celebrities_20050218.0826-E7
E17	alt.gossip.celebrities_20050218.0826-E8
E18	alt.gossip.celebrities_20050218.0826-E9
E19	alt.gossip.celebrities_20050218.0826-E10
E20	alt.gossip.celebrities_20050218.0826-E11
E1	alt.gossip.celebrities_20050218.0826-E12
E22	alt.gossip.celebrities_20050218.0826-E13
E24	alt.gossip.celebrities_20050218.0826-E14
E26	alt.gossip.celebrities_20050218.0826-E15
E27	alt.gossip.celebrities_20050218.0826-E16
E30	alt.gossip.celebrities_20050218.0826-E17
E31	alt.gossip.celebrities_20050218.0826-E18
E32	alt.gossip.celebrities_20050218.0826-E19
E33	alt.gossip.celebrities_20050218.0826-E20
E34	alt.gossip.celebrities_20050218.0826-E21
E35	alt.gossip.celebrities_20050218.0826-E22
E36	alt.gossip.celebrities_20050218.0826-E23
E38	alt.gossip.celebrities_20050218.0826-E24
E39	alt.gossip.celebrities_20050218.0826-E25
E40	alt.gossip.celebrities_20050218.0826-E26
E41	alt.gossip.celebrities_20050218.0826-E27
E42	alt.gossip.celebrities_20050218.0826-E28
E2	alt.gossip.celebrities_20050218.0826-E29
E43	alt.gossip.celebrities_20050218.0826-E30
E3	alt.gossip.celebrities_20050218.0826-E31
E4	alt.gossip.celebrities_20050218.0826-E32
E5	alt.gossip.celebrities_20050218.0826-E33
E6	alt.gossip.celebrities_20050218.0826-E34
E7	alt.gossip.celebrities_20050218.0826-E35
E8	alt.gossip.celebrities_20050218.0826-E36
E9	alt.gossip.celebrities_20050218.0826-E37
EM1	alt.gossip.celebrities_20050218.0826-E12-1
EM22	alt.gossip.celebrities_20050218.0826-E1-2
EM23	alt.gossip.celebrities_20050218.0826-E2-3
EM24	alt.gossip.celebrities_20050218.0826-E29-4
