CE10	rec.music.phish_20050217.1804-CE1
CE11	rec.music.phish_20050217.1804-CE2
CE12	rec.music.phish_20050217.1804-CE3
CE13	rec.music.phish_20050217.1804-CE4
CE14	rec.music.phish_20050217.1804-CE5
CE15	rec.music.phish_20050217.1804-CE6
CE16	rec.music.phish_20050217.1804-CE7
CE17	rec.music.phish_20050217.1804-CE8
CE18	rec.music.phish_20050217.1804-CE9
CE19	rec.music.phish_20050217.1804-CE10
CE20	rec.music.phish_20050217.1804-CE11
CE22	rec.music.phish_20050217.1804-CE12
CE23	rec.music.phish_20050217.1804-CE13
CE24	rec.music.phish_20050217.1804-CE14
CE25	rec.music.phish_20050217.1804-CE15
CE26	rec.music.phish_20050217.1804-CE16
CE1	rec.music.phish_20050217.1804-CE17
CE27	rec.music.phish_20050217.1804-CE18
CE28	rec.music.phish_20050217.1804-CE19
CE29	rec.music.phish_20050217.1804-CE20
CE30	rec.music.phish_20050217.1804-CE21
CE31	rec.music.phish_20050217.1804-CE22
CE32	rec.music.phish_20050217.1804-CE23
CE33	rec.music.phish_20050217.1804-CE24
CE34	rec.music.phish_20050217.1804-CE25
CE35	rec.music.phish_20050217.1804-CE26
CE36	rec.music.phish_20050217.1804-CE27
CE39	rec.music.phish_20050217.1804-CE28
CE40	rec.music.phish_20050217.1804-CE29
CE41	rec.music.phish_20050217.1804-CE30
CE42	rec.music.phish_20050217.1804-CE31
CE43	rec.music.phish_20050217.1804-CE32
CE44	rec.music.phish_20050217.1804-CE33
CE45	rec.music.phish_20050217.1804-CE34
CE46	rec.music.phish_20050217.1804-CE35
CE47	rec.music.phish_20050217.1804-CE36
CE49	rec.music.phish_20050217.1804-CE37
CE50	rec.music.phish_20050217.1804-CE38
CE2	rec.music.phish_20050217.1804-CE39
CE3	rec.music.phish_20050217.1804-CE40
CE4	rec.music.phish_20050217.1804-CE41
CE48	rec.music.phish_20050217.1804-CE42
CE6	rec.music.phish_20050217.1804-CE43
CE7	rec.music.phish_20050217.1804-CE44
CE8	rec.music.phish_20050217.1804-CE45
CE9	rec.music.phish_20050217.1804-CE46
E15	rec.music.phish_20050217.1804-E1
E16	rec.music.phish_20050217.1804-E2
E17	rec.music.phish_20050217.1804-E3
E18	rec.music.phish_20050217.1804-E4
E19	rec.music.phish_20050217.1804-E5
E20	rec.music.phish_20050217.1804-E6
E21	rec.music.phish_20050217.1804-E7
E22	rec.music.phish_20050217.1804-E8
E23	rec.music.phish_20050217.1804-E9
E24	rec.music.phish_20050217.1804-E10
E25	rec.music.phish_20050217.1804-E11
E26	rec.music.phish_20050217.1804-E12
E1	rec.music.phish_20050217.1804-E13
E27	rec.music.phish_20050217.1804-E14
E28	rec.music.phish_20050217.1804-E15
E29	rec.music.phish_20050217.1804-E16
E32	rec.music.phish_20050217.1804-E17
E33	rec.music.phish_20050217.1804-E18
E34	rec.music.phish_20050217.1804-E19
E35	rec.music.phish_20050217.1804-E20
E36	rec.music.phish_20050217.1804-E21
E37	rec.music.phish_20050217.1804-E22
E38	rec.music.phish_20050217.1804-E23
E39	rec.music.phish_20050217.1804-E24
E40	rec.music.phish_20050217.1804-E25
E41	rec.music.phish_20050217.1804-E26
E42	rec.music.phish_20050217.1804-E27
E43	rec.music.phish_20050217.1804-E28
E44	rec.music.phish_20050217.1804-E29
E45	rec.music.phish_20050217.1804-E30
E46	rec.music.phish_20050217.1804-E31
E47	rec.music.phish_20050217.1804-E32
E48	rec.music.phish_20050217.1804-E33
E49	rec.music.phish_20050217.1804-E34
E52	rec.music.phish_20050217.1804-E35
E53	rec.music.phish_20050217.1804-E36
E54	rec.music.phish_20050217.1804-E37
E55	rec.music.phish_20050217.1804-E38
E56	rec.music.phish_20050217.1804-E39
E57	rec.music.phish_20050217.1804-E40
E58	rec.music.phish_20050217.1804-E41
E59	rec.music.phish_20050217.1804-E42
E60	rec.music.phish_20050217.1804-E43
E61	rec.music.phish_20050217.1804-E44
E63	rec.music.phish_20050217.1804-E45
E64	rec.music.phish_20050217.1804-E46
E3	rec.music.phish_20050217.1804-E47
E4	rec.music.phish_20050217.1804-E48
E5	rec.music.phish_20050217.1804-E49
E62	rec.music.phish_20050217.1804-E50
E9	rec.music.phish_20050217.1804-E51
E10	rec.music.phish_20050217.1804-E52
E11	rec.music.phish_20050217.1804-E53
E12	rec.music.phish_20050217.1804-E54
E13	rec.music.phish_20050217.1804-E55
E14	rec.music.phish_20050217.1804-E56
EM1	rec.music.phish_20050217.1804-E13-1
EM19	rec.music.phish_20050217.1804-E1-2
EM20	rec.music.phish_20050217.1804-E1-3
EM21	rec.music.phish_20050217.1804-E1-4
EM22	rec.music.phish_20050217.1804-E49-5
EM23	rec.music.phish_20050217.1804-E49-6
