CE7	misc.taxes_20050218.1250-CE1
CE8	misc.taxes_20050218.1250-CE2
CE9	misc.taxes_20050218.1250-CE3
CE10	misc.taxes_20050218.1250-CE4
CE11	misc.taxes_20050218.1250-CE5
CE12	misc.taxes_20050218.1250-CE6
CE1	misc.taxes_20050218.1250-CE7
CE13	misc.taxes_20050218.1250-CE8
CE14	misc.taxes_20050218.1250-CE9
CE2	misc.taxes_20050218.1250-CE10
CE3	misc.taxes_20050218.1250-CE11
CE4	misc.taxes_20050218.1250-CE12
CE5	misc.taxes_20050218.1250-CE13
CE6	misc.taxes_20050218.1250-CE14
E7	misc.taxes_20050218.1250-E1
E8	misc.taxes_20050218.1250-E2
E9	misc.taxes_20050218.1250-E3
E10	misc.taxes_20050218.1250-E4
E11	misc.taxes_20050218.1250-E5
E1	misc.taxes_20050218.1250-E6
E13	misc.taxes_20050218.1250-E7
E12	misc.taxes_20050218.1250-E8
E14	misc.taxes_20050218.1250-E9
E15	misc.taxes_20050218.1250-E10
E16	misc.taxes_20050218.1250-E11
E2	misc.taxes_20050218.1250-E12
E3	misc.taxes_20050218.1250-E13
E4	misc.taxes_20050218.1250-E14
E5	misc.taxes_20050218.1250-E15
E6	misc.taxes_20050218.1250-E16
EM1	misc.taxes_20050218.1250-E6-1
EM25	misc.taxes_20050218.1250-E12-2
EM26	misc.taxes_20050218.1250-E12-3
EM27	misc.taxes_20050218.1250-E16-4
EM28	misc.taxes_20050218.1250-E12-5
EM29	misc.taxes_20050218.1250-E6-6
EM30	misc.taxes_20050218.1250-E6-7
EM31	misc.taxes_20050218.1250-E14-8
EM32	misc.taxes_20050218.1250-E12-9
EM33	misc.taxes_20050218.1250-E16-10
EM34	misc.taxes_20050218.1250-E12-11
EM35	misc.taxes_20050218.1250-E1-12
EM36	misc.taxes_20050218.1250-E12-13
EM37	misc.taxes_20050218.1250-E6-14
EM38	misc.taxes_20050218.1250-E6-15
EM39	misc.taxes_20050218.1250-E12-16
EM40	misc.taxes_20050218.1250-E6-17
EM41	misc.taxes_20050218.1250-E12-18
EM42	misc.taxes_20050218.1250-E6-19
EM43	misc.taxes_20050218.1250-E12-20
EM73	misc.taxes_20050218.1250-E7-21
EM45	misc.taxes_20050218.1250-E12-22
EM46	misc.taxes_20050218.1250-E6-23
EM47	misc.taxes_20050218.1250-E6-24
EM48	misc.taxes_20050218.1250-E6-25
EM49	misc.taxes_20050218.1250-E16-26
EM50	misc.taxes_20050218.1250-E14-27
EM51	misc.taxes_20050218.1250-E2-28
EM52	misc.taxes_20050218.1250-E3-29
EM53	misc.taxes_20050218.1250-E4-30
EM54	misc.taxes_20050218.1250-E16-31
EM55	misc.taxes_20050218.1250-E12-32
EM56	misc.taxes_20050218.1250-E12-33
EM57	misc.taxes_20050218.1250-E16-34
EM58	misc.taxes_20050218.1250-E6-35
EM59	misc.taxes_20050218.1250-E12-36
EM60	misc.taxes_20050218.1250-E6-37
EM61	misc.taxes_20050218.1250-E5-38
EM62	misc.taxes_20050218.1250-E14-39
EM63	misc.taxes_20050218.1250-E14-40
EM64	misc.taxes_20050218.1250-E12-41
EM65	misc.taxes_20050218.1250-E12-42
EM66	misc.taxes_20050218.1250-E6-43
EM67	misc.taxes_20050218.1250-E6-44
EM68	misc.taxes_20050218.1250-E14-45
EM69	misc.taxes_20050218.1250-E13-46
EM70	misc.taxes_20050218.1250-E6-47
EM71	misc.taxes_20050218.1250-E6-48
EM74	misc.taxes_20050218.1250-E15-49
EM44	misc.taxes_20050218.1250-E8-50
EM75	misc.taxes_20050218.1250-E9-51
EM76	misc.taxes_20050218.1250-E10-52
EM11	misc.taxes_20050218.1250-E11-53
EM2	misc.taxes_20050218.1250-E12-54
EM3	misc.taxes_20050218.1250-E6-55
EM4	misc.taxes_20050218.1250-E12-56
EM5	misc.taxes_20050218.1250-E6-57
EM6	misc.taxes_20050218.1250-E12-58
EM7	misc.taxes_20050218.1250-E13-59
EM8	misc.taxes_20050218.1250-E13-60
EM9	misc.taxes_20050218.1250-E12-61
EM10	misc.taxes_20050218.1250-E6-62
EM12	misc.taxes_20050218.1250-E12-63
EM13	misc.taxes_20050218.1250-E14-64
EM14	misc.taxes_20050218.1250-E6-65
EM15	misc.taxes_20050218.1250-E6-66
EM16	misc.taxes_20050218.1250-E15-67
EM17	misc.taxes_20050218.1250-E6-68
EM18	misc.taxes_20050218.1250-E16-69
EM19	misc.taxes_20050218.1250-E12-70
EM20	misc.taxes_20050218.1250-E12-71
EM21	misc.taxes_20050218.1250-E6-72
EM22	misc.taxes_20050218.1250-E6-73
EM23	misc.taxes_20050218.1250-E16-74
EM24	misc.taxes_20050218.1250-E16-75
R1	misc.taxes_20050218.1250-R1
R2	misc.taxes_20050218.1250-R2
R3	misc.taxes_20050218.1250-R3
R4	misc.taxes_20050218.1250-R4
R5	misc.taxes_20050218.1250-R5
R6	misc.taxes_20050218.1250-R6
R7	misc.taxes_20050218.1250-R7
R8	misc.taxes_20050218.1250-R8
R9	misc.taxes_20050218.1250-R9
R10	misc.taxes_20050218.1250-R10
R12	misc.taxes_20050218.1250-R11
R13	misc.taxes_20050218.1250-R12
R14	misc.taxes_20050218.1250-R13
RM1	misc.taxes_20050218.1250-R1-1
RM6	misc.taxes_20050218.1250-R2-1
RM7	misc.taxes_20050218.1250-R3-1
RM8	misc.taxes_20050218.1250-R4-1
RM9	misc.taxes_20050218.1250-R3-2
RM2	misc.taxes_20050218.1250-R1-2
RM3	misc.taxes_20050218.1250-R1-3
RM4	misc.taxes_20050218.1250-R1-4
RM5	misc.taxes_20050218.1250-R1-5
RM10	misc.taxes_20050218.1250-R2-2
RM12	misc.taxes_20050218.1250-R11-1
RM13	misc.taxes_20050218.1250-R12-1
RM15	misc.taxes_20050218.1250-R1-6
V4	misc.taxes_20050218.1250-EV1
V5	misc.taxes_20050218.1250-EV2
V6	misc.taxes_20050218.1250-EV3
V7	misc.taxes_20050218.1250-EV4
V8	misc.taxes_20050218.1250-EV5
V3	misc.taxes_20050218.1250-EV6
VM7	misc.taxes_20050218.1250-EV2-1
VM8	misc.taxes_20050218.1250-EV3-1
VM9	misc.taxes_20050218.1250-EV4-1
VM10	misc.taxes_20050218.1250-EV5-1
VM5	misc.taxes_20050218.1250-EV6-1
VM6	misc.taxes_20050218.1250-EV1-1
Q1	misc.taxes_20050218.1250-T1
Q2	misc.taxes_20050218.1250-T2
Q3	misc.taxes_20050218.1250-T3
Q4	misc.taxes_20050218.1250-T4
Q5	misc.taxes_20050218.1250-V1
Q6	misc.taxes_20050218.1250-T5
Q7	misc.taxes_20050218.1250-T6
Q8	misc.taxes_20050218.1250-T7
Q10	misc.taxes_20050218.1250-T8
Q11	misc.taxes_20050218.1250-T9
Q12	misc.taxes_20050218.1250-T10
Q13	misc.taxes_20050218.1250-T11
Q14	misc.taxes_20050218.1250-T12
Q15	misc.taxes_20050218.1250-T13
Q16	misc.taxes_20050218.1250-T14
Q17	misc.taxes_20050218.1250-T15
Q18	misc.taxes_20050218.1250-T16
QM5	misc.taxes_20050218.1250-V1-1
