CE14	alt.atheism_20041104.2428-CE1
CE15	alt.atheism_20041104.2428-CE2
CE16	alt.atheism_20041104.2428-CE3
CE17	alt.atheism_20041104.2428-CE4
CE18	alt.atheism_20041104.2428-CE5
CE20	alt.atheism_20041104.2428-CE6
CE21	alt.atheism_20041104.2428-CE7
CE22	alt.atheism_20041104.2428-CE8
CE23	alt.atheism_20041104.2428-CE9
CE24	alt.atheism_20041104.2428-CE10
CE25	alt.atheism_20041104.2428-CE11
CE26	alt.atheism_20041104.2428-CE12
CE27	alt.atheism_20041104.2428-CE13
CE29	alt.atheism_20041104.2428-CE14
CE30	alt.atheism_20041104.2428-CE15
CE31	alt.atheism_20041104.2428-CE16
CE32	alt.atheism_20041104.2428-CE17
CE33	alt.atheism_20041104.2428-CE18
CE34	alt.atheism_20041104.2428-CE19
CE35	alt.atheism_20041104.2428-CE20
CE38	alt.atheism_20041104.2428-CE21
CE39	alt.atheism_20041104.2428-CE22
CE40	alt.atheism_20041104.2428-CE23
CE41	alt.atheism_20041104.2428-CE24
CE42	alt.atheism_20041104.2428-CE25
CE43	alt.atheism_20041104.2428-CE26
CE44	alt.atheism_20041104.2428-CE27
CE45	alt.atheism_20041104.2428-CE28
CE1	alt.atheism_20041104.2428-CE29
CE46	alt.atheism_20041104.2428-CE30
CE47	alt.atheism_20041104.2428-CE31
CE48	alt.atheism_20041104.2428-CE32
CE49	alt.atheism_20041104.2428-CE33
CE50	alt.atheism_20041104.2428-CE34
CE51	alt.atheism_20041104.2428-CE35
CE52	alt.atheism_20041104.2428-CE36
CE53	alt.atheism_20041104.2428-CE37
CE54	alt.atheism_20041104.2428-CE38
CE55	alt.atheism_20041104.2428-CE39
CE56	alt.atheism_20041104.2428-CE40
CE57	alt.atheism_20041104.2428-CE41
CE58	alt.atheism_20041104.2428-CE42
CE59	alt.atheism_20041104.2428-CE43
CE60	alt.atheism_20041104.2428-CE44
CE62	alt.atheism_20041104.2428-CE45
CE63	alt.atheism_20041104.2428-CE46
CE65	alt.atheism_20041104.2428-CE47
CE67	alt.atheism_20041104.2428-CE48
CE68	alt.atheism_20041104.2428-CE49
CE69	alt.atheism_20041104.2428-CE50
CE70	alt.atheism_20041104.2428-CE51
CE71	alt.atheism_20041104.2428-CE52
CE3	alt.atheism_20041104.2428-CE53
CE4	alt.atheism_20041104.2428-CE54
CE5	alt.atheism_20041104.2428-CE55
CE6	alt.atheism_20041104.2428-CE56
CE7	alt.atheism_20041104.2428-CE57
CE8	alt.atheism_20041104.2428-CE58
CE9	alt.atheism_20041104.2428-CE59
CE10	alt.atheism_20041104.2428-CE60
CE28	alt.atheism_20041104.2428-CE61
CE12	alt.atheism_20041104.2428-CE62
CE13	alt.atheism_20041104.2428-CE63
E17	alt.atheism_20041104.2428-E1
E18	alt.atheism_20041104.2428-E2
E19	alt.atheism_20041104.2428-E3
E20	alt.atheism_20041104.2428-E4
E21	alt.atheism_20041104.2428-E5
E22	alt.atheism_20041104.2428-E6
E23	alt.atheism_20041104.2428-E7
E24	alt.atheism_20041104.2428-E8
E26	alt.atheism_20041104.2428-E9
E27	alt.atheism_20041104.2428-E10
E28	alt.atheism_20041104.2428-E11
E29	alt.atheism_20041104.2428-E12
E30	alt.atheism_20041104.2428-E13
E31	alt.atheism_20041104.2428-E14
E32	alt.atheism_20041104.2428-E15
E33	alt.atheism_20041104.2428-E16
E34	alt.atheism_20041104.2428-E17
E35	alt.atheism_20041104.2428-E18
E36	alt.atheism_20041104.2428-E19
E37	alt.atheism_20041104.2428-E20
E39	alt.atheism_20041104.2428-E21
E40	alt.atheism_20041104.2428-E22
E41	alt.atheism_20041104.2428-E23
E42	alt.atheism_20041104.2428-E24
E43	alt.atheism_20041104.2428-E25
E44	alt.atheism_20041104.2428-E26
E1	alt.atheism_20041104.2428-E27
E45	alt.atheism_20041104.2428-E28
E46	alt.atheism_20041104.2428-E29
E49	alt.atheism_20041104.2428-E30
E50	alt.atheism_20041104.2428-E31
E51	alt.atheism_20041104.2428-E32
E52	alt.atheism_20041104.2428-E33
E53	alt.atheism_20041104.2428-E34
E54	alt.atheism_20041104.2428-E35
E55	alt.atheism_20041104.2428-E36
E56	alt.atheism_20041104.2428-E37
E57	alt.atheism_20041104.2428-E38
E58	alt.atheism_20041104.2428-E39
E59	alt.atheism_20041104.2428-E40
E60	alt.atheism_20041104.2428-E41
E61	alt.atheism_20041104.2428-E42
E62	alt.atheism_20041104.2428-E43
E63	alt.atheism_20041104.2428-E44
E64	alt.atheism_20041104.2428-E45
E66	alt.atheism_20041104.2428-E46
E67	alt.atheism_20041104.2428-E47
E68	alt.atheism_20041104.2428-E48
E69	alt.atheism_20041104.2428-E49
E70	alt.atheism_20041104.2428-E50
E71	alt.atheism_20041104.2428-E51
E72	alt.atheism_20041104.2428-E52
E73	alt.atheism_20041104.2428-E53
E74	alt.atheism_20041104.2428-E54
E75	alt.atheism_20041104.2428-E55
E76	alt.atheism_20041104.2428-E56
E77	alt.atheism_20041104.2428-E57
E79	alt.atheism_20041104.2428-E58
E80	alt.atheism_20041104.2428-E59
E81	alt.atheism_20041104.2428-E60
E83	alt.atheism_20041104.2428-E61
E85	alt.atheism_20041104.2428-E62
E86	alt.atheism_20041104.2428-E63
E87	alt.atheism_20041104.2428-E64
E88	alt.atheism_20041104.2428-E65
E89	alt.atheism_20041104.2428-E66
E92	alt.atheism_20041104.2428-E67
E93	alt.atheism_20041104.2428-E68
E4	alt.atheism_20041104.2428-E69
E5	alt.atheism_20041104.2428-E70
E7	alt.atheism_20041104.2428-E71
E8	alt.atheism_20041104.2428-E72
E9	alt.atheism_20041104.2428-E73
E10	alt.atheism_20041104.2428-E74
E11	alt.atheism_20041104.2428-E75
E13	alt.atheism_20041104.2428-E76
E38	alt.atheism_20041104.2428-E77
E15	alt.atheism_20041104.2428-E78
EM15	alt.atheism_20041104.2428-E2-1
EM16	alt.atheism_20041104.2428-E3-2
EM17	alt.atheism_20041104.2428-E3-3
EM18	alt.atheism_20041104.2428-E4-4
EM19	alt.atheism_20041104.2428-E5-5
EM20	alt.atheism_20041104.2428-E4-6
EM21	alt.atheism_20041104.2428-E6-7
EM22	alt.atheism_20041104.2428-E4-8
EM23	alt.atheism_20041104.2428-E7-9
EM24	alt.atheism_20041104.2428-E8-10
EM45	alt.atheism_20041104.2428-E77-11
EM46	alt.atheism_20041104.2428-E21-12
EM25	alt.atheism_20041104.2428-E3-13
EM26	alt.atheism_20041104.2428-E3-14
EM27	alt.atheism_20041104.2428-E9-15
EM28	alt.atheism_20041104.2428-E10-16
EM29	alt.atheism_20041104.2428-E11-17
EM30	alt.atheism_20041104.2428-E12-18
EM31	alt.atheism_20041104.2428-E13-19
EM32	alt.atheism_20041104.2428-E13-20
EM33	alt.atheism_20041104.2428-E12-21
EM34	alt.atheism_20041104.2428-E14-22
EM35	alt.atheism_20041104.2428-E15-23
EM36	alt.atheism_20041104.2428-E12-24
EM37	alt.atheism_20041104.2428-E16-25
EM38	alt.atheism_20041104.2428-E9-26
EM39	alt.atheism_20041104.2428-E17-27
EM40	alt.atheism_20041104.2428-E18-28
EM41	alt.atheism_20041104.2428-E19-29
EM42	alt.atheism_20041104.2428-E20-30
EM43	alt.atheism_20041104.2428-E72-31
EM47	alt.atheism_20041104.2428-E22-32
EM48	alt.atheism_20041104.2428-E22-33
EM49	alt.atheism_20041104.2428-E23-34
EM50	alt.atheism_20041104.2428-E22-35
EM51	alt.atheism_20041104.2428-E24-36
EM52	alt.atheism_20041104.2428-E25-37
EM53	alt.atheism_20041104.2428-E26-38
EM54	alt.atheism_20041104.2428-E28-39
EM55	alt.atheism_20041104.2428-E28-40
EM56	alt.atheism_20041104.2428-E29-41
EM57	alt.atheism_20041104.2428-E29-42
EM60	alt.atheism_20041104.2428-E30-43
EM61	alt.atheism_20041104.2428-E31-44
EM62	alt.atheism_20041104.2428-E32-45
EM63	alt.atheism_20041104.2428-E32-46
EM64	alt.atheism_20041104.2428-E33-47
EM65	alt.atheism_20041104.2428-E34-48
EM66	alt.atheism_20041104.2428-E35-49
EM67	alt.atheism_20041104.2428-E34-50
EM68	alt.atheism_20041104.2428-E35-51
EM69	alt.atheism_20041104.2428-E36-52
EM70	alt.atheism_20041104.2428-E37-53
EM71	alt.atheism_20041104.2428-E38-54
EM72	alt.atheism_20041104.2428-E36-55
EM73	alt.atheism_20041104.2428-E37-56
EM74	alt.atheism_20041104.2428-E39-57
EM75	alt.atheism_20041104.2428-E41-58
EM76	alt.atheism_20041104.2428-E42-59
EM77	alt.atheism_20041104.2428-E36-60
EM78	alt.atheism_20041104.2428-E43-61
EM80	alt.atheism_20041104.2428-E44-62
EM81	alt.atheism_20041104.2428-E45-63
EM82	alt.atheism_20041104.2428-E36-64
EM83	alt.atheism_20041104.2428-E46-65
EM84	alt.atheism_20041104.2428-E47-66
EM85	alt.atheism_20041104.2428-E48-67
EM86	alt.atheism_20041104.2428-E49-68
EM87	alt.atheism_20041104.2428-E51-69
EM2	alt.atheism_20041104.2428-E52-70
EM88	alt.atheism_20041104.2428-E53-71
EM89	alt.atheism_20041104.2428-E40-72
EM90	alt.atheism_20041104.2428-E50-73
EM91	alt.atheism_20041104.2428-E47-74
EM92	alt.atheism_20041104.2428-E47-75
EM93	alt.atheism_20041104.2428-E47-76
EM94	alt.atheism_20041104.2428-E36-77
EM95	alt.atheism_20041104.2428-E54-78
EM96	alt.atheism_20041104.2428-E36-79
EM97	alt.atheism_20041104.2428-E40-80
EM98	alt.atheism_20041104.2428-E55-81
EM99	alt.atheism_20041104.2428-E56-82
EM100	alt.atheism_20041104.2428-E69-83
EM101	alt.atheism_20041104.2428-E56-84
EM102	alt.atheism_20041104.2428-E57-85
EM103	alt.atheism_20041104.2428-E69-86
EM104	alt.atheism_20041104.2428-E40-87
EM105	alt.atheism_20041104.2428-E39-88
EM107	alt.atheism_20041104.2428-E39-89
EM108	alt.atheism_20041104.2428-E40-90
EM109	alt.atheism_20041104.2428-E69-91
EM106	alt.atheism_20041104.2428-E58-92
EM110	alt.atheism_20041104.2428-E27-93
EM1	alt.atheism_20041104.2428-E39-94
EM111	alt.atheism_20041104.2428-E39-95
EM112	alt.atheism_20041104.2428-E35-96
EM113	alt.atheism_20041104.2428-E59-97
EM114	alt.atheism_20041104.2428-E56-98
EM115	alt.atheism_20041104.2428-E56-99
EM116	alt.atheism_20041104.2428-E40-100
EM117	alt.atheism_20041104.2428-E56-101
EM118	alt.atheism_20041104.2428-E40-102
EM119	alt.atheism_20041104.2428-E60-103
EM120	alt.atheism_20041104.2428-E60-104
EM121	alt.atheism_20041104.2428-E61-105
EM122	alt.atheism_20041104.2428-E55-106
EM123	alt.atheism_20041104.2428-E56-107
EM124	alt.atheism_20041104.2428-E62-108
EM125	alt.atheism_20041104.2428-E63-109
EM126	alt.atheism_20041104.2428-E64-110
EM127	alt.atheism_20041104.2428-E65-111
EM128	alt.atheism_20041104.2428-E56-112
EM129	alt.atheism_20041104.2428-E66-113
EM130	alt.atheism_20041104.2428-E67-114
EM131	alt.atheism_20041104.2428-E68-115
EM132	alt.atheism_20041104.2428-E55-116
EM3	alt.atheism_20041104.2428-E69-117
EM4	alt.atheism_20041104.2428-E70-118
EM5	alt.atheism_20041104.2428-E71-119
EM6	alt.atheism_20041104.2428-E69-120
EM7	alt.atheism_20041104.2428-E72-121
EM8	alt.atheism_20041104.2428-E73-122
EM9	alt.atheism_20041104.2428-E74-123
EM10	alt.atheism_20041104.2428-E74-124
EM11	alt.atheism_20041104.2428-E75-125
EM12	alt.atheism_20041104.2428-E76-126
EM44	alt.atheism_20041104.2428-E77-127
EM14	alt.atheism_20041104.2428-E78-128
EM13	alt.atheism_20041104.2428-E1-129
R1	alt.atheism_20041104.2428-R1
R3	alt.atheism_20041104.2428-R2
R4	alt.atheism_20041104.2428-R3
R5	alt.atheism_20041104.2428-R4
R6	alt.atheism_20041104.2428-R5
R7	alt.atheism_20041104.2428-R6
R8	alt.atheism_20041104.2428-R7
R9	alt.atheism_20041104.2428-R8
R10	alt.atheism_20041104.2428-R9
R11	alt.atheism_20041104.2428-R10
R13	alt.atheism_20041104.2428-R11
R14	alt.atheism_20041104.2428-R12
R15	alt.atheism_20041104.2428-R13
R16	alt.atheism_20041104.2428-R14
R17	alt.atheism_20041104.2428-R15
R18	alt.atheism_20041104.2428-R16
RM1	alt.atheism_20041104.2428-R1-1
RM4	alt.atheism_20041104.2428-R2-1
RM5	alt.atheism_20041104.2428-R3-1
RM6	alt.atheism_20041104.2428-R4-1
RM7	alt.atheism_20041104.2428-R5-1
RM8	alt.atheism_20041104.2428-R6-1
RM9	alt.atheism_20041104.2428-R7-1
RM10	alt.atheism_20041104.2428-R8-1
RM11	alt.atheism_20041104.2428-R9-1
RM12	alt.atheism_20041104.2428-R10-1
RM14	alt.atheism_20041104.2428-R11-1
RM15	alt.atheism_20041104.2428-R12-1
RM16	alt.atheism_20041104.2428-R13-1
RM17	alt.atheism_20041104.2428-R14-1
RM18	alt.atheism_20041104.2428-R15-1
RM19	alt.atheism_20041104.2428-R16-1
V1	alt.atheism_20041104.2428-EV1
V2	alt.atheism_20041104.2428-EV2
V3	alt.atheism_20041104.2428-EV3
V4	alt.atheism_20041104.2428-EV4
