CE9	seattle.politics_20050122.2412-CE1
CE10	seattle.politics_20050122.2412-CE2
CE11	seattle.politics_20050122.2412-CE3
CE12	seattle.politics_20050122.2412-CE4
CE13	seattle.politics_20050122.2412-CE5
CE15	seattle.politics_20050122.2412-CE6
CE16	seattle.politics_20050122.2412-CE7
CE17	seattle.politics_20050122.2412-CE8
CE18	seattle.politics_20050122.2412-CE9
CE20	seattle.politics_20050122.2412-CE10
CE21	seattle.politics_20050122.2412-CE11
CE22	seattle.politics_20050122.2412-CE12
CE23	seattle.politics_20050122.2412-CE13
CE24	seattle.politics_20050122.2412-CE14
CE25	seattle.politics_20050122.2412-CE15
CE1	seattle.politics_20050122.2412-CE16
CE27	seattle.politics_20050122.2412-CE17
CE28	seattle.politics_20050122.2412-CE18
CE29	seattle.politics_20050122.2412-CE19
CE2	seattle.politics_20050122.2412-CE20
CE3	seattle.politics_20050122.2412-CE21
CE5	seattle.politics_20050122.2412-CE22
CE8	seattle.politics_20050122.2412-CE23
E15	seattle.politics_20050122.2412-E1
E16	seattle.politics_20050122.2412-E2
E17	seattle.politics_20050122.2412-E3
E18	seattle.politics_20050122.2412-E4
E19	seattle.politics_20050122.2412-E5
E21	seattle.politics_20050122.2412-E6
E22	seattle.politics_20050122.2412-E7
E25	seattle.politics_20050122.2412-E8
E26	seattle.politics_20050122.2412-E9
E27	seattle.politics_20050122.2412-E10
E28	seattle.politics_20050122.2412-E11
E30	seattle.politics_20050122.2412-E12
E1	seattle.politics_20050122.2412-E13
E31	seattle.politics_20050122.2412-E14
E32	seattle.politics_20050122.2412-E15
E33	seattle.politics_20050122.2412-E16
E35	seattle.politics_20050122.2412-E17
E37	seattle.politics_20050122.2412-E18
E38	seattle.politics_20050122.2412-E19
E39	seattle.politics_20050122.2412-E20
E41	seattle.politics_20050122.2412-E21
E42	seattle.politics_20050122.2412-E22
E44	seattle.politics_20050122.2412-E23
E45	seattle.politics_20050122.2412-E24
E46	seattle.politics_20050122.2412-E25
E47	seattle.politics_20050122.2412-E26
E2	seattle.politics_20050122.2412-E27
E3	seattle.politics_20050122.2412-E28
E6	seattle.politics_20050122.2412-E29
E11	seattle.politics_20050122.2412-E30
E12	seattle.politics_20050122.2412-E31
