CE11	marcellapr_20050228.2219-CE1
CE12	marcellapr_20050228.2219-CE2
CE13	marcellapr_20050228.2219-CE3
CE15	marcellapr_20050228.2219-CE4
CE16	marcellapr_20050228.2219-CE5
CE17	marcellapr_20050228.2219-CE6
CE18	marcellapr_20050228.2219-CE7
CE19	marcellapr_20050228.2219-CE8
CE1	marcellapr_20050228.2219-CE9
CE2	marcellapr_20050228.2219-CE10
CE3	marcellapr_20050228.2219-CE11
CE4	marcellapr_20050228.2219-CE12
CE5	marcellapr_20050228.2219-CE13
CE6	marcellapr_20050228.2219-CE14
CE7	marcellapr_20050228.2219-CE15
CE8	marcellapr_20050228.2219-CE16
CE9	marcellapr_20050228.2219-CE17
CE10	marcellapr_20050228.2219-CE18
E11	marcellapr_20050228.2219-E1
E12	marcellapr_20050228.2219-E2
E14	marcellapr_20050228.2219-E3
E16	marcellapr_20050228.2219-E4
E17	marcellapr_20050228.2219-E5
E18	marcellapr_20050228.2219-E6
E19	marcellapr_20050228.2219-E7
E20	marcellapr_20050228.2219-E8
E1	marcellapr_20050228.2219-E9
E2	marcellapr_20050228.2219-E10
E3	marcellapr_20050228.2219-E11
E4	marcellapr_20050228.2219-E12
E5	marcellapr_20050228.2219-E13
E6	marcellapr_20050228.2219-E14
E7	marcellapr_20050228.2219-E15
E8	marcellapr_20050228.2219-E16
E9	marcellapr_20050228.2219-E17
E10	marcellapr_20050228.2219-E18
EM1	marcellapr_20050228.2219-E9-1
EM21	marcellapr_20050228.2219-E13-2
EM22	marcellapr_20050228.2219-E1-3
EM23	marcellapr_20050228.2219-E1-4
EM24	marcellapr_20050228.2219-E2-5
EM25	marcellapr_20050228.2219-E3-6
EM26	marcellapr_20050228.2219-E2-7
EM27	marcellapr_20050228.2219-E11-8
EM29	marcellapr_20050228.2219-E4-9
EM30	marcellapr_20050228.2219-E5-10
EM31	marcellapr_20050228.2219-E9-11
EM32	marcellapr_20050228.2219-E6-12
EM34	marcellapr_20050228.2219-E7-13
EM35	marcellapr_20050228.2219-E8-14
EM2	marcellapr_20050228.2219-E10-15
EM3	marcellapr_20050228.2219-E11-16
EM4	marcellapr_20050228.2219-E12-17
EM5	marcellapr_20050228.2219-E13-18
EM6	marcellapr_20050228.2219-E9-19
EM7	marcellapr_20050228.2219-E9-20
EM8	marcellapr_20050228.2219-E14-21
EM9	marcellapr_20050228.2219-E13-22
EM11	marcellapr_20050228.2219-E10-23
EM12	marcellapr_20050228.2219-E11-24
EM13	marcellapr_20050228.2219-E15-25
EM14	marcellapr_20050228.2219-E16-26
EM15	marcellapr_20050228.2219-E17-27
EM16	marcellapr_20050228.2219-E16-28
EM17	marcellapr_20050228.2219-E13-29
EM18	marcellapr_20050228.2219-E18-30
EM19	marcellapr_20050228.2219-E18-31
EM20	marcellapr_20050228.2219-E18-32
R1	marcellapr_20050228.2219-R1
R2	marcellapr_20050228.2219-R2
R3	marcellapr_20050228.2219-R3
R4	marcellapr_20050228.2219-R4
R5	marcellapr_20050228.2219-R5
R6	marcellapr_20050228.2219-R6
R7	marcellapr_20050228.2219-R7
R8	marcellapr_20050228.2219-R8
R9	marcellapr_20050228.2219-R9
R10	marcellapr_20050228.2219-R10
R11	marcellapr_20050228.2219-R11
R12	marcellapr_20050228.2219-R12
R13	marcellapr_20050228.2219-R13
RM1	marcellapr_20050228.2219-R1-1
RM2	marcellapr_20050228.2219-R1-2
RM3	marcellapr_20050228.2219-R3-1
RM4	marcellapr_20050228.2219-R4-1
RM5	marcellapr_20050228.2219-R5-1
RM6	marcellapr_20050228.2219-R6-1
RM7	marcellapr_20050228.2219-R7-1
RM8	marcellapr_20050228.2219-R4-2
RM9	marcellapr_20050228.2219-R9-1
RM10	marcellapr_20050228.2219-R10-1
RM11	marcellapr_20050228.2219-R11-1
RM12	marcellapr_20050228.2219-R12-1
RM13	marcellapr_20050228.2219-R13-1
V1	marcellapr_20050228.2219-EV1
V2	marcellapr_20050228.2219-EV2
V3	marcellapr_20050228.2219-EV3
V4	marcellapr_20050228.2219-EV4
V5	marcellapr_20050228.2219-EV5
VM1	marcellapr_20050228.2219-EV1-1
VM2	marcellapr_20050228.2219-EV2-1
VM3	marcellapr_20050228.2219-EV3-1
VM4	marcellapr_20050228.2219-EV4-1
VM5	marcellapr_20050228.2219-EV5-1
Q1	marcellapr_20050228.2219-T1
Q2	marcellapr_20050228.2219-T2
Q3	marcellapr_20050228.2219-T3
Q4	marcellapr_20050228.2219-T4
Q5	marcellapr_20050228.2219-T5
