CE11	FLOPPINGACES_20041231.0937.002-CE1
CE12	FLOPPINGACES_20041231.0937.002-CE2
CE13	FLOPPINGACES_20041231.0937.002-CE3
CE14	FLOPPINGACES_20041231.0937.002-CE4
CE15	FLOPPINGACES_20041231.0937.002-CE5
CE16	FLOPPINGACES_20041231.0937.002-CE6
CE17	FLOPPINGACES_20041231.0937.002-CE7
CE153	FLOPPINGACES_20041231.0937.002-CE8
CE20	FLOPPINGACES_20041231.0937.002-CE9
CE21	FLOPPINGACES_20041231.0937.002-CE10
CE22	FLOPPINGACES_20041231.0937.002-CE11
CE23	FLOPPINGACES_20041231.0937.002-CE12
CE24	FLOPPINGACES_20041231.0937.002-CE13
CE25	FLOPPINGACES_20041231.0937.002-CE14
CE28	FLOPPINGACES_20041231.0937.002-CE15
CE29	FLOPPINGACES_20041231.0937.002-CE16
CE30	FLOPPINGACES_20041231.0937.002-CE17
CE154	FLOPPINGACES_20041231.0937.002-CE18
CE31	FLOPPINGACES_20041231.0937.002-CE19
CE32	FLOPPINGACES_20041231.0937.002-CE20
CE1	FLOPPINGACES_20041231.0937.002-CE21
CE33	FLOPPINGACES_20041231.0937.002-CE22
CE34	FLOPPINGACES_20041231.0937.002-CE23
CE35	FLOPPINGACES_20041231.0937.002-CE24
CE36	FLOPPINGACES_20041231.0937.002-CE25
CE37	FLOPPINGACES_20041231.0937.002-CE26
CE38	FLOPPINGACES_20041231.0937.002-CE27
CE39	FLOPPINGACES_20041231.0937.002-CE28
CE40	FLOPPINGACES_20041231.0937.002-CE29
CE41	FLOPPINGACES_20041231.0937.002-CE30
CE42	FLOPPINGACES_20041231.0937.002-CE31
CE43	FLOPPINGACES_20041231.0937.002-CE32
CE44	FLOPPINGACES_20041231.0937.002-CE33
CE45	FLOPPINGACES_20041231.0937.002-CE34
CE46	FLOPPINGACES_20041231.0937.002-CE35
CE47	FLOPPINGACES_20041231.0937.002-CE36
CE48	FLOPPINGACES_20041231.0937.002-CE37
CE49	FLOPPINGACES_20041231.0937.002-CE38
CE50	FLOPPINGACES_20041231.0937.002-CE39
CE155	FLOPPINGACES_20041231.0937.002-CE40
CE52	FLOPPINGACES_20041231.0937.002-CE41
CE53	FLOPPINGACES_20041231.0937.002-CE42
CE54	FLOPPINGACES_20041231.0937.002-CE43
CE55	FLOPPINGACES_20041231.0937.002-CE44
CE56	FLOPPINGACES_20041231.0937.002-CE45
CE57	FLOPPINGACES_20041231.0937.002-CE46
CE58	FLOPPINGACES_20041231.0937.002-CE47
CE59	FLOPPINGACES_20041231.0937.002-CE48
CE60	FLOPPINGACES_20041231.0937.002-CE49
CE61	FLOPPINGACES_20041231.0937.002-CE50
CE62	FLOPPINGACES_20041231.0937.002-CE51
CE63	FLOPPINGACES_20041231.0937.002-CE52
