CE12	AGGRESSIVEVOICEDAILY_20050205.1954-CE1
CE13	AGGRESSIVEVOICEDAILY_20050205.1954-CE2
CE14	AGGRESSIVEVOICEDAILY_20050205.1954-CE3
CE15	AGGRESSIVEVOICEDAILY_20050205.1954-CE4
CE17	AGGRESSIVEVOICEDAILY_20050205.1954-CE5
CE18	AGGRESSIVEVOICEDAILY_20050205.1954-CE6
CE19	AGGRESSIVEVOICEDAILY_20050205.1954-CE7
CE20	AGGRESSIVEVOICEDAILY_20050205.1954-CE8
CE21	AGGRESSIVEVOICEDAILY_20050205.1954-CE9
CE22	AGGRESSIVEVOICEDAILY_20050205.1954-CE10
CE23	AGGRESSIVEVOICEDAILY_20050205.1954-CE11
CE24	AGGRESSIVEVOICEDAILY_20050205.1954-CE12
CE2	AGGRESSIVEVOICEDAILY_20050205.1954-CE13
CE3	AGGRESSIVEVOICEDAILY_20050205.1954-CE14
CE4	AGGRESSIVEVOICEDAILY_20050205.1954-CE15
CE5	AGGRESSIVEVOICEDAILY_20050205.1954-CE16
CE6	AGGRESSIVEVOICEDAILY_20050205.1954-CE17
CE7	AGGRESSIVEVOICEDAILY_20050205.1954-CE18
CE8	AGGRESSIVEVOICEDAILY_20050205.1954-CE19
CE9	AGGRESSIVEVOICEDAILY_20050205.1954-CE20
CE10	AGGRESSIVEVOICEDAILY_20050205.1954-CE21
CE11	AGGRESSIVEVOICEDAILY_20050205.1954-CE22
E15	AGGRESSIVEVOICEDAILY_20050205.1954-E1
E16	AGGRESSIVEVOICEDAILY_20050205.1954-E2
E17	AGGRESSIVEVOICEDAILY_20050205.1954-E3
E19	AGGRESSIVEVOICEDAILY_20050205.1954-E4
E21	AGGRESSIVEVOICEDAILY_20050205.1954-E5
E23	AGGRESSIVEVOICEDAILY_20050205.1954-E6
E25	AGGRESSIVEVOICEDAILY_20050205.1954-E7
E26	AGGRESSIVEVOICEDAILY_20050205.1954-E8
E27	AGGRESSIVEVOICEDAILY_20050205.1954-E9
E28	AGGRESSIVEVOICEDAILY_20050205.1954-E10
E29	AGGRESSIVEVOICEDAILY_20050205.1954-E11
E30	AGGRESSIVEVOICEDAILY_20050205.1954-E12
E31	AGGRESSIVEVOICEDAILY_20050205.1954-E13
E32	AGGRESSIVEVOICEDAILY_20050205.1954-E14
E33	AGGRESSIVEVOICEDAILY_20050205.1954-E15
E34	AGGRESSIVEVOICEDAILY_20050205.1954-E16
E2	AGGRESSIVEVOICEDAILY_20050205.1954-E17
E3	AGGRESSIVEVOICEDAILY_20050205.1954-E18
E4	AGGRESSIVEVOICEDAILY_20050205.1954-E19
E5	AGGRESSIVEVOICEDAILY_20050205.1954-E20
E6	AGGRESSIVEVOICEDAILY_20050205.1954-E21
E8	AGGRESSIVEVOICEDAILY_20050205.1954-E22
