CE11	BACONSREBELLION_20050127.1017-CE1
CE12	BACONSREBELLION_20050127.1017-CE2
CE13	BACONSREBELLION_20050127.1017-CE3
CE14	BACONSREBELLION_20050127.1017-CE4
CE15	BACONSREBELLION_20050127.1017-CE5
CE16	BACONSREBELLION_20050127.1017-CE6
CE17	BACONSREBELLION_20050127.1017-CE7
CE18	BACONSREBELLION_20050127.1017-CE8
CE19	BACONSREBELLION_20050127.1017-CE9
CE20	BACONSREBELLION_20050127.1017-CE10
CE21	BACONSREBELLION_20050127.1017-CE11
CE23	BACONSREBELLION_20050127.1017-CE12
CE24	BACONSREBELLION_20050127.1017-CE13
CE25	BACONSREBELLION_20050127.1017-CE14
CE26	BACONSREBELLION_20050127.1017-CE15
CE27	BACONSREBELLION_20050127.1017-CE16
CE28	BACONSREBELLION_20050127.1017-CE17
CE29	BACONSREBELLION_20050127.1017-CE18
CE30	BACONSREBELLION_20050127.1017-CE19
CE31	BACONSREBELLION_20050127.1017-CE20
CE32	BACONSREBELLION_20050127.1017-CE21
CE33	BACONSREBELLION_20050127.1017-CE22
CE1	BACONSREBELLION_20050127.1017-CE23
CE34	BACONSREBELLION_20050127.1017-CE24
CE35	BACONSREBELLION_20050127.1017-CE25
CE36	BACONSREBELLION_20050127.1017-CE26
CE37	BACONSREBELLION_20050127.1017-CE27
CE38	BACONSREBELLION_20050127.1017-CE28
CE39	BACONSREBELLION_20050127.1017-CE29
CE40	BACONSREBELLION_20050127.1017-CE30
CE41	BACONSREBELLION_20050127.1017-CE31
CE43	BACONSREBELLION_20050127.1017-CE32
CE44	BACONSREBELLION_20050127.1017-CE33
CE45	BACONSREBELLION_20050127.1017-CE34
CE46	BACONSREBELLION_20050127.1017-CE35
CE47	BACONSREBELLION_20050127.1017-CE36
CE48	BACONSREBELLION_20050127.1017-CE37
CE49	BACONSREBELLION_20050127.1017-CE38
CE50	BACONSREBELLION_20050127.1017-CE39
CE51	BACONSREBELLION_20050127.1017-CE40
CE52	BACONSREBELLION_20050127.1017-CE41
CE53	BACONSREBELLION_20050127.1017-CE42
CE54	BACONSREBELLION_20050127.1017-CE43
CE55	BACONSREBELLION_20050127.1017-CE44
CE56	BACONSREBELLION_20050127.1017-CE45
CE57	BACONSREBELLION_20050127.1017-CE46
CE58	BACONSREBELLION_20050127.1017-CE47
CE59	BACONSREBELLION_20050127.1017-CE48
CE60	BACONSREBELLION_20050127.1017-CE49
