CE14	HEALINGIRAQ_20041108.1942.05-CE1
CE15	HEALINGIRAQ_20041108.1942.05-CE2
CE16	HEALINGIRAQ_20041108.1942.05-CE3
CE17	HEALINGIRAQ_20041108.1942.05-CE4
CE18	HEALINGIRAQ_20041108.1942.05-CE5
CE19	HEALINGIRAQ_20041108.1942.05-CE6
CE20	HEALINGIRAQ_20041108.1942.05-CE7
CE21	HEALINGIRAQ_20041108.1942.05-CE8
CE22	HEALINGIRAQ_20041108.1942.05-CE9
CE23	HEALINGIRAQ_20041108.1942.05-CE10
CE24	HEALINGIRAQ_20041108.1942.05-CE11
CE25	HEALINGIRAQ_20041108.1942.05-CE12
CE26	HEALINGIRAQ_20041108.1942.05-CE13
CE67	HEALINGIRAQ_20041108.1942.05-CE14
CE27	HEALINGIRAQ_20041108.1942.05-CE15
CE28	HEALINGIRAQ_20041108.1942.05-CE16
CE68	HEALINGIRAQ_20041108.1942.05-CE17
CE30	HEALINGIRAQ_20041108.1942.05-CE18
CE31	HEALINGIRAQ_20041108.1942.05-CE19
CE32	HEALINGIRAQ_20041108.1942.05-CE20
CE69	HEALINGIRAQ_20041108.1942.05-CE21
CE34	HEALINGIRAQ_20041108.1942.05-CE22
CE35	HEALINGIRAQ_20041108.1942.05-CE23
CE36	HEALINGIRAQ_20041108.1942.05-CE24
CE37	HEALINGIRAQ_20041108.1942.05-CE25
CE70	HEALINGIRAQ_20041108.1942.05-CE26
CE39	HEALINGIRAQ_20041108.1942.05-CE27
CE40	HEALINGIRAQ_20041108.1942.05-CE28
CE41	HEALINGIRAQ_20041108.1942.05-CE29
CE42	HEALINGIRAQ_20041108.1942.05-CE30
CE71	HEALINGIRAQ_20041108.1942.05-CE31
CE44	HEALINGIRAQ_20041108.1942.05-CE32
CE46	HEALINGIRAQ_20041108.1942.05-CE33
CE47	HEALINGIRAQ_20041108.1942.05-CE34
CE1	HEALINGIRAQ_20041108.1942.05-CE35
CE48	HEALINGIRAQ_20041108.1942.05-CE36
CE49	HEALINGIRAQ_20041108.1942.05-CE37
CE50	HEALINGIRAQ_20041108.1942.05-CE38
CE51	HEALINGIRAQ_20041108.1942.05-CE39
CE52	HEALINGIRAQ_20041108.1942.05-CE40
CE53	HEALINGIRAQ_20041108.1942.05-CE41
CE54	HEALINGIRAQ_20041108.1942.05-CE42
CE55	HEALINGIRAQ_20041108.1942.05-CE43
CE56	HEALINGIRAQ_20041108.1942.05-CE44
CE57	HEALINGIRAQ_20041108.1942.05-CE45
CE58	HEALINGIRAQ_20041108.1942.05-CE46
CE59	HEALINGIRAQ_20041108.1942.05-CE47
CE60	HEALINGIRAQ_20041108.1942.05-CE48
CE61	HEALINGIRAQ_20041108.1942.05-CE49
CE62	HEALINGIRAQ_20041108.1942.05-CE50
CE72	HEALINGIRAQ_20041108.1942.05-CE51
CE63	HEALINGIRAQ_20041108.1942.05-CE52
