CE10	OIADVANTAGE_20050109.1947-CE1
CE11	OIADVANTAGE_20050109.1947-CE2
CE12	OIADVANTAGE_20050109.1947-CE3
CE13	OIADVANTAGE_20050109.1947-CE4
CE14	OIADVANTAGE_20050109.1947-CE5
CE15	OIADVANTAGE_20050109.1947-CE6
CE16	OIADVANTAGE_20050109.1947-CE7
CE17	OIADVANTAGE_20050109.1947-CE8
CE18	OIADVANTAGE_20050109.1947-CE9
CE19	OIADVANTAGE_20050109.1947-CE10
CE20	OIADVANTAGE_20050109.1947-CE11
CE21	OIADVANTAGE_20050109.1947-CE12
CE22	OIADVANTAGE_20050109.1947-CE13
CE23	OIADVANTAGE_20050109.1947-CE14
CE24	OIADVANTAGE_20050109.1947-CE15
CE25	OIADVANTAGE_20050109.1947-CE16
CE26	OIADVANTAGE_20050109.1947-CE17
CE27	OIADVANTAGE_20050109.1947-CE18
CE28	OIADVANTAGE_20050109.1947-CE19
CE29	OIADVANTAGE_20050109.1947-CE20
CE30	OIADVANTAGE_20050109.1947-CE21
CE31	OIADVANTAGE_20050109.1947-CE22
CE32	OIADVANTAGE_20050109.1947-CE23
CE1	OIADVANTAGE_20050109.1947-CE24
CE2	OIADVANTAGE_20050109.1947-CE25
CE4	OIADVANTAGE_20050109.1947-CE26
CE5	OIADVANTAGE_20050109.1947-CE27
CE6	OIADVANTAGE_20050109.1947-CE28
CE7	OIADVANTAGE_20050109.1947-CE29
CE8	OIADVANTAGE_20050109.1947-CE30
CE9	OIADVANTAGE_20050109.1947-CE31
E11	OIADVANTAGE_20050109.1947-E1
E12	OIADVANTAGE_20050109.1947-E2
E13	OIADVANTAGE_20050109.1947-E3
E14	OIADVANTAGE_20050109.1947-E4
E15	OIADVANTAGE_20050109.1947-E5
E16	OIADVANTAGE_20050109.1947-E6
E17	OIADVANTAGE_20050109.1947-E7
E18	OIADVANTAGE_20050109.1947-E8
E19	OIADVANTAGE_20050109.1947-E9
E20	OIADVANTAGE_20050109.1947-E10
E21	OIADVANTAGE_20050109.1947-E11
E22	OIADVANTAGE_20050109.1947-E12
E23	OIADVANTAGE_20050109.1947-E13
E24	OIADVANTAGE_20050109.1947-E14
E25	OIADVANTAGE_20050109.1947-E15
E26	OIADVANTAGE_20050109.1947-E16
E27	OIADVANTAGE_20050109.1947-E17
E28	OIADVANTAGE_20050109.1947-E18
E29	OIADVANTAGE_20050109.1947-E19
E30	OIADVANTAGE_20050109.1947-E20
E31	OIADVANTAGE_20050109.1947-E21
E32	OIADVANTAGE_20050109.1947-E22
E33	OIADVANTAGE_20050109.1947-E23
E34	OIADVANTAGE_20050109.1947-E24
E35	OIADVANTAGE_20050109.1947-E25
E1	OIADVANTAGE_20050109.1947-E26
E2	OIADVANTAGE_20050109.1947-E27
E4	OIADVANTAGE_20050109.1947-E28
E6	OIADVANTAGE_20050109.1947-E29
E7	OIADVANTAGE_20050109.1947-E30
E8	OIADVANTAGE_20050109.1947-E31
E9	OIADVANTAGE_20050109.1947-E32
E10	OIADVANTAGE_20050109.1947-E33
EM14	OIADVANTAGE_20050109.1947-E2-1
EM15	OIADVANTAGE_20050109.1947-E3-2
EM16	OIADVANTAGE_20050109.1947-E4-3
EM17	OIADVANTAGE_20050109.1947-E5-4
EM18	OIADVANTAGE_20050109.1947-E6-5
EM19	OIADVANTAGE_20050109.1947-E7-6
EM20	OIADVANTAGE_20050109.1947-E8-7
EM21	OIADVANTAGE_20050109.1947-E9-8
EM22	OIADVANTAGE_20050109.1947-E26-9
EM23	OIADVANTAGE_20050109.1947-E26-10
EM24	OIADVANTAGE_20050109.1947-E10-11
EM25	OIADVANTAGE_20050109.1947-E32-12
EM26	OIADVANTAGE_20050109.1947-E32-13
EM27	OIADVANTAGE_20050109.1947-E1-14
EM28	OIADVANTAGE_20050109.1947-E11-15
EM29	OIADVANTAGE_20050109.1947-E12-16
EM30	OIADVANTAGE_20050109.1947-E13-17
EM31	OIADVANTAGE_20050109.1947-E11-18
EM32	OIADVANTAGE_20050109.1947-E14-19
EM33	OIADVANTAGE_20050109.1947-E15-20
EM34	OIADVANTAGE_20050109.1947-E16-21
EM35	OIADVANTAGE_20050109.1947-E1-22
EM36	OIADVANTAGE_20050109.1947-E11-23
EM37	OIADVANTAGE_20050109.1947-E17-24
EM38	OIADVANTAGE_20050109.1947-E18-25
EM39	OIADVANTAGE_20050109.1947-E28-26
EM40	OIADVANTAGE_20050109.1947-E19-27
EM41	OIADVANTAGE_20050109.1947-E20-28
EM42	OIADVANTAGE_20050109.1947-E21-29
EM43	OIADVANTAGE_20050109.1947-E22-30
EM44	OIADVANTAGE_20050109.1947-E26-31
EM45	OIADVANTAGE_20050109.1947-E23-32
EM46	OIADVANTAGE_20050109.1947-E1-33
EM47	OIADVANTAGE_20050109.1947-E24-34
EM48	OIADVANTAGE_20050109.1947-E25-35
EM1	OIADVANTAGE_20050109.1947-E26-36
EM2	OIADVANTAGE_20050109.1947-E26-37
EM3	OIADVANTAGE_20050109.1947-E27-38
EM49	OIADVANTAGE_20050109.1947-E26-39
EM5	OIADVANTAGE_20050109.1947-E28-40
EM6	OIADVANTAGE_20050109.1947-E29-41
EM7	OIADVANTAGE_20050109.1947-E30-42
EM8	OIADVANTAGE_20050109.1947-E26-43
EM10	OIADVANTAGE_20050109.1947-E31-44
EM9	OIADVANTAGE_20050109.1947-E32-45
EM11	OIADVANTAGE_20050109.1947-E32-46
EM12	OIADVANTAGE_20050109.1947-E33-47
EM13	OIADVANTAGE_20050109.1947-E1-48
R1	OIADVANTAGE_20050109.1947-R1
RM1	OIADVANTAGE_20050109.1947-R1-1
Q1	OIADVANTAGE_20050109.1947-T1
Q2	OIADVANTAGE_20050109.1947-T2
Q3	OIADVANTAGE_20050109.1947-T3
Q4	OIADVANTAGE_20050109.1947-V1
Q5	OIADVANTAGE_20050109.1947-T4
Q6	OIADVANTAGE_20050109.1947-T5
Q7	OIADVANTAGE_20050109.1947-T6
QM4	OIADVANTAGE_20050109.1947-V1-1
