CE10	MARKETVIEW_20050222.0729-CE1
CE1	MARKETVIEW_20050222.0729-CE2
CE2	MARKETVIEW_20050222.0729-CE3
CE3	MARKETVIEW_20050222.0729-CE4
CE4	MARKETVIEW_20050222.0729-CE5
CE5	MARKETVIEW_20050222.0729-CE6
CE6	MARKETVIEW_20050222.0729-CE7
CE7	MARKETVIEW_20050222.0729-CE8
CE8	MARKETVIEW_20050222.0729-CE9
CE9	MARKETVIEW_20050222.0729-CE10
E15	MARKETVIEW_20050222.0729-E1
E2	MARKETVIEW_20050222.0729-E2
E3	MARKETVIEW_20050222.0729-E3
E4	MARKETVIEW_20050222.0729-E4
E5	MARKETVIEW_20050222.0729-E5
E6	MARKETVIEW_20050222.0729-E6
E7	MARKETVIEW_20050222.0729-E7
E8	MARKETVIEW_20050222.0729-E8
E9	MARKETVIEW_20050222.0729-E9
E10	MARKETVIEW_20050222.0729-E10
E12	MARKETVIEW_20050222.0729-E11
E13	MARKETVIEW_20050222.0729-E12
E14	MARKETVIEW_20050222.0729-E13
EM1	MARKETVIEW_20050222.0729-E2-1
EM19	MARKETVIEW_20050222.0729-E3-2
EM20	MARKETVIEW_20050222.0729-E1-3
EM2	MARKETVIEW_20050222.0729-E4-4
EM3	MARKETVIEW_20050222.0729-E5-5
EM4	MARKETVIEW_20050222.0729-E3-6
EM5	MARKETVIEW_20050222.0729-E3-7
EM6	MARKETVIEW_20050222.0729-E3-8
EM7	MARKETVIEW_20050222.0729-E6-9
EM8	MARKETVIEW_20050222.0729-E3-10
EM9	MARKETVIEW_20050222.0729-E7-11
EM10	MARKETVIEW_20050222.0729-E8-12
EM11	MARKETVIEW_20050222.0729-E3-13
EM12	MARKETVIEW_20050222.0729-E9-14
EM13	MARKETVIEW_20050222.0729-E10-15
EM14	MARKETVIEW_20050222.0729-E11-16
EM15	MARKETVIEW_20050222.0729-E12-17
EM16	MARKETVIEW_20050222.0729-E12-18
EM17	MARKETVIEW_20050222.0729-E13-19
EM18	MARKETVIEW_20050222.0729-E3-20
R1	MARKETVIEW_20050222.0729-R1
RM1	MARKETVIEW_20050222.0729-R1-1
Q1	MARKETVIEW_20050222.0729-T1
Q2	MARKETVIEW_20050222.0729-T2
