CE13	HEALINGIRAQ_20041225.1330.02-CE1
CE14	HEALINGIRAQ_20041225.1330.02-CE2
CE15	HEALINGIRAQ_20041225.1330.02-CE3
CE17	HEALINGIRAQ_20041225.1330.02-CE4
CE18	HEALINGIRAQ_20041225.1330.02-CE5
CE19	HEALINGIRAQ_20041225.1330.02-CE6
CE20	HEALINGIRAQ_20041225.1330.02-CE7
CE21	HEALINGIRAQ_20041225.1330.02-CE8
CE22	HEALINGIRAQ_20041225.1330.02-CE9
CE23	HEALINGIRAQ_20041225.1330.02-CE10
CE24	HEALINGIRAQ_20041225.1330.02-CE11
CE25	HEALINGIRAQ_20041225.1330.02-CE12
CE26	HEALINGIRAQ_20041225.1330.02-CE13
CE27	HEALINGIRAQ_20041225.1330.02-CE14
CE28	HEALINGIRAQ_20041225.1330.02-CE15
CE29	HEALINGIRAQ_20041225.1330.02-CE16
CE30	HEALINGIRAQ_20041225.1330.02-CE17
CE31	HEALINGIRAQ_20041225.1330.02-CE18
CE32	HEALINGIRAQ_20041225.1330.02-CE19
CE33	HEALINGIRAQ_20041225.1330.02-CE20
CE34	HEALINGIRAQ_20041225.1330.02-CE21
CE35	HEALINGIRAQ_20041225.1330.02-CE22
CE36	HEALINGIRAQ_20041225.1330.02-CE23
CE37	HEALINGIRAQ_20041225.1330.02-CE24
CE38	HEALINGIRAQ_20041225.1330.02-CE25
CE39	HEALINGIRAQ_20041225.1330.02-CE26
CE40	HEALINGIRAQ_20041225.1330.02-CE27
CE1	HEALINGIRAQ_20041225.1330.02-CE28
CE41	HEALINGIRAQ_20041225.1330.02-CE29
CE42	HEALINGIRAQ_20041225.1330.02-CE30
CE43	HEALINGIRAQ_20041225.1330.02-CE31
CE45	HEALINGIRAQ_20041225.1330.02-CE32
CE46	HEALINGIRAQ_20041225.1330.02-CE33
CE47	HEALINGIRAQ_20041225.1330.02-CE34
CE2	HEALINGIRAQ_20041225.1330.02-CE35
CE3	HEALINGIRAQ_20041225.1330.02-CE36
CE4	HEALINGIRAQ_20041225.1330.02-CE37
CE5	HEALINGIRAQ_20041225.1330.02-CE38
CE6	HEALINGIRAQ_20041225.1330.02-CE39
CE7	HEALINGIRAQ_20041225.1330.02-CE40
CE8	HEALINGIRAQ_20041225.1330.02-CE41
CE9	HEALINGIRAQ_20041225.1330.02-CE42
CE10	HEALINGIRAQ_20041225.1330.02-CE43
CE11	HEALINGIRAQ_20041225.1330.02-CE44
E18	HEALINGIRAQ_20041225.1330.02-E1
E19	HEALINGIRAQ_20041225.1330.02-E2
E23	HEALINGIRAQ_20041225.1330.02-E3
E24	HEALINGIRAQ_20041225.1330.02-E4
E25	HEALINGIRAQ_20041225.1330.02-E5
E26	HEALINGIRAQ_20041225.1330.02-E6
E27	HEALINGIRAQ_20041225.1330.02-E7
E28	HEALINGIRAQ_20041225.1330.02-E8
E29	HEALINGIRAQ_20041225.1330.02-E9
E31	HEALINGIRAQ_20041225.1330.02-E10
E32	HEALINGIRAQ_20041225.1330.02-E11
E33	HEALINGIRAQ_20041225.1330.02-E12
E35	HEALINGIRAQ_20041225.1330.02-E13
E36	HEALINGIRAQ_20041225.1330.02-E14
E37	HEALINGIRAQ_20041225.1330.02-E15
E38	HEALINGIRAQ_20041225.1330.02-E16
E39	HEALINGIRAQ_20041225.1330.02-E17
E41	HEALINGIRAQ_20041225.1330.02-E18
E42	HEALINGIRAQ_20041225.1330.02-E19
E43	HEALINGIRAQ_20041225.1330.02-E20
E1	HEALINGIRAQ_20041225.1330.02-E21
E44	HEALINGIRAQ_20041225.1330.02-E22
E45	HEALINGIRAQ_20041225.1330.02-E23
E46	HEALINGIRAQ_20041225.1330.02-E24
E47	HEALINGIRAQ_20041225.1330.02-E25
E48	HEALINGIRAQ_20041225.1330.02-E26
E49	HEALINGIRAQ_20041225.1330.02-E27
E51	HEALINGIRAQ_20041225.1330.02-E28
E52	HEALINGIRAQ_20041225.1330.02-E29
E53	HEALINGIRAQ_20041225.1330.02-E30
E54	HEALINGIRAQ_20041225.1330.02-E31
E55	HEALINGIRAQ_20041225.1330.02-E32
E56	HEALINGIRAQ_20041225.1330.02-E33
E57	HEALINGIRAQ_20041225.1330.02-E34
E58	HEALINGIRAQ_20041225.1330.02-E35
E59	HEALINGIRAQ_20041225.1330.02-E36
E60	HEALINGIRAQ_20041225.1330.02-E37
E62	HEALINGIRAQ_20041225.1330.02-E38
E63	HEALINGIRAQ_20041225.1330.02-E39
E64	HEALINGIRAQ_20041225.1330.02-E40
E2	HEALINGIRAQ_20041225.1330.02-E41
E3	HEALINGIRAQ_20041225.1330.02-E42
E4	HEALINGIRAQ_20041225.1330.02-E43
E5	HEALINGIRAQ_20041225.1330.02-E44
E6	HEALINGIRAQ_20041225.1330.02-E45
E7	HEALINGIRAQ_20041225.1330.02-E46
E8	HEALINGIRAQ_20041225.1330.02-E47
E9	HEALINGIRAQ_20041225.1330.02-E48
