CE13	OIADVANTAGE_20050108.1323-CE1
CE14	OIADVANTAGE_20050108.1323-CE2
CE15	OIADVANTAGE_20050108.1323-CE3
CE16	OIADVANTAGE_20050108.1323-CE4
CE17	OIADVANTAGE_20050108.1323-CE5
CE18	OIADVANTAGE_20050108.1323-CE6
CE19	OIADVANTAGE_20050108.1323-CE7
CE1	OIADVANTAGE_20050108.1323-CE8
CE2	OIADVANTAGE_20050108.1323-CE9
CE3	OIADVANTAGE_20050108.1323-CE10
CE4	OIADVANTAGE_20050108.1323-CE11
CE5	OIADVANTAGE_20050108.1323-CE12
CE6	OIADVANTAGE_20050108.1323-CE13
CE7	OIADVANTAGE_20050108.1323-CE14
CE8	OIADVANTAGE_20050108.1323-CE15
CE9	OIADVANTAGE_20050108.1323-CE16
CE10	OIADVANTAGE_20050108.1323-CE17
CE11	OIADVANTAGE_20050108.1323-CE18
CE12	OIADVANTAGE_20050108.1323-CE19
E14	OIADVANTAGE_20050108.1323-E1
E15	OIADVANTAGE_20050108.1323-E2
E16	OIADVANTAGE_20050108.1323-E3
E17	OIADVANTAGE_20050108.1323-E4
E18	OIADVANTAGE_20050108.1323-E5
E19	OIADVANTAGE_20050108.1323-E6
E20	OIADVANTAGE_20050108.1323-E7
E21	OIADVANTAGE_20050108.1323-E8
E1	OIADVANTAGE_20050108.1323-E9
E2	OIADVANTAGE_20050108.1323-E10
E3	OIADVANTAGE_20050108.1323-E11
E4	OIADVANTAGE_20050108.1323-E12
E5	OIADVANTAGE_20050108.1323-E13
E6	OIADVANTAGE_20050108.1323-E14
E7	OIADVANTAGE_20050108.1323-E15
E8	OIADVANTAGE_20050108.1323-E16
E9	OIADVANTAGE_20050108.1323-E17
E10	OIADVANTAGE_20050108.1323-E18
E11	OIADVANTAGE_20050108.1323-E19
E12	OIADVANTAGE_20050108.1323-E20
E13	OIADVANTAGE_20050108.1323-E21
EM1	OIADVANTAGE_20050108.1323-E9-1
EM18	OIADVANTAGE_20050108.1323-E1-2
EM19	OIADVANTAGE_20050108.1323-E2-3
EM20	OIADVANTAGE_20050108.1323-E2-4
EM21	OIADVANTAGE_20050108.1323-E2-5
EM30	OIADVANTAGE_20050108.1323-E14-6
EM24	OIADVANTAGE_20050108.1323-E12-7
EM25	OIADVANTAGE_20050108.1323-E3-8
EM26	OIADVANTAGE_20050108.1323-E4-9
EM27	OIADVANTAGE_20050108.1323-E5-10
EM28	OIADVANTAGE_20050108.1323-E6-11
EM22	OIADVANTAGE_20050108.1323-E7-12
EM23	OIADVANTAGE_20050108.1323-E7-13
EM29	OIADVANTAGE_20050108.1323-E8-14
EM2	OIADVANTAGE_20050108.1323-E9-15
EM3	OIADVANTAGE_20050108.1323-E10-16
EM4	OIADVANTAGE_20050108.1323-E11-17
EM5	OIADVANTAGE_20050108.1323-E12-18
EM6	OIADVANTAGE_20050108.1323-E13-19
EM7	OIADVANTAGE_20050108.1323-E14-20
EM8	OIADVANTAGE_20050108.1323-E15-21
EM9	OIADVANTAGE_20050108.1323-E16-22
EM10	OIADVANTAGE_20050108.1323-E17-23
EM11	OIADVANTAGE_20050108.1323-E18-24
EM12	OIADVANTAGE_20050108.1323-E19-25
EM13	OIADVANTAGE_20050108.1323-E10-26
EM14	OIADVANTAGE_20050108.1323-E20-27
EM15	OIADVANTAGE_20050108.1323-E20-28
EM16	OIADVANTAGE_20050108.1323-E15-29
EM17	OIADVANTAGE_20050108.1323-E21-30
R1	OIADVANTAGE_20050108.1323-R1
RM1	OIADVANTAGE_20050108.1323-R1-1
V1	OIADVANTAGE_20050108.1323-EV1
V2	OIADVANTAGE_20050108.1323-EV2
VM1	OIADVANTAGE_20050108.1323-EV1-1
VM2	OIADVANTAGE_20050108.1323-EV2-1
Q1	OIADVANTAGE_20050108.1323-T1
Q2	OIADVANTAGE_20050108.1323-T2
Q3	OIADVANTAGE_20050108.1323-T3
Q4	OIADVANTAGE_20050108.1323-T4
Q5	OIADVANTAGE_20050108.1323-T5
Q6	OIADVANTAGE_20050108.1323-T6
Q7	OIADVANTAGE_20050108.1323-T7
Q8	OIADVANTAGE_20050108.1323-T8
Q9	OIADVANTAGE_20050108.1323-T9
Q10	OIADVANTAGE_20050108.1323-T10
