CE10	marcellapr_20050211.2013-CE1
CE11	marcellapr_20050211.2013-CE2
CE13	marcellapr_20050211.2013-CE3
CE14	marcellapr_20050211.2013-CE4
CE15	marcellapr_20050211.2013-CE5
CE16	marcellapr_20050211.2013-CE6
CE17	marcellapr_20050211.2013-CE7
CE18	marcellapr_20050211.2013-CE8
CE19	marcellapr_20050211.2013-CE9
CE20	marcellapr_20050211.2013-CE10
CE21	marcellapr_20050211.2013-CE11
CE22	marcellapr_20050211.2013-CE12
CE25	marcellapr_20050211.2013-CE13
CE27	marcellapr_20050211.2013-CE14
CE24	marcellapr_20050211.2013-CE15
CE1	marcellapr_20050211.2013-CE16
CE28	marcellapr_20050211.2013-CE17
CE2	marcellapr_20050211.2013-CE18
CE4	marcellapr_20050211.2013-CE19
CE23	marcellapr_20050211.2013-CE20
CE12	marcellapr_20050211.2013-CE21
CE3	marcellapr_20050211.2013-CE22
CE5	marcellapr_20050211.2013-CE23
CE6	marcellapr_20050211.2013-CE24
CE26	marcellapr_20050211.2013-CE25
CE7	marcellapr_20050211.2013-CE26
CE8	marcellapr_20050211.2013-CE27
CE9	marcellapr_20050211.2013-CE28
E11	marcellapr_20050211.2013-E1
E12	marcellapr_20050211.2013-E2
E14	marcellapr_20050211.2013-E3
E17	marcellapr_20050211.2013-E4
E18	marcellapr_20050211.2013-E5
E20	marcellapr_20050211.2013-E6
E21	marcellapr_20050211.2013-E7
E22	marcellapr_20050211.2013-E8
E23	marcellapr_20050211.2013-E9
E24	marcellapr_20050211.2013-E10
E25	marcellapr_20050211.2013-E11
E26	marcellapr_20050211.2013-E12
E30	marcellapr_20050211.2013-E13
E27	marcellapr_20050211.2013-E14
E29	marcellapr_20050211.2013-E15
E28	marcellapr_20050211.2013-E16
E38	marcellapr_20050211.2013-E17
E34	marcellapr_20050211.2013-E18
E40	marcellapr_20050211.2013-E19
E42	marcellapr_20050211.2013-E20
E43	marcellapr_20050211.2013-E21
E44	marcellapr_20050211.2013-E22
E2	marcellapr_20050211.2013-E23
E3	marcellapr_20050211.2013-E24
E5	marcellapr_20050211.2013-E25
E6	marcellapr_20050211.2013-E26
E7	marcellapr_20050211.2013-E27
E8	marcellapr_20050211.2013-E28
E10	marcellapr_20050211.2013-E29
EM69	marcellapr_20050211.2013-E15-1
