CE11	ANN20001125.0300.0003-CE1
CE12	ANN20001125.0300.0003-CE2
CE13	ANN20001125.0300.0003-CE3
CE15	ANN20001125.0300.0003-CE4
CE17	ANN20001125.0300.0003-CE5
CE21	ANN20001125.0300.0003-CE6
CE22	ANN20001125.0300.0003-CE7
CE1	ANN20001125.0300.0003-CE8
CE24	ANN20001125.0300.0003-CE9
CE25	ANN20001125.0300.0003-CE10
CE2	ANN20001125.0300.0003-CE11
CE3	ANN20001125.0300.0003-CE12
CE4	ANN20001125.0300.0003-CE13
CE5	ANN20001125.0300.0003-CE14
CE6	ANN20001125.0300.0003-CE15
CE7	ANN20001125.0300.0003-CE16
CE8	ANN20001125.0300.0003-CE17
CE9	ANN20001125.0300.0003-CE18
CE10	ANN20001125.0300.0003-CE19
E14	ANN20001125.0300.0003-E1
E15	ANN20001125.0300.0003-E2
E16	ANN20001125.0300.0003-E3
E19	ANN20001125.0300.0003-E4
E21	ANN20001125.0300.0003-E5
E26	ANN20001125.0300.0003-E6
E27	ANN20001125.0300.0003-E7
E28	ANN20001125.0300.0003-E8
E1	ANN20001125.0300.0003-E9
E30	ANN20001125.0300.0003-E10
E31	ANN20001125.0300.0003-E11
E2	ANN20001125.0300.0003-E12
E3	ANN20001125.0300.0003-E13
E5	ANN20001125.0300.0003-E14
E7	ANN20001125.0300.0003-E15
E8	ANN20001125.0300.0003-E16
E9	ANN20001125.0300.0003-E17
E10	ANN20001125.0300.0003-E18
E11	ANN20001125.0300.0003-E19
E12	ANN20001125.0300.0003-E20
E13	ANN20001125.0300.0003-E21
EM1	ANN20001125.0300.0003-E9-1
EM19	ANN20001125.0300.0003-E12-2
EM20	ANN20001125.0300.0003-E12-3
EM21	ANN20001125.0300.0003-E19-4
EM22	ANN20001125.0300.0003-E2-5
EM23	ANN20001125.0300.0003-E19-6
EM24	ANN20001125.0300.0003-E21-7
EM25	ANN20001125.0300.0003-E3-8
EM26	ANN20001125.0300.0003-E12-9
EM29	ANN20001125.0300.0003-E19-10
EM30	ANN20001125.0300.0003-E13-11
EM31	ANN20001125.0300.0003-E13-12
EM32	ANN20001125.0300.0003-E13-13
EM34	ANN20001125.0300.0003-E4-14
EM38	ANN20001125.0300.0003-E5-15
EM42	ANN20001125.0300.0003-E12-16
EM43	ANN20001125.0300.0003-E12-17
EM45	ANN20001125.0300.0003-E12-18
EM46	ANN20001125.0300.0003-E12-19
EM47	ANN20001125.0300.0003-E19-20
EM48	ANN20001125.0300.0003-E6-21
EM49	ANN20001125.0300.0003-E6-22
EM50	ANN20001125.0300.0003-E7-23
EM51	ANN20001125.0300.0003-E7-24
EM52	ANN20001125.0300.0003-E8-25
EM53	ANN20001125.0300.0003-E7-26
EM55	ANN20001125.0300.0003-E12-27
EM56	ANN20001125.0300.0003-E12-28
EM57	ANN20001125.0300.0003-E12-29
EM58	ANN20001125.0300.0003-E10-30
EM59	ANN20001125.0300.0003-E18-31
EM60	ANN20001125.0300.0003-E11-32
EM3	ANN20001125.0300.0003-E13-33
EM4	ANN20001125.0300.0003-E13-34
EM5	ANN20001125.0300.0003-E14-35
EM6	ANN20001125.0300.0003-E15-36
EM7	ANN20001125.0300.0003-E16-37
EM8	ANN20001125.0300.0003-E17-38
EM9	ANN20001125.0300.0003-E13-39
EM11	ANN20001125.0300.0003-E19-40
EM12	ANN20001125.0300.0003-E18-41
EM13	ANN20001125.0300.0003-E18-42
EM14	ANN20001125.0300.0003-E20-43
EM15	ANN20001125.0300.0003-E19-44
EM16	ANN20001125.0300.0003-E21-45
EM17	ANN20001125.0300.0003-E1-46
R25	ANN20001125.0300.0003-R1
R26	ANN20001125.0300.0003-R2
R6	ANN20001125.0300.0003-R3
R9	ANN20001125.0300.0003-R4
R12	ANN20001125.0300.0003-R5
R13	ANN20001125.0300.0003-R6
R15	ANN20001125.0300.0003-R7
R16	ANN20001125.0300.0003-R8
R20	ANN20001125.0300.0003-R9
R21	ANN20001125.0300.0003-R10
R23	ANN20001125.0300.0003-R11
R24	ANN20001125.0300.0003-R12
RM26	ANN20001125.0300.0003-R2-1
RM6	ANN20001125.0300.0003-R3-1
RM9	ANN20001125.0300.0003-R4-1
RM12	ANN20001125.0300.0003-R4-2
RM13	ANN20001125.0300.0003-R6-1
RM15	ANN20001125.0300.0003-R7-1
RM16	ANN20001125.0300.0003-R8-1
RM20	ANN20001125.0300.0003-R9-1
RM21	ANN20001125.0300.0003-R10-1
RM23	ANN20001125.0300.0003-R11-1
RM24	ANN20001125.0300.0003-R12-1
RM25	ANN20001125.0300.0003-R1-1
V7	ANN20001125.0300.0003-EV1
V8	ANN20001125.0300.0003-EV2
V9	ANN20001125.0300.0003-EV3
V4	ANN20001125.0300.0003-EV4
V5	ANN20001125.0300.0003-EV5
VM8	ANN20001125.0300.0003-EV1-1
VM9	ANN20001125.0300.0003-EV2-1
VM10	ANN20001125.0300.0003-EV3-1
VM5	ANN20001125.0300.0003-EV4-1
VM6	ANN20001125.0300.0003-EV5-1
Q3	ANN20001125.0300.0003-T1
Q4	ANN20001125.0300.0003-T2
Q1	ANN20001125.0300.0003-T3
