CE13	ALH20001201.1300.0071-CE1
CE14	ALH20001201.1300.0071-CE2
CE15	ALH20001201.1300.0071-CE3
CE16	ALH20001201.1300.0071-CE4
CE17	ALH20001201.1300.0071-CE5
CE18	ALH20001201.1300.0071-CE6
CE19	ALH20001201.1300.0071-CE7
CE20	ALH20001201.1300.0071-CE8
CE21	ALH20001201.1300.0071-CE9
CE22	ALH20001201.1300.0071-CE10
CE23	ALH20001201.1300.0071-CE11
CE24	ALH20001201.1300.0071-CE12
CE25	ALH20001201.1300.0071-CE13
CE1	ALH20001201.1300.0071-CE14
CE2	ALH20001201.1300.0071-CE15
CE3	ALH20001201.1300.0071-CE16
CE4	ALH20001201.1300.0071-CE17
CE5	ALH20001201.1300.0071-CE18
CE6	ALH20001201.1300.0071-CE19
CE7	ALH20001201.1300.0071-CE20
CE8	ALH20001201.1300.0071-CE21
CE9	ALH20001201.1300.0071-CE22
CE10	ALH20001201.1300.0071-CE23
CE11	ALH20001201.1300.0071-CE24
CE12	ALH20001201.1300.0071-CE25
E15	ALH20001201.1300.0071-E1
E16	ALH20001201.1300.0071-E2
E17	ALH20001201.1300.0071-E3
E18	ALH20001201.1300.0071-E4
E19	ALH20001201.1300.0071-E5
E20	ALH20001201.1300.0071-E6
E21	ALH20001201.1300.0071-E7
E22	ALH20001201.1300.0071-E8
E23	ALH20001201.1300.0071-E9
E24	ALH20001201.1300.0071-E10
E25	ALH20001201.1300.0071-E11
E26	ALH20001201.1300.0071-E12
E27	ALH20001201.1300.0071-E13
E28	ALH20001201.1300.0071-E14
E29	ALH20001201.1300.0071-E15
E30	ALH20001201.1300.0071-E16
E1	ALH20001201.1300.0071-E17
E2	ALH20001201.1300.0071-E18
E3	ALH20001201.1300.0071-E19
E4	ALH20001201.1300.0071-E20
E5	ALH20001201.1300.0071-E21
E6	ALH20001201.1300.0071-E22
E7	ALH20001201.1300.0071-E23
E8	ALH20001201.1300.0071-E24
E9	ALH20001201.1300.0071-E25
E10	ALH20001201.1300.0071-E26
E11	ALH20001201.1300.0071-E27
E12	ALH20001201.1300.0071-E28
E13	ALH20001201.1300.0071-E29
E14	ALH20001201.1300.0071-E30
EM1	ALH20001201.1300.0071-E17-1
EM15	ALH20001201.1300.0071-E1-2
EM18	ALH20001201.1300.0071-E2-3
EM19	ALH20001201.1300.0071-E3-4
EM20	ALH20001201.1300.0071-E3-5
EM21	ALH20001201.1300.0071-E3-6
EM22	ALH20001201.1300.0071-E4-7
EM23	ALH20001201.1300.0071-E5-8
EM24	ALH20001201.1300.0071-E28-9
EM26	ALH20001201.1300.0071-E6-10
EM27	ALH20001201.1300.0071-E27-11
EM28	ALH20001201.1300.0071-E28-12
EM29	ALH20001201.1300.0071-E28-13
EM30	ALH20001201.1300.0071-E7-14
EM31	ALH20001201.1300.0071-E8-15
EM32	ALH20001201.1300.0071-E8-16
EM34	ALH20001201.1300.0071-E9-17
EM35	ALH20001201.1300.0071-E17-18
EM36	ALH20001201.1300.0071-E10-19
EM37	ALH20001201.1300.0071-E7-20
EM38	ALH20001201.1300.0071-E7-21
EM39	ALH20001201.1300.0071-E11-22
EM40	ALH20001201.1300.0071-E11-23
EM41	ALH20001201.1300.0071-E11-24
EM42	ALH20001201.1300.0071-E12-25
EM43	ALH20001201.1300.0071-E12-26
EM44	ALH20001201.1300.0071-E13-27
EM45	ALH20001201.1300.0071-E13-28
EM46	ALH20001201.1300.0071-E14-29
EM47	ALH20001201.1300.0071-E13-30
EM48	ALH20001201.1300.0071-E15-31
EM49	ALH20001201.1300.0071-E30-32
EM50	ALH20001201.1300.0071-E16-33
EM2	ALH20001201.1300.0071-E18-34
EM3	ALH20001201.1300.0071-E19-35
EM4	ALH20001201.1300.0071-E20-36
EM5	ALH20001201.1300.0071-E22-37
EM6	ALH20001201.1300.0071-E23-38
EM7	ALH20001201.1300.0071-E24-39
EM8	ALH20001201.1300.0071-E25-40
EM9	ALH20001201.1300.0071-E21-41
EM10	ALH20001201.1300.0071-E26-42
EM11	ALH20001201.1300.0071-E17-43
EM12	ALH20001201.1300.0071-E27-44
EM13	ALH20001201.1300.0071-E28-45
EM14	ALH20001201.1300.0071-E28-46
EM16	ALH20001201.1300.0071-E30-47
EM17	ALH20001201.1300.0071-E29-48
R2	ALH20001201.1300.0071-R1
R3	ALH20001201.1300.0071-R2
R4	ALH20001201.1300.0071-R3
R5	ALH20001201.1300.0071-R4
R6	ALH20001201.1300.0071-R5
R7	ALH20001201.1300.0071-R6
R8	ALH20001201.1300.0071-R7
R9	ALH20001201.1300.0071-R8
RM2	ALH20001201.1300.0071-R1-1
RM3	ALH20001201.1300.0071-R2-1
RM4	ALH20001201.1300.0071-R3-1
RM5	ALH20001201.1300.0071-R4-1
RM6	ALH20001201.1300.0071-R5-1
RM7	ALH20001201.1300.0071-R6-1
RM9	ALH20001201.1300.0071-R7-1
RM10	ALH20001201.1300.0071-R8-1
V1	ALH20001201.1300.0071-EV1
V2	ALH20001201.1300.0071-EV2
V3	ALH20001201.1300.0071-EV3
V4	ALH20001201.1300.0071-EV4
V6	ALH20001201.1300.0071-EV5
V10	ALH20001201.1300.0071-EV6
V11	ALH20001201.1300.0071-EV7
VM1	ALH20001201.1300.0071-EV1-1
VM2	ALH20001201.1300.0071-EV2-1
VM3	ALH20001201.1300.0071-EV3-1
VM4	ALH20001201.1300.0071-EV4-1
VM6	ALH20001201.1300.0071-EV5-1
VM10	ALH20001201.1300.0071-EV6-1
VM11	ALH20001201.1300.0071-EV7-1
Q1	ALH20001201.1300.0071-T1
Q2	ALH20001201.1300.0071-T2
Q3	ALH20001201.1300.0071-T3
Q4	ALH20001201.1300.0071-T4
Q5	ALH20001201.1300.0071-T5
Q6	ALH20001201.1300.0071-T6
