CE11	AFA20001030.1000.0093-CE1
CE12	AFA20001030.1000.0093-CE2
CE13	AFA20001030.1000.0093-CE3
CE14	AFA20001030.1000.0093-CE4
CE15	AFA20001030.1000.0093-CE5
CE16	AFA20001030.1000.0093-CE6
CE17	AFA20001030.1000.0093-CE7
CE18	AFA20001030.1000.0093-CE8
CE19	AFA20001030.1000.0093-CE9
CE20	AFA20001030.1000.0093-CE10
CE21	AFA20001030.1000.0093-CE11
CE24	AFA20001030.1000.0093-CE12
CE25	AFA20001030.1000.0093-CE13
CE26	AFA20001030.1000.0093-CE14
CE29	AFA20001030.1000.0093-CE15
CE30	AFA20001030.1000.0093-CE16
CE31	AFA20001030.1000.0093-CE17
CE32	AFA20001030.1000.0093-CE18
CE33	AFA20001030.1000.0093-CE19
CE2	AFA20001030.1000.0093-CE20
CE3	AFA20001030.1000.0093-CE21
CE4	AFA20001030.1000.0093-CE22
CE5	AFA20001030.1000.0093-CE23
CE6	AFA20001030.1000.0093-CE24
CE7	AFA20001030.1000.0093-CE25
E14	AFA20001030.1000.0093-E1
E15	AFA20001030.1000.0093-E2
E16	AFA20001030.1000.0093-E3
E17	AFA20001030.1000.0093-E4
E18	AFA20001030.1000.0093-E5
E19	AFA20001030.1000.0093-E6
E20	AFA20001030.1000.0093-E7
E21	AFA20001030.1000.0093-E8
E22	AFA20001030.1000.0093-E9
E23	AFA20001030.1000.0093-E10
E24	AFA20001030.1000.0093-E11
E25	AFA20001030.1000.0093-E12
E26	AFA20001030.1000.0093-E13
E29	AFA20001030.1000.0093-E14
E30	AFA20001030.1000.0093-E15
E31	AFA20001030.1000.0093-E16
E34	AFA20001030.1000.0093-E17
E35	AFA20001030.1000.0093-E18
E36	AFA20001030.1000.0093-E19
E37	AFA20001030.1000.0093-E20
E39	AFA20001030.1000.0093-E21
E2	AFA20001030.1000.0093-E22
E3	AFA20001030.1000.0093-E23
E4	AFA20001030.1000.0093-E24
E5	AFA20001030.1000.0093-E25
E6	AFA20001030.1000.0093-E26
E7	AFA20001030.1000.0093-E27
E8	AFA20001030.1000.0093-E28
EM19	AFA20001030.1000.0093-E1-1
EM20	AFA20001030.1000.0093-E1-2
EM21	AFA20001030.1000.0093-E25-3
EM22	AFA20001030.1000.0093-E25-4
EM23	AFA20001030.1000.0093-E27-5
EM24	AFA20001030.1000.0093-E2-6
EM25	AFA20001030.1000.0093-E28-7
EM26	AFA20001030.1000.0093-E27-8
EM27	AFA20001030.1000.0093-E28-9
EM28	AFA20001030.1000.0093-E3-10
EM29	AFA20001030.1000.0093-E3-11
EM30	AFA20001030.1000.0093-E3-12
EM33	AFA20001030.1000.0093-E3-13
EM34	AFA20001030.1000.0093-E4-14
EM35	AFA20001030.1000.0093-E4-15
EM36	AFA20001030.1000.0093-E5-16
EM37	AFA20001030.1000.0093-E4-17
EM38	AFA20001030.1000.0093-E6-18
EM39	AFA20001030.1000.0093-E6-19
EM41	AFA20001030.1000.0093-E6-20
EM42	AFA20001030.1000.0093-E28-21
EM44	AFA20001030.1000.0093-E7-22
EM46	AFA20001030.1000.0093-E28-23
EM47	AFA20001030.1000.0093-E8-24
EM48	AFA20001030.1000.0093-E9-25
EM49	AFA20001030.1000.0093-E28-26
EM50	AFA20001030.1000.0093-E28-27
EM51	AFA20001030.1000.0093-E10-28
EM52	AFA20001030.1000.0093-E11-29
EM53	AFA20001030.1000.0093-E11-30
EM54	AFA20001030.1000.0093-E10-31
EM55	AFA20001030.1000.0093-E6-32
EM56	AFA20001030.1000.0093-E10-33
EM57	AFA20001030.1000.0093-E10-34
EM58	AFA20001030.1000.0093-E4-35
EM59	AFA20001030.1000.0093-E12-36
EM60	AFA20001030.1000.0093-E13-37
EM61	AFA20001030.1000.0093-E13-38
EM66	AFA20001030.1000.0093-E14-39
EM68	AFA20001030.1000.0093-E14-40
EM69	AFA20001030.1000.0093-E14-41
EM70	AFA20001030.1000.0093-E14-42
EM71	AFA20001030.1000.0093-E28-43
EM72	AFA20001030.1000.0093-E28-44
EM73	AFA20001030.1000.0093-E9-45
EM74	AFA20001030.1000.0093-E15-46
EM76	AFA20001030.1000.0093-E28-47
EM78	AFA20001030.1000.0093-E16-48
EM79	AFA20001030.1000.0093-E28-49
EM83	AFA20001030.1000.0093-E17-50
EM84	AFA20001030.1000.0093-E17-51
EM85	AFA20001030.1000.0093-E17-52
EM86	AFA20001030.1000.0093-E14-53
EM87	AFA20001030.1000.0093-E14-54
EM88	AFA20001030.1000.0093-E14-55
EM89	AFA20001030.1000.0093-E28-56
EM90	AFA20001030.1000.0093-E16-57
EM91	AFA20001030.1000.0093-E28-58
EM92	AFA20001030.1000.0093-E13-59
EM93	AFA20001030.1000.0093-E13-60
EM94	AFA20001030.1000.0093-E17-61
EM2	AFA20001030.1000.0093-E22-62
EM95	AFA20001030.1000.0093-E17-63
EM96	AFA20001030.1000.0093-E18-64
EM97	AFA20001030.1000.0093-E18-65
EM98	AFA20001030.1000.0093-E28-66
EM99	AFA20001030.1000.0093-E17-67
EM100	AFA20001030.1000.0093-E18-68
EM101	AFA20001030.1000.0093-E17-69
EM102	AFA20001030.1000.0093-E28-70
EM103	AFA20001030.1000.0093-E18-71
EM104	AFA20001030.1000.0093-E19-72
EM105	AFA20001030.1000.0093-E28-73
EM106	AFA20001030.1000.0093-E28-74
EM107	AFA20001030.1000.0093-E20-75
EM108	AFA20001030.1000.0093-E21-76
EM109	AFA20001030.1000.0093-E28-77
EM110	AFA20001030.1000.0093-E1-78
EM111	AFA20001030.1000.0093-E18-79
EM3	AFA20001030.1000.0093-E23-80
EM4	AFA20001030.1000.0093-E24-81
EM5	AFA20001030.1000.0093-E25-82
EM6	AFA20001030.1000.0093-E26-83
EM7	AFA20001030.1000.0093-E27-84
EM8	AFA20001030.1000.0093-E25-85
R1	AFA20001030.1000.0093-R1
R2	AFA20001030.1000.0093-R2
R3	AFA20001030.1000.0093-R3
R6	AFA20001030.1000.0093-R4
R19	AFA20001030.1000.0093-R5
RM1	AFA20001030.1000.0093-R1-1
RM2	AFA20001030.1000.0093-R2-1
RM3	AFA20001030.1000.0093-R3-1
RM6	AFA20001030.1000.0093-R4-1
RM19	AFA20001030.1000.0093-R5-1
V1	AFA20001030.1000.0093-EV1
V2	AFA20001030.1000.0093-EV2
V3	AFA20001030.1000.0093-EV3
V6	AFA20001030.1000.0093-EV4
V8	AFA20001030.1000.0093-EV5
V9	AFA20001030.1000.0093-EV6
V10	AFA20001030.1000.0093-EV7
V11	AFA20001030.1000.0093-EV8
VM1	AFA20001030.1000.0093-EV1-1
VM2	AFA20001030.1000.0093-EV2-1
VM3	AFA20001030.1000.0093-EV3-1
VM6	AFA20001030.1000.0093-EV4-1
VM8	AFA20001030.1000.0093-EV5-1
VM9	AFA20001030.1000.0093-EV6-1
VM10	AFA20001030.1000.0093-EV7-1
VM11	AFA20001030.1000.0093-EV8-1
Q2	AFA20001030.1000.0093-T1
Q3	AFA20001030.1000.0093-T2
Q4	AFA20001030.1000.0093-T3
Q5	AFA20001030.1000.0093-T4
Q6	AFA20001030.1000.0093-T5
Q8	AFA20001030.1000.0093-T6
Q9	AFA20001030.1000.0093-T7
Q11	AFA20001030.1000.0093-T8
Q1	AFA20001030.1000.0093-T9
