CE9	ANN20001201.1500.0092-CE1
CE10	ANN20001201.1500.0092-CE2
CE11	ANN20001201.1500.0092-CE3
CE12	ANN20001201.1500.0092-CE4
CE13	ANN20001201.1500.0092-CE5
CE15	ANN20001201.1500.0092-CE6
CE16	ANN20001201.1500.0092-CE7
CE17	ANN20001201.1500.0092-CE8
CE18	ANN20001201.1500.0092-CE9
CE19	ANN20001201.1500.0092-CE10
CE20	ANN20001201.1500.0092-CE11
CE21	ANN20001201.1500.0092-CE12
CE22	ANN20001201.1500.0092-CE13
CE23	ANN20001201.1500.0092-CE14
CE24	ANN20001201.1500.0092-CE15
CE26	ANN20001201.1500.0092-CE16
CE27	ANN20001201.1500.0092-CE17
CE1	ANN20001201.1500.0092-CE18
CE2	ANN20001201.1500.0092-CE19
CE3	ANN20001201.1500.0092-CE20
CE4	ANN20001201.1500.0092-CE21
CE5	ANN20001201.1500.0092-CE22
CE6	ANN20001201.1500.0092-CE23
CE7	ANN20001201.1500.0092-CE24
CE8	ANN20001201.1500.0092-CE25
E12	ANN20001201.1500.0092-E1
E13	ANN20001201.1500.0092-E2
E14	ANN20001201.1500.0092-E3
E15	ANN20001201.1500.0092-E4
E16	ANN20001201.1500.0092-E5
E17	ANN20001201.1500.0092-E6
E18	ANN20001201.1500.0092-E7
E20	ANN20001201.1500.0092-E8
E21	ANN20001201.1500.0092-E9
E22	ANN20001201.1500.0092-E10
E23	ANN20001201.1500.0092-E11
E24	ANN20001201.1500.0092-E12
E25	ANN20001201.1500.0092-E13
E26	ANN20001201.1500.0092-E14
E27	ANN20001201.1500.0092-E15
E28	ANN20001201.1500.0092-E16
E29	ANN20001201.1500.0092-E17
E30	ANN20001201.1500.0092-E18
E32	ANN20001201.1500.0092-E19
E33	ANN20001201.1500.0092-E20
E35	ANN20001201.1500.0092-E21
E36	ANN20001201.1500.0092-E22
E1	ANN20001201.1500.0092-E23
E2	ANN20001201.1500.0092-E24
E3	ANN20001201.1500.0092-E25
E4	ANN20001201.1500.0092-E26
E6	ANN20001201.1500.0092-E27
E7	ANN20001201.1500.0092-E28
E8	ANN20001201.1500.0092-E29
E9	ANN20001201.1500.0092-E30
E10	ANN20001201.1500.0092-E31
E11	ANN20001201.1500.0092-E32
EM15	ANN20001201.1500.0092-E29-1
EM16	ANN20001201.1500.0092-E29-2
EM17	ANN20001201.1500.0092-E29-3
EM18	ANN20001201.1500.0092-E29-4
EM19	ANN20001201.1500.0092-E29-5
EM20	ANN20001201.1500.0092-E29-6
EM21	ANN20001201.1500.0092-E29-7
EM24	ANN20001201.1500.0092-E32-8
EM25	ANN20001201.1500.0092-E1-9
EM26	ANN20001201.1500.0092-E27-10
EM27	ANN20001201.1500.0092-E28-11
EM28	ANN20001201.1500.0092-E29-12
EM29	ANN20001201.1500.0092-E29-13
EM30	ANN20001201.1500.0092-E29-14
EM31	ANN20001201.1500.0092-E29-15
EM32	ANN20001201.1500.0092-E3-16
EM33	ANN20001201.1500.0092-E2-17
EM34	ANN20001201.1500.0092-E5-18
EM35	ANN20001201.1500.0092-E2-19
EM36	ANN20001201.1500.0092-E6-20
EM37	ANN20001201.1500.0092-E6-21
EM38	ANN20001201.1500.0092-E7-22
EM39	ANN20001201.1500.0092-E7-23
EM40	ANN20001201.1500.0092-E29-24
EM41	ANN20001201.1500.0092-E32-25
EM42	ANN20001201.1500.0092-E29-26
EM43	ANN20001201.1500.0092-E28-27
EM44	ANN20001201.1500.0092-E27-28
EM45	ANN20001201.1500.0092-E29-29
EM46	ANN20001201.1500.0092-E29-30
EM47	ANN20001201.1500.0092-E26-31
EM48	ANN20001201.1500.0092-E29-32
EM49	ANN20001201.1500.0092-E1-33
EM50	ANN20001201.1500.0092-E26-34
EM51	ANN20001201.1500.0092-E32-35
EM53	ANN20001201.1500.0092-E8-36
EM54	ANN20001201.1500.0092-E26-37
EM55	ANN20001201.1500.0092-E9-38
EM56	ANN20001201.1500.0092-E10-39
EM57	ANN20001201.1500.0092-E11-40
EM58	ANN20001201.1500.0092-E27-41
EM59	ANN20001201.1500.0092-E9-42
EM60	ANN20001201.1500.0092-E12-43
EM61	ANN20001201.1500.0092-E26-44
EM62	ANN20001201.1500.0092-E13-45
EM63	ANN20001201.1500.0092-E14-46
EM64	ANN20001201.1500.0092-E32-47
EM65	ANN20001201.1500.0092-E15-48
EM66	ANN20001201.1500.0092-E26-49
EM68	ANN20001201.1500.0092-E26-50
EM69	ANN20001201.1500.0092-E16-51
EM71	ANN20001201.1500.0092-E26-52
EM72	ANN20001201.1500.0092-E31-53
EM73	ANN20001201.1500.0092-E26-54
EM74	ANN20001201.1500.0092-E27-55
EM75	ANN20001201.1500.0092-E27-56
EM76	ANN20001201.1500.0092-E17-57
EM77	ANN20001201.1500.0092-E29-58
EM78	ANN20001201.1500.0092-E29-59
EM79	ANN20001201.1500.0092-E26-60
EM80	ANN20001201.1500.0092-E31-61
EM81	ANN20001201.1500.0092-E29-62
EM82	ANN20001201.1500.0092-E26-63
EM83	ANN20001201.1500.0092-E27-64
